,country_code,log_gni_index,Cluster
15872,ABW,10.378123322161333,2
15876,AGO,7.928545567422999,3
15877,ALB,8.807799300290739,3
15880,ARE,10.8864144978873,2
15881,ARG,9.502435859990637,0
15882,ARM,8.811926603453106,3
15884,ATG,9.867944945805432,0
15885,AUS,11.045176846705253,2
15886,AUT,10.859996391892839,2
15887,AZE,8.887649696283376,3
15888,BDI,5.564942302513547,1
15889,BEL,10.833663915155869,2
15890,BEN,7.164559487874387,1
15891,BFA,6.679822128442587,1
15892,BGD,7.935876106819966,3
15893,BGR,9.511804871911806,0
15894,BHR,10.268636659508553,0
15895,BHS,10.303202602316503,0
15896,BIH,8.92434264845796,3
15897,BLR,8.93523898267829,3
15898,BLZ,8.803622011447162,3
15899,BMU,11.71350984391314,2
15900,BOL,8.159632532067898,3
15901,BRA,9.063971821329279,3
15902,BRB,9.8742196136034,0
15903,BRN,10.500405983263464,2
15905,BWA,8.925054214208973,3
15906,CAF,6.110960542685825,1
15907,CAN,10.91145503782901,2
15909,CHE,11.422750568956657,2
15911,CHL,9.582671871070385,0
15912,CHN,9.44026327425318,0
15913,CMR,7.340409998715998,1
15914,COD,6.444439957935469,1
15915,COG,7.814199570216039,3
15916,COL,8.758244458536788,3
15917,COM,7.308725196873602,1
15918,CPV,8.218009761489382,3
15919,CRI,9.423543512441299,0
15923,CYP,9.98123338411464,0
15924,CZE,10.163843177926354,0
15925,DEU,10.831981440930171,2
15926,DJI,8.0701472359979,3
15927,DMA,9.02760560668413,3
15928,DNK,11.156722965395739,2
15929,DOM,9.180390890596327,0
15930,DZA,8.355456567518916,3
15936,ECU,8.746513169523556,3
15937,EGY,8.331919446402772,3
15940,ESP,10.302816941009105,0
15941,EST,10.219137943382808,0
15942,ETH,6.931415230786793,1
15945,FIN,10.846401320361862,2
15946,FJI,8.531555283232594,3
15947,FRA,10.636129959746224,2
15948,FRO,11.140129859541984,2
15949,FSM,8.32458272778034,3
15950,GAB,8.983154923285,3
15951,GBR,10.744185047587626,2
15952,GEO,8.733576510090552,3
15953,GHA,7.687701149545063,1
15955,GIN,7.21888900037977,1
15956,GMB,6.681832845208504,1
15957,GNB,6.668324377610616,1
15958,GNQ,8.558878300844393,3
15959,GRC,9.935555092129691,0
15960,GRD,9.088963590734789,3
15962,GTM,8.58727276986165,3
15964,GUY,9.713609420456619,0
15966,HKG,10.867669133008743,2
15967,HND,7.939943124237102,3
15969,HRV,9.838447690561122,0
15970,HTI,7.468115351823581,1
15971,HUN,9.788129108742597,0
15976,IDN,8.446204412037103,3
15979,IND,7.767972060332645,1
15980,IRL,11.220909475350114,2
15981,IRN,8.447549931829627,3
15982,IRQ,8.685573129157513,3
15983,ISL,11.150014267022948,2
15984,ISR,10.905222181425788,2
15985,ITA,10.46567940869926,2
15986,JAM,8.687030240227113,3
15987,JOR,8.358709681696011,3
15988,JPN,10.493654722544521,2
15989,KAZ,9.229426465895889,0
15990,KEN,7.634375857076244,1
15991,KGZ,7.358072803152358,1
15992,KHM,7.419467612240155,1
15993,KIR,7.932964365447869,3
15994,KNA,9.875556898908112,0
15995,KOR,10.401222442273435,2
15996,KWT,10.76446617627788,2
15998,LAO,7.550503016110404,1
16000,LBR,6.562990385599804,1
16001,LBY,8.82177755069608,3
16002,LCA,9.430129447599963,0
16007,LKA,8.092261026544536,3
16010,LSO,7.0649537550066555,1
16012,LTU,10.093072039584015,0
16013,LUX,11.341009590736626,2
16014,LVA,9.973824392183946,0
16015,MAC,10.6293486898383,2
16017,MAR,8.145022709705419,3
16019,MDA,8.655031988638113,3
16020,MDG,6.22143615743471,1
16021,MDV,9.279157059278019,0
16023,MEX,9.32662613693078,0
16024,MHL,8.872729392869852,3
16026,MKD,8.748620687091728,3
16027,MLI,6.6854614132823,1
16028,MLT,10.331582206024976,0
16029,MMR,7.025019316120278,1
16031,MNE,9.239464725247567,0
16032,MNG,8.397253108045625,3
16034,MOZ,6.12995210504952,1
16035,MRT,7.62750020913428,1
16036,MUS,9.216083379619766,0
16037,MWI,6.452644641162502,1
16038,MYS,9.35845083048453,0
16040,NAM,8.49389953403658,3
16042,NER,6.286791622887728,1
16043,NGA,7.65194317004516,1
16044,NIC,7.646851983820375,1
16045,NLD,10.941907347425646,2
16046,NOR,11.60324353627595,2
16047,NPL,7.204426305082917,1
16048,NRU,9.800871070865627,0
16049,NZL,10.763708277897837,2
16051,OMN,10.051857361105142,0
16053,PAK,7.357317668583139,1
16054,PAN,9.71626841447793,0
16055,PER,8.800126950663037,3
16056,PHL,8.21763934676616,3
16058,PNG,7.985791326259321,3
16059,POL,9.795439408396575,0
16061,PRI,10.093972307491752,0
16063,PRT,10.09326314922118,0
16064,PRY,8.696589755348155,3
16065,PSE,8.430337042291699,3
16069,QAT,11.345535768962785,2
16070,ROU,9.636767099731333,0
16071,RUS,9.629525175097834,0
16072,RWA,6.8532119743595565,1
16074,SAU,10.333761294887772,0
16075,SDN,6.989262603698413,1
16076,SEN,7.340746733299246,1
16077,SGP,11.14878302803757,2
16078,SLB,7.704227509847216,1
16079,SLE,6.318190940543073,1
16080,SLV,8.483363528128438,3
16082,SOM,6.381047434732494,1
16083,SRB,9.111960086915897,3
16088,SUR,8.587114505016068,3
16089,SVK,9.94793394713033,0
16090,SVN,10.236096842284942,0
16091,SWE,10.977075307183085,2
16092,SWZ,8.206510034536073,3
16093,SXM,10.46361900163795,2
16094,SYC,9.442913220392914,0
16096,TCA,10.12081995741904,0
16097,TCD,6.561271131970803,1
16098,TGO,6.851527025731585,1
16099,THA,8.810919785172738,3
16100,TJK,7.111439609448449,1
16101,TKM,9.06802746309964,3
16102,TLS,7.79580330871477,3
16105,TTO,9.83811353288198,0
16106,TUN,8.202395588802109,3
16107,TUV,8.858992068259544,3
16108,TZA,7.0366178185961115,1
16109,UGA,6.853229541301268,1
16110,UKR,8.400196448694881,3
16112,URY,9.847982126912742,0
16113,USA,11.263778424266482,2
16114,UZB,7.732503054086571,1
16115,VCT,9.095562597968213,3
16119,VNM,8.284426392403999,3
16120,VUT,8.219816987312297,3
16122,WSM,8.202204464000555,3
16123,XKX,8.59605955552416,3
16125,ZAF,8.798789519245073,3
16126,ZMB,7.28475279043382,1
16127,ZWE,7.401656181968042,1
