country_code,anho,null_count
ABW,1960,40
ABW,1961,32
ABW,1962,32
ABW,1963,32
ABW,1964,32
ABW,1965,32
ABW,1966,32
ABW,1967,32
ABW,1968,32
ABW,1969,32
ABW,1970,30
ABW,1971,30
ABW,1972,30
ABW,1973,30
ABW,1974,30
ABW,1975,30
ABW,1976,30
ABW,1977,30
ABW,1978,30
ABW,1979,30
ABW,1980,30
ABW,1981,30
ABW,1982,30
ABW,1983,30
ABW,1984,30
ABW,1985,30
ABW,1986,30
ABW,1987,30
ABW,1988,30
ABW,1989,30
ABW,1990,25
ABW,1991,29
ABW,1992,29
ABW,1993,29
ABW,1994,29
ABW,1995,27
ABW,1996,27
ABW,1997,27
ABW,1998,27
ABW,1999,27
ABW,2000,21
ABW,2001,25
ABW,2002,25
ABW,2003,25
ABW,2004,25
ABW,2005,25
ABW,2006,25
ABW,2007,25
ABW,2008,25
ABW,2009,24
ABW,2010,24
ABW,2011,25
ABW,2012,24
ABW,2013,24
ABW,2014,24
ABW,2015,20
ABW,2016,24
ABW,2017,24
ABW,2018,24
ABW,2019,24
ABW,2020,26
ABW,2021,26
ABW,2022,37
ABW,2023,42
AFG,1960,40
AFG,1961,21
AFG,1962,19
AFG,1963,19
AFG,1964,19
AFG,1965,19
AFG,1966,19
AFG,1967,19
AFG,1968,19
AFG,1969,19
AFG,1970,17
AFG,1971,17
AFG,1972,17
AFG,1973,17
AFG,1974,16
AFG,1975,16
AFG,1976,16
AFG,1977,16
AFG,1978,18
AFG,1979,18
AFG,1980,18
AFG,1981,18
AFG,1982,18
AFG,1983,18
AFG,1984,18
AFG,1985,18
AFG,1986,18
AFG,1987,17
AFG,1988,17
AFG,1989,17
AFG,1990,9
AFG,1991,10
AFG,1992,10
AFG,1993,10
AFG,1994,12
AFG,1995,12
AFG,1996,10
AFG,1997,10
AFG,1998,10
AFG,1999,10
AFG,2000,6
AFG,2001,9
AFG,2002,7
AFG,2003,6
AFG,2004,6
AFG,2005,6
AFG,2006,6
AFG,2007,6
AFG,2008,4
AFG,2009,7
AFG,2010,9
AFG,2011,9
AFG,2012,9
AFG,2013,9
AFG,2014,9
AFG,2015,5
AFG,2016,9
AFG,2017,8
AFG,2018,8
AFG,2019,8
AFG,2020,10
AFG,2021,14
AFG,2022,30
AFG,2023,42
AGO,1960,40
AGO,1961,21
AGO,1962,19
AGO,1963,21
AGO,1964,21
AGO,1965,21
AGO,1966,21
AGO,1967,21
AGO,1968,21
AGO,1969,19
AGO,1970,17
AGO,1971,17
AGO,1972,19
AGO,1973,19
AGO,1974,19
AGO,1975,21
AGO,1976,21
AGO,1977,21
AGO,1978,20
AGO,1979,20
AGO,1980,20
AGO,1981,20
AGO,1982,21
AGO,1983,21
AGO,1984,21
AGO,1985,20
AGO,1986,21
AGO,1987,20
AGO,1988,20
AGO,1989,20
AGO,1990,11
AGO,1991,13
AGO,1992,13
AGO,1993,13
AGO,1994,13
AGO,1995,11
AGO,1996,11
AGO,1997,11
AGO,1998,11
AGO,1999,11
AGO,2000,6
AGO,2001,11
AGO,2002,10
AGO,2003,10
AGO,2004,10
AGO,2005,10
AGO,2006,10
AGO,2007,9
AGO,2008,10
AGO,2009,11
AGO,2010,11
AGO,2011,12
AGO,2012,12
AGO,2013,11
AGO,2014,11
AGO,2015,6
AGO,2016,11
AGO,2017,11
AGO,2018,10
AGO,2019,11
AGO,2020,11
AGO,2021,15
AGO,2022,26
AGO,2023,42
ALB,1960,40
ALB,1961,21
ALB,1962,21
ALB,1963,21
ALB,1964,20
ALB,1965,20
ALB,1966,20
ALB,1967,20
ALB,1968,20
ALB,1969,20
ALB,1970,18
ALB,1971,18
ALB,1972,18
ALB,1973,18
ALB,1974,18
ALB,1975,18
ALB,1976,18
ALB,1977,18
ALB,1978,18
ALB,1979,18
ALB,1980,18
ALB,1981,18
ALB,1982,18
ALB,1983,18
ALB,1984,18
ALB,1985,18
ALB,1986,18
ALB,1987,18
ALB,1988,18
ALB,1989,18
ALB,1990,8
ALB,1991,9
ALB,1992,9
ALB,1993,9
ALB,1994,9
ALB,1995,9
ALB,1996,5
ALB,1997,5
ALB,1998,5
ALB,1999,5
ALB,2000,2
ALB,2001,6
ALB,2002,6
ALB,2003,6
ALB,2004,6
ALB,2005,6
ALB,2006,6
ALB,2007,5
ALB,2008,5
ALB,2009,9
ALB,2010,9
ALB,2011,9
ALB,2012,9
ALB,2013,9
ALB,2014,9
ALB,2015,5
ALB,2016,9
ALB,2017,9
ALB,2018,9
ALB,2019,9
ALB,2020,9
ALB,2021,14
ALB,2022,26
ALB,2023,42
AND,1960,40
AND,1961,32
AND,1962,32
AND,1963,32
AND,1964,32
AND,1965,32
AND,1966,32
AND,1967,32
AND,1968,32
AND,1969,32
AND,1970,31
AND,1971,31
AND,1972,31
AND,1973,31
AND,1974,31
AND,1975,31
AND,1976,31
AND,1977,31
AND,1978,31
AND,1979,31
AND,1980,31
AND,1981,31
AND,1982,31
AND,1983,31
AND,1984,31
AND,1985,31
AND,1986,31
AND,1987,31
AND,1988,31
AND,1989,31
AND,1990,22
AND,1991,26
AND,1992,26
AND,1993,26
AND,1994,26
AND,1995,24
AND,1996,24
AND,1997,24
AND,1998,24
AND,1999,24
AND,2000,18
AND,2001,22
AND,2002,22
AND,2003,22
AND,2004,20
AND,2005,21
AND,2006,20
AND,2007,20
AND,2008,20
AND,2009,21
AND,2010,23
AND,2011,23
AND,2012,23
AND,2013,23
AND,2014,23
AND,2015,19
AND,2016,23
AND,2017,23
AND,2018,22
AND,2019,22
AND,2020,22
AND,2021,24
AND,2022,35
AND,2023,42
ARE,1960,40
ARE,1961,23
ARE,1962,23
ARE,1963,23
ARE,1964,23
ARE,1965,23
ARE,1966,23
ARE,1967,23
ARE,1968,23
ARE,1969,23
ARE,1970,21
ARE,1971,21
ARE,1972,20
ARE,1973,20
ARE,1974,20
ARE,1975,18
ARE,1976,18
ARE,1977,17
ARE,1978,15
ARE,1979,15
ARE,1980,15
ARE,1981,15
ARE,1982,15
ARE,1983,13
ARE,1984,15
ARE,1985,15
ARE,1986,15
ARE,1987,15
ARE,1988,15
ARE,1989,15
ARE,1990,6
ARE,1991,5
ARE,1992,5
ARE,1993,5
ARE,1994,7
ARE,1995,7
ARE,1996,7
ARE,1997,7
ARE,1998,7
ARE,1999,5
ARE,2000,1
ARE,2001,7
ARE,2002,7
ARE,2003,7
ARE,2004,7
ARE,2005,7
ARE,2006,7
ARE,2007,7
ARE,2008,7
ARE,2009,9
ARE,2010,8
ARE,2011,8
ARE,2012,8
ARE,2013,8
ARE,2014,8
ARE,2015,4
ARE,2016,8
ARE,2017,8
ARE,2018,8
ARE,2019,8
ARE,2020,8
ARE,2021,12
ARE,2022,26
ARE,2023,42
ARG,1960,40
ARG,1961,21
ARG,1962,18
ARG,1963,18
ARG,1964,18
ARG,1965,17
ARG,1966,17
ARG,1967,17
ARG,1968,17
ARG,1969,17
ARG,1970,15
ARG,1971,15
ARG,1972,15
ARG,1973,15
ARG,1974,15
ARG,1975,15
ARG,1976,15
ARG,1977,15
ARG,1978,15
ARG,1979,15
ARG,1980,15
ARG,1981,15
ARG,1982,15
ARG,1983,14
ARG,1984,14
ARG,1985,14
ARG,1986,14
ARG,1987,14
ARG,1988,16
ARG,1989,16
ARG,1990,7
ARG,1991,8
ARG,1992,6
ARG,1993,6
ARG,1994,6
ARG,1995,5
ARG,1996,5
ARG,1997,5
ARG,1998,5
ARG,1999,5
ARG,2000,1
ARG,2001,5
ARG,2002,4
ARG,2003,7
ARG,2004,7
ARG,2005,7
ARG,2006,7
ARG,2007,7
ARG,2008,7
ARG,2009,9
ARG,2010,9
ARG,2011,9
ARG,2012,9
ARG,2013,9
ARG,2014,9
ARG,2015,5
ARG,2016,9
ARG,2017,9
ARG,2018,8
ARG,2019,9
ARG,2020,9
ARG,2021,13
ARG,2022,26
ARG,2023,42
ARM,1960,40
ARM,1961,37
ARM,1962,37
ARM,1963,37
ARM,1964,37
ARM,1965,37
ARM,1966,37
ARM,1967,37
ARM,1968,37
ARM,1969,37
ARM,1970,35
ARM,1971,35
ARM,1972,35
ARM,1973,35
ARM,1974,35
ARM,1975,35
ARM,1976,35
ARM,1977,35
ARM,1978,35
ARM,1979,35
ARM,1980,35
ARM,1981,35
ARM,1982,35
ARM,1983,35
ARM,1984,35
ARM,1985,35
ARM,1986,35
