country_code,anho,null_count
ABW,1960,73
ABW,1961,73
ABW,1962,73
ABW,1963,73
ABW,1964,73
ABW,1965,73
ABW,1966,73
ABW,1967,73
ABW,1968,73
ABW,1969,73
ABW,1970,73
ABW,1971,73
ABW,1972,73
ABW,1973,73
ABW,1974,73
ABW,1975,73
ABW,1976,73
ABW,1977,73
ABW,1978,73
ABW,1979,73
ABW,1980,73
ABW,1981,73
ABW,1982,73
ABW,1983,73
ABW,1984,73
ABW,1985,66
ABW,1986,62
ABW,1987,61
ABW,1988,61
ABW,1989,59
ABW,1990,59
ABW,1991,60
ABW,1992,59
ABW,1993,59
ABW,1994,59
ABW,1995,59
ABW,1996,58
ABW,1997,57
ABW,1998,57
ABW,1999,55
ABW,2000,58
ABW,2001,59
ABW,2002,59
ABW,2003,62
ABW,2004,62
ABW,2005,70
ABW,2006,70
ABW,2007,70
ABW,2008,70
ABW,2009,70
ABW,2010,70
ABW,2011,71
ABW,2012,71
ABW,2013,71
ABW,2014,71
ABW,2015,72
ABW,2016,72
ABW,2017,72
ABW,2018,72
ABW,2019,72
ABW,2020,72
ABW,2021,72
ABW,2022,72
ABW,2023,73
AFG,1960,58
AFG,1961,59
AFG,1962,59
AFG,1963,59
AFG,1964,56
AFG,1965,52
AFG,1966,54
AFG,1967,51
AFG,1968,50
AFG,1969,48
AFG,1970,46
AFG,1971,45
AFG,1972,42
AFG,1973,41
AFG,1974,41
AFG,1975,41
AFG,1976,40
AFG,1977,39
AFG,1978,42
AFG,1979,44
AFG,1980,42
AFG,1981,45
AFG,1982,48
AFG,1983,47
AFG,1984,46
AFG,1985,44
AFG,1986,45
AFG,1987,46
AFG,1988,41
AFG,1989,40
AFG,1990,39
AFG,1991,38
AFG,1992,37
AFG,1993,33
AFG,1994,36
AFG,1995,36
AFG,1996,37
AFG,1997,35
AFG,1998,36
AFG,1999,37
AFG,2000,33
AFG,2001,31
AFG,2002,30
AFG,2003,28
AFG,2004,28
AFG,2005,25
AFG,2006,21
AFG,2007,22
AFG,2008,18
AFG,2009,20
AFG,2010,19
AFG,2011,18
AFG,2012,17
AFG,2013,16
AFG,2014,18
AFG,2015,17
AFG,2016,16
AFG,2017,17
AFG,2018,16
AFG,2019,19
AFG,2020,19
AFG,2021,21
AFG,2022,26
AFG,2023,73
AGO,1960,66
AGO,1961,64
AGO,1962,73
AGO,1963,64
AGO,1964,73
AGO,1965,65
AGO,1966,66
AGO,1967,62
AGO,1968,64
AGO,1969,62
AGO,1970,62
AGO,1971,63
AGO,1972,62
AGO,1973,63
AGO,1974,61
AGO,1975,54
AGO,1976,52
AGO,1977,51
AGO,1978,49
AGO,1979,48
AGO,1980,44
AGO,1981,40
AGO,1982,40
AGO,1983,41
AGO,1984,43
AGO,1985,41
AGO,1986,40
AGO,1987,38
AGO,1988,39
AGO,1989,39
AGO,1990,35
AGO,1991,32
AGO,1992,33
AGO,1993,33
AGO,1994,33
AGO,1995,31
AGO,1996,31
AGO,1997,30
AGO,1998,31
AGO,1999,31
AGO,2000,26
AGO,2001,28
AGO,2002,29
AGO,2003,28
AGO,2004,28
AGO,2005,24
AGO,2006,22
AGO,2007,20
AGO,2008,20
AGO,2009,23
AGO,2010,23
AGO,2011,21
AGO,2012,24
AGO,2013,21
AGO,2014,23
AGO,2015,23
AGO,2016,22
AGO,2017,23
AGO,2018,22
AGO,2019,23
AGO,2020,25
AGO,2021,25
AGO,2022,26
AGO,2023,73
ALB,1960,73
ALB,1961,73
ALB,1962,73
ALB,1963,73
ALB,1964,73
ALB,1965,73
ALB,1966,73
ALB,1967,73
ALB,1968,73
ALB,1969,73
ALB,1970,73
ALB,1971,73
ALB,1972,73
ALB,1973,73
ALB,1974,73
ALB,1975,73
ALB,1976,72
ALB,1977,73
ALB,1978,71
ALB,1979,71
ALB,1980,71
ALB,1981,71
ALB,1982,71
ALB,1983,71
ALB,1984,71
ALB,1985,71
ALB,1986,71
ALB,1987,71
ALB,1988,54
ALB,1989,53
ALB,1990,49
ALB,1991,42
ALB,1992,36
ALB,1993,37
ALB,1994,33
ALB,1995,30
ALB,1996,27
ALB,1997,30
ALB,1998,31
ALB,1999,31
ALB,2000,27
ALB,2001,28
ALB,2002,26
ALB,2003,27
ALB,2004,26
ALB,2005,20
ALB,2006,24
ALB,2007,23
ALB,2008,19
ALB,2009,21
ALB,2010,22
ALB,2011,21
ALB,2012,17
ALB,2013,20
ALB,2014,21
ALB,2015,20
ALB,2016,19
ALB,2017,15
ALB,2018,15
ALB,2019,17
ALB,2020,14
ALB,2021,17
ALB,2022,22
ALB,2023,73
AND,1960,73
AND,1961,73
AND,1962,73
AND,1963,73
AND,1964,73
AND,1965,73
AND,1966,73
AND,1967,73
AND,1968,73
AND,1969,73
AND,1970,73
AND,1971,73
AND,1972,73
AND,1973,73
AND,1974,73
AND,1975,72
AND,1976,73
AND,1977,73
AND,1978,73
AND,1979,73
AND,1980,73
AND,1981,73
AND,1982,73
AND,1983,72
AND,1984,73
AND,1985,72
AND,1986,72
AND,1987,72
AND,1988,72
AND,1989,72
AND,1990,72
AND,1991,72
AND,1992,72
AND,1993,72
AND,1994,72
AND,1995,72
AND,1996,72
AND,1997,72
AND,1998,72
AND,1999,72
AND,2000,71
AND,2001,71
AND,2002,70
AND,2003,70
AND,2004,70
AND,2005,71
AND,2006,71
AND,2007,71
AND,2008,71
AND,2009,71
AND,2010,71
AND,2011,71
AND,2012,71
AND,2013,71
AND,2014,70
AND,2015,70
AND,2016,70
AND,2017,70
AND,2018,70
AND,2019,70
AND,2020,70
AND,2021,70
AND,2022,72
AND,2023,73
ARE,1960,64
ARE,1961,64
ARE,1962,64
ARE,1963,64
ARE,1964,63
ARE,1965,65
ARE,1966,64
ARE,1967,62
ARE,1968,63
ARE,1969,61
ARE,1970,61
ARE,1971,61
ARE,1972,61
ARE,1973,59
ARE,1974,56
ARE,1975,55
ARE,1976,56
ARE,1977,55
ARE,1978,55
ARE,1979,55
ARE,1980,55
ARE,1981,55
ARE,1982,55
ARE,1983,56
ARE,1984,55
ARE,1985,54
