country_code,anho,null_count
ABW,1960,67
ABW,1961,62
ABW,1962,62
ABW,1963,62
ABW,1964,62
ABW,1965,62
ABW,1966,62
ABW,1967,62
ABW,1968,62
ABW,1969,62
ABW,1970,61
ABW,1971,61
ABW,1972,61
ABW,1973,61
ABW,1974,61
ABW,1975,61
ABW,1976,61
ABW,1977,61
ABW,1978,61
ABW,1979,61
ABW,1980,61
ABW,1981,61
ABW,1982,61
ABW,1983,61
ABW,1984,61
ABW,1985,61
ABW,1986,60
ABW,1987,60
ABW,1988,61
ABW,1989,61
ABW,1990,51
ABW,1991,56
ABW,1992,56
ABW,1993,56
ABW,1994,56
ABW,1995,55
ABW,1996,55
ABW,1997,55
ABW,1998,55
ABW,1999,53
ABW,2000,45
ABW,2001,53
ABW,2002,53
ABW,2003,53
ABW,2004,53
ABW,2005,53
ABW,2006,53
ABW,2007,53
ABW,2008,53
ABW,2009,53
ABW,2010,53
ABW,2011,54
ABW,2012,54
ABW,2013,57
ABW,2014,57
ABW,2015,50
ABW,2016,57
ABW,2017,59
ABW,2018,59
ABW,2019,59
ABW,2020,60
ABW,2021,60
ABW,2022,67
ABW,2023,76
AFG,1960,65
AFG,1961,58
AFG,1962,58
AFG,1963,58
AFG,1964,58
AFG,1965,58
AFG,1966,58
AFG,1967,58
AFG,1968,58
AFG,1969,58
AFG,1970,55
AFG,1971,55
AFG,1972,55
AFG,1973,55
AFG,1974,55
AFG,1975,54
AFG,1976,53
AFG,1977,52
AFG,1978,53
AFG,1979,54
AFG,1980,53
AFG,1981,52
AFG,1982,54
AFG,1983,55
AFG,1984,53
AFG,1985,53
AFG,1986,54
AFG,1987,55
AFG,1988,54
AFG,1989,55
AFG,1990,38
AFG,1991,41
AFG,1992,42
AFG,1993,40
AFG,1994,41
AFG,1995,41
AFG,1996,42
AFG,1997,41
AFG,1998,42
AFG,1999,42
AFG,2000,33
AFG,2001,39
AFG,2002,35
AFG,2003,34
AFG,2004,33
AFG,2005,34
AFG,2006,33
AFG,2007,33
AFG,2008,33
AFG,2009,32
AFG,2010,33
AFG,2011,33
AFG,2012,34
AFG,2013,36
AFG,2014,37
AFG,2015,29
AFG,2016,35
AFG,2017,42
AFG,2018,41
AFG,2019,42
AFG,2020,44
AFG,2021,56
AFG,2022,66
AFG,2023,75
AGO,1960,66
AGO,1961,59
AGO,1962,59
AGO,1963,59
AGO,1964,59
AGO,1965,59
AGO,1966,59
AGO,1967,59
AGO,1968,59
AGO,1969,59
AGO,1970,58
AGO,1971,47
AGO,1972,47
AGO,1973,48
AGO,1974,48
AGO,1975,48
AGO,1976,48
AGO,1977,48
AGO,1978,48
AGO,1979,48
AGO,1980,46
AGO,1981,45
AGO,1982,44
AGO,1983,45
AGO,1984,46
AGO,1985,46
AGO,1986,46
AGO,1987,44
AGO,1988,44
AGO,1989,44
AGO,1990,20
AGO,1991,26
AGO,1992,27
AGO,1993,27
AGO,1994,27
AGO,1995,26
AGO,1996,25
AGO,1997,26
AGO,1998,25
AGO,1999,26
AGO,2000,13
AGO,2001,25
AGO,2002,25
AGO,2003,25
AGO,2004,25
AGO,2005,21
AGO,2006,24
AGO,2007,23
AGO,2008,18
AGO,2009,21
AGO,2010,19
AGO,2011,22
AGO,2012,24
AGO,2013,28
AGO,2014,29
AGO,2015,25
AGO,2016,38
AGO,2017,45
AGO,2018,44
AGO,2019,44
AGO,2020,45
AGO,2021,57
AGO,2022,64
AGO,2023,75
ALB,1960,67
ALB,1961,60
ALB,1962,60
ALB,1963,60
ALB,1964,60
ALB,1965,60
ALB,1966,60
ALB,1967,60
ALB,1968,60
ALB,1969,60
ALB,1970,59
ALB,1971,49
ALB,1972,49
ALB,1973,49
ALB,1974,49
ALB,1975,49
ALB,1976,48
ALB,1977,49
ALB,1978,47
ALB,1979,47
ALB,1980,47
ALB,1981,47
ALB,1982,47
ALB,1983,47
ALB,1984,46
ALB,1985,46
ALB,1986,46
ALB,1987,46
ALB,1988,46
ALB,1989,46
ALB,1990,20
ALB,1991,27
ALB,1992,26
ALB,1993,26
ALB,1994,25
ALB,1995,26
ALB,1996,23
ALB,1997,25
ALB,1998,26
ALB,1999,25
ALB,2000,13
ALB,2001,24
ALB,2002,25
ALB,2003,25
ALB,2004,24
ALB,2005,19
ALB,2006,24
ALB,2007,23
ALB,2008,19
ALB,2009,21
ALB,2010,20
ALB,2011,23
ALB,2012,22
ALB,2013,27
ALB,2014,26
ALB,2015,23
ALB,2016,35
ALB,2017,41
