country_code,anho,null_count
ABW,1960,254
ABW,1961,254
ABW,1962,254
ABW,1963,254
ABW,1964,254
ABW,1965,254
ABW,1966,254
ABW,1967,254
ABW,1968,254
ABW,1969,254
ABW,1970,250
ABW,1971,250
ABW,1972,250
ABW,1973,250
ABW,1974,250
ABW,1975,250
ABW,1976,250
ABW,1977,250
ABW,1978,250
ABW,1979,250
ABW,1980,250
ABW,1981,250
ABW,1982,250
ABW,1983,250
ABW,1984,250
ABW,1985,247
ABW,1986,179
ABW,1987,176
ABW,1988,174
ABW,1989,174
ABW,1990,161
ABW,1991,157
ABW,1992,156
ABW,1993,157
ABW,1994,156
ABW,1995,96
ABW,1996,96
ABW,1997,96
ABW,1998,96
ABW,1999,94
ABW,2000,98
ABW,2001,98
ABW,2002,98
ABW,2003,99
ABW,2004,99
ABW,2005,99
ABW,2006,99
ABW,2007,99
ABW,2008,99
ABW,2009,100
ABW,2010,102
ABW,2011,102
ABW,2012,102
ABW,2013,102
ABW,2014,102
ABW,2015,85
ABW,2016,101
ABW,2017,98
ABW,2018,101
ABW,2019,101
ABW,2020,120
ABW,2021,120
ABW,2022,140
ABW,2023,254
AFG,1960,207
AFG,1961,207
AFG,1962,207
AFG,1963,207
AFG,1964,207
AFG,1965,207
AFG,1966,207
AFG,1967,207
AFG,1968,207
AFG,1969,207
AFG,1970,192
AFG,1971,192
AFG,1972,192
AFG,1973,192
AFG,1974,194
AFG,1975,194
AFG,1976,192
AFG,1977,192
AFG,1978,194
AFG,1979,189
AFG,1980,187
AFG,1981,187
AFG,1982,214
AFG,1983,214
AFG,1984,215
AFG,1985,215
AFG,1986,217
AFG,1987,217
AFG,1988,217
AFG,1989,216
AFG,1990,240
AFG,1991,240
AFG,1992,242
AFG,1993,243
AFG,1994,243
AFG,1995,243
AFG,1996,243
AFG,1997,243
AFG,1998,243
AFG,1999,242
AFG,2000,242
AFG,2001,240
AFG,2002,193
AFG,2003,184
AFG,2004,183
AFG,2005,180
AFG,2006,178
AFG,2007,178
AFG,2008,120
AFG,2009,108
AFG,2010,107
AFG,2011,107
AFG,2012,108
AFG,2013,108
AFG,2014,107
AFG,2015,103
AFG,2016,108
AFG,2017,106
AFG,2018,110
AFG,2019,109
AFG,2020,56
AFG,2021,96
AFG,2022,246
AFG,2023,254
AGO,1960,249
AGO,1961,249
AGO,1962,253
AGO,1963,249
AGO,1964,253
AGO,1965,251
AGO,1966,251
AGO,1967,249
AGO,1968,249
AGO,1969,249
AGO,1970,244
AGO,1971,244
AGO,1972,244
AGO,1973,244
AGO,1974,244
AGO,1975,244
AGO,1976,244
AGO,1977,245
AGO,1978,244
AGO,1979,244
AGO,1980,233
AGO,1981,230
AGO,1982,230
AGO,1983,230
AGO,1984,230
AGO,1985,173
AGO,1986,173
AGO,1987,173
AGO,1988,173
AGO,1989,169
AGO,1990,150
AGO,1991,160
AGO,1992,154
AGO,1993,155
AGO,1994,155
AGO,1995,142
AGO,1996,136
AGO,1997,137
AGO,1998,139
AGO,1999,135
AGO,2000,132
AGO,2001,132
AGO,2002,39
AGO,2003,20
AGO,2004,19
AGO,2005,15
AGO,2006,13
AGO,2007,15
AGO,2008,14
AGO,2009,14
AGO,2010,14
AGO,2011,14
AGO,2012,12
AGO,2013,12
AGO,2014,12
AGO,2015,12
AGO,2016,12
AGO,2017,12
AGO,2018,13
AGO,2019,13
AGO,2020,19
AGO,2021,19
AGO,2022,50
AGO,2023,254
ALB,1960,254
ALB,1961,254
ALB,1962,254
ALB,1963,254
ALB,1964,254
ALB,1965,254
ALB,1966,254
ALB,1967,254
ALB,1968,254
ALB,1969,254
ALB,1970,250
ALB,1971,250
ALB,1972,250
ALB,1973,250
ALB,1974,250
ALB,1975,250
ALB,1976,250
ALB,1977,250
ALB,1978,250
ALB,1979,250
ALB,1980,189
ALB,1981,186
ALB,1982,186
ALB,1983,186
ALB,1984,145
ALB,1985,141
ALB,1986,139
ALB,1987,139
ALB,1988,134
ALB,1989,134
ALB,1990,120
ALB,1991,115
ALB,1992,106
ALB,1993,103
ALB,1994,103
ALB,1995,97
ALB,1996,53
ALB,1997,27
ALB,1998,22
ALB,1999,25
ALB,2000,19
ALB,2001,19
ALB,2002,17
ALB,2003,14
ALB,2004,13
ALB,2005,15
ALB,2006,15
ALB,2007,15
ALB,2008,14
ALB,2009,13
ALB,2010,11
ALB,2011,8
ALB,2012,8
ALB,2013,9
ALB,2014,9
ALB,2015,9
ALB,2016,9
ALB,2017,9
ALB,2018,9
ALB,2019,9
ALB,2020,12
ALB,2021,12
ALB,2022,71
ALB,2023,254
AND,1960,254
AND,1961,254
AND,1962,254
AND,1963,254
AND,1964,254
AND,1965,254
AND,1966,254
AND,1967,254
AND,1968,254
AND,1969,254
AND,1970,241
AND,1971,238
AND,1972,238
AND,1973,238
AND,1974,238
AND,1975,238
AND,1976,238
AND,1977,238
AND,1978,238
AND,1979,238
AND,1980,238
AND,1981,238
AND,1982,238
AND,1983,238
AND,1984,238
AND,1985,238
AND,1986,238
AND,1987,238
AND,1988,238
AND,1989,238
AND,1990,236
AND,1991,236
AND,1992,236
AND,1993,236
AND,1994,236
AND,1995,236
AND,1996,236
AND,1997,236
AND,1998,236
AND,1999,236
AND,2000,209
AND,2001,205
AND,2002,205
AND,2003,205
AND,2004,205
AND,2005,203
AND,2006,203
AND,2007,203
AND,2008,203
AND,2009,203
AND,2010,203
AND,2011,203
AND,2012,203
AND,2013,203
AND,2014,203
AND,2015,203
AND,2016,203
AND,2017,203
AND,2018,203
AND,2019,152
AND,2020,155
AND,2021,161
AND,2022,211
AND,2023,254
ARE,1960,251
ARE,1961,251
ARE,1962,251
ARE,1963,251
ARE,1964,250
ARE,1965,252
ARE,1966,250
ARE,1967,249
ARE,1968,249
ARE,1969,249
ARE,1970,244
ARE,1971,244
ARE,1972,244
ARE,1973,242
ARE,1974,242
ARE,1975,219
ARE,1976,216
ARE,1977,211
ARE,1978,211
ARE,1979,216
ARE,1980,214
ARE,1981,209
ARE,1982,214
ARE,1983,214
ARE,1984,214
ARE,1985,209
ARE,1986,214
ARE,1987,214
ARE,1988,214
ARE,1989,214
ARE,1990,204
ARE,1991,204
ARE,1992,204
ARE,1993,204
ARE,1994,204
ARE,1995,204
ARE,1996,206
ARE,1997,204
ARE,1998,204
ARE,1999,204
ARE,2000,184
ARE,2001,105
ARE,2002,89
ARE,2003,89
ARE,2004,89
ARE,2005,91
ARE,2006,91
ARE,2007,89
ARE,2008,88
ARE,2009,88
ARE,2010,86
ARE,2011,84
ARE,2012,79
ARE,2013,78
ARE,2014,79
ARE,2015,79
ARE,2016,79
ARE,2017,79
ARE,2018,79
ARE,2019,81
ARE,2020,84
ARE,2021,175
ARE,2022,190
ARE,2023,254
ARG,1960,194
ARG,1961,184
ARG,1962,183
ARG,1963,183
ARG,1964,183
ARG,1965,162
ARG,1966,158
ARG,1967,158
ARG,1968,158
ARG,1969,158
ARG,1970,141
ARG,1971,142
ARG,1972,141
ARG,1973,142
ARG,1974,141
ARG,1975,141
ARG,1976,103
ARG,1977,102
ARG,1978,100
ARG,1979,99
ARG,1980,103
ARG,1981,103
ARG,1982,103
ARG,1983,71
ARG,1984,64
ARG,1985,69
ARG,1986,64
ARG,1987,58
ARG,1988,63
ARG,1989,58
ARG,1990,34
ARG,1991,33
ARG,1992,29
ARG,1993,16
ARG,1994,13
ARG,1995,13
ARG,1996,13
ARG,1997,13
ARG,1998,13
ARG,1999,13
ARG,2000,13
ARG,2001,13
ARG,2002,13
ARG,2003,18
ARG,2004,12
ARG,2005,13
ARG,2006,13
ARG,2007,14
ARG,2008,14
ARG,2009,14
ARG,2010,14
ARG,2011,12
ARG,2012,12
ARG,2013,12
ARG,2014,11
ARG,2015,11
ARG,2016,11
ARG,2017,11
ARG,2018,13
ARG,2019,13
ARG,2020,16
ARG,2021,16
ARG,2022,49
ARG,2023,254
ARM,1960,254
ARM,1961,254
ARM,1962,254
ARM,1963,254
ARM,1964,254
ARM,1965,254
