country_code,anho,null_count
ABW,1960,162
ABW,1961,162
ABW,1962,162
ABW,1963,162
ABW,1964,162
ABW,1965,162
ABW,1966,162
ABW,1967,162
ABW,1968,162
ABW,1969,162
ABW,1970,158
ABW,1971,158
ABW,1972,158
ABW,1973,158
ABW,1974,158
ABW,1975,158
ABW,1976,158
ABW,1977,158
ABW,1978,158
ABW,1979,158
ABW,1980,158
ABW,1981,158
ABW,1982,158
ABW,1983,158
ABW,1984,158
ABW,1985,158
ABW,1986,158
ABW,1987,158
ABW,1988,158
ABW,1989,158
ABW,1990,158
ABW,1991,146
ABW,1992,158
ABW,1993,158
ABW,1994,158
ABW,1995,158
ABW,1996,158
ABW,1997,158
ABW,1998,149
ABW,1999,57
ABW,2000,46
ABW,2001,69
ABW,2002,67
ABW,2003,74
ABW,2004,68
ABW,2005,68
ABW,2006,91
ABW,2007,82
ABW,2008,79
ABW,2009,72
ABW,2010,72
ABW,2011,102
ABW,2012,99
ABW,2013,103
ABW,2014,107
ABW,2015,129
ABW,2016,136
ABW,2017,156
ABW,2018,156
ABW,2019,156
ABW,2020,149
ABW,2021,156
ABW,2022,156
ABW,2023,164
AFG,1960,162
AFG,1961,162
AFG,1962,162
AFG,1963,162
AFG,1964,162
AFG,1965,162
AFG,1966,162
AFG,1967,162
AFG,1968,162
AFG,1969,162
AFG,1970,123
AFG,1971,126
AFG,1972,124
AFG,1973,111
AFG,1974,92
AFG,1975,113
AFG,1976,121
AFG,1977,112
AFG,1978,125
AFG,1979,130
AFG,1980,122
AFG,1981,120
AFG,1982,122
AFG,1983,155
AFG,1984,120
AFG,1985,125
AFG,1986,133
AFG,1987,156
AFG,1988,138
AFG,1989,144
AFG,1990,127
AFG,1991,129
AFG,1992,145
AFG,1993,92
AFG,1994,122
AFG,1995,129
AFG,1996,145
AFG,1997,144
AFG,1998,139
AFG,1999,131
AFG,2000,137
AFG,2001,127
AFG,2002,132
AFG,2003,113
AFG,2004,120
AFG,2005,120
AFG,2006,126
AFG,2007,106
AFG,2008,120
AFG,2009,112
AFG,2010,110
AFG,2011,86
AFG,2012,106
AFG,2013,106
AFG,2014,97
AFG,2015,79
AFG,2016,92
AFG,2017,92
AFG,2018,94
AFG,2019,129
AFG,2020,138
AFG,2021,115
AFG,2022,139
AFG,2023,159
AGO,1960,162
AGO,1961,162
AGO,1962,162
AGO,1963,162
AGO,1964,162
AGO,1965,162
AGO,1966,162
AGO,1967,162
AGO,1968,162
AGO,1969,162
AGO,1970,158
AGO,1971,137
AGO,1972,134
AGO,1973,148
AGO,1974,153
AGO,1975,158
AGO,1976,158
AGO,1977,158
AGO,1978,156
AGO,1979,157
AGO,1980,152
AGO,1981,143
AGO,1982,110
AGO,1983,122
AGO,1984,148
AGO,1985,146
AGO,1986,140
AGO,1987,140
AGO,1988,140
AGO,1989,140
AGO,1990,130
AGO,1991,126
AGO,1992,128
AGO,1993,145
AGO,1994,145
AGO,1995,145
AGO,1996,145
AGO,1997,145
AGO,1998,85
AGO,1999,120
AGO,2000,126
AGO,2001,122
AGO,2002,127
AGO,2003,140
AGO,2004,142
AGO,2005,136
AGO,2006,129
AGO,2007,132
AGO,2008,76
AGO,2009,77
AGO,2010,78
AGO,2011,72
AGO,2012,141
AGO,2013,137
AGO,2014,116
AGO,2015,101
AGO,2016,109
AGO,2017,131
AGO,2018,131
AGO,2019,137
AGO,2020,141
AGO,2021,141
AGO,2022,142
AGO,2023,159
ALB,1960,162
ALB,1961,162
ALB,1962,162
ALB,1963,162
ALB,1964,162
ALB,1965,162
ALB,1966,162
ALB,1967,162
ALB,1968,162
ALB,1969,162
ALB,1970,158
ALB,1971,150
ALB,1972,150
ALB,1973,157
ALB,1974,157
ALB,1975,157
ALB,1976,141
ALB,1977,158
ALB,1978,135
ALB,1979,141
ALB,1980,139
ALB,1981,132
ALB,1982,138
ALB,1983,132
ALB,1984,132
ALB,1985,132
ALB,1986,132
ALB,1987,132
ALB,1988,132
ALB,1989,132
ALB,1990,125
ALB,1991,117
ALB,1992,119
ALB,1993,119
ALB,1994,113
ALB,1995,107
ALB,1996,106
ALB,1997,113
ALB,1998,123
ALB,1999,104
ALB,2000,74
ALB,2001,56
ALB,2002,125
ALB,2003,89
ALB,2004,93
ALB,2005,115
ALB,2006,105
ALB,2007,97
ALB,2008,52
ALB,2009,72
ALB,2010,71
ALB,2011,44
ALB,2012,43
ALB,2013,59
ALB,2014,72
ALB,2015,63
ALB,2016,66
ALB,2017,41
ALB,2018,59
ALB,2019,96
ALB,2020,82
ALB,2021,80
ALB,2022,109
ALB,2023,159
AND,1960,162
AND,1961,162
AND,1962,162
AND,1963,162
AND,1964,162
AND,1965,162
AND,1966,162
AND,1967,162
AND,1968,162
AND,1969,162
AND,1970,158
AND,1971,149
AND,1972,149
AND,1973,149
AND,1974,149
AND,1975,135
AND,1976,149
AND,1977,158
AND,1978,158
AND,1979,158
AND,1980,158
AND,1981,158
AND,1982,158
AND,1983,134
AND,1984,158
AND,1985,158
AND,1986,158
AND,1987,158
AND,1988,158
AND,1989,158
AND,1990,150
AND,1991,150
AND,1992,150
AND,1993,150
AND,1994,150
AND,1995,150
AND,1996,150
AND,1997,149
