country_code,anho,null_count
ABW,1960,48
ABW,1961,48
ABW,1962,48
ABW,1963,48
ABW,1964,48
ABW,1965,48
ABW,1966,48
ABW,1967,48
ABW,1968,48
ABW,1969,48
ABW,1970,45
ABW,1971,45
ABW,1972,45
ABW,1973,45
ABW,1974,45
ABW,1975,45
ABW,1976,45
ABW,1977,45
ABW,1978,45
ABW,1979,45
ABW,1980,45
ABW,1981,45
ABW,1982,45
ABW,1983,45
ABW,1984,45
ABW,1985,45
ABW,1986,37
ABW,1987,37
ABW,1988,37
ABW,1989,37
ABW,1990,35
ABW,1991,35
ABW,1992,35
ABW,1993,35
ABW,1994,35
ABW,1995,35
ABW,1996,35
ABW,1997,35
ABW,1998,35
ABW,1999,35
ABW,2000,32
ABW,2001,32
ABW,2002,32
ABW,2003,32
ABW,2004,32
ABW,2005,32
ABW,2006,32
ABW,2007,32
ABW,2008,32
ABW,2009,30
ABW,2010,30
ABW,2011,30
ABW,2012,30
ABW,2013,30
ABW,2014,30
ABW,2015,30
ABW,2016,31
ABW,2017,32
ABW,2018,32
ABW,2019,32
ABW,2020,32
ABW,2021,32
ABW,2022,46
ABW,2023,50
AFG,1960,48
AFG,1961,48
AFG,1962,46
AFG,1963,46
AFG,1964,46
AFG,1965,46
AFG,1966,45
AFG,1967,44
AFG,1968,45
AFG,1969,45
AFG,1970,34
AFG,1971,34
AFG,1972,34
AFG,1973,34
AFG,1974,33
AFG,1975,34
AFG,1976,33
AFG,1977,34
AFG,1978,37
AFG,1979,37
AFG,1980,37
AFG,1981,37
AFG,1982,44
AFG,1983,44
AFG,1984,44
AFG,1985,44
AFG,1986,44
AFG,1987,44
AFG,1988,44
AFG,1989,44
AFG,1990,40
AFG,1991,40
AFG,1992,40
AFG,1993,40
AFG,1994,40
AFG,1995,40
AFG,1996,40
AFG,1997,40
AFG,1998,40
AFG,1999,40
AFG,2000,37
AFG,2001,37
AFG,2002,31
AFG,2003,31
AFG,2004,30
AFG,2005,32
AFG,2006,30
AFG,2007,32
AFG,2008,25
AFG,2009,27
AFG,2010,25
AFG,2011,27
AFG,2012,27
AFG,2013,29
AFG,2014,24
AFG,2015,26
AFG,2016,26
AFG,2017,28
AFG,2018,29
AFG,2019,28
AFG,2020,34
AFG,2021,37
AFG,2022,50
AFG,2023,50
AGO,1960,48
AGO,1961,48
AGO,1962,44
AGO,1963,48
AGO,1964,48
AGO,1965,48
AGO,1966,48
AGO,1967,48
AGO,1968,48
AGO,1969,44
AGO,1970,40
AGO,1971,25
AGO,1972,25
AGO,1973,25
AGO,1974,25
AGO,1975,29
AGO,1976,29
AGO,1977,29
AGO,1978,27
AGO,1979,27
AGO,1980,23
AGO,1981,23
AGO,1982,25
AGO,1983,25
AGO,1984,25
AGO,1985,20
AGO,1986,22
AGO,1987,22
AGO,1988,22
AGO,1989,22
AGO,1990,13
AGO,1991,13
