country_code,anho,null_count
ABW,1960,132
ABW,1961,128
ABW,1962,128
ABW,1963,128
ABW,1964,128
ABW,1965,128
ABW,1966,128
ABW,1967,128
ABW,1968,128
ABW,1969,128
ABW,1970,119
ABW,1971,119
ABW,1972,119
ABW,1973,119
ABW,1974,119
ABW,1975,119
ABW,1976,119
ABW,1977,119
ABW,1978,119
ABW,1979,119
ABW,1980,119
ABW,1981,119
ABW,1982,119
ABW,1983,119
ABW,1984,119
ABW,1985,119
ABW,1986,105
ABW,1987,105
ABW,1988,106
ABW,1989,106
ABW,1990,98
ABW,1991,105
ABW,1992,105
ABW,1993,105
ABW,1994,105
ABW,1995,100
ABW,1996,100
ABW,1997,100
ABW,1998,100
ABW,1999,100
ABW,2000,86
ABW,2001,96
ABW,2002,96
ABW,2003,96
ABW,2004,96
ABW,2005,96
ABW,2006,96
ABW,2007,96
ABW,2008,96
ABW,2009,96
ABW,2010,96
ABW,2011,96
ABW,2012,96
ABW,2013,99
ABW,2014,99
ABW,2015,89
ABW,2016,98
ABW,2017,101
ABW,2018,97
ABW,2019,101
ABW,2020,101
ABW,2021,101
ABW,2022,136
ABW,2023,141
AFG,1960,132
AFG,1961,127
AFG,1962,125
AFG,1963,125
AFG,1964,125
AFG,1965,125
AFG,1966,125
AFG,1967,125
AFG,1968,125
AFG,1969,125
AFG,1970,105
AFG,1971,105
AFG,1972,105
AFG,1973,105
AFG,1974,105
AFG,1975,102
AFG,1976,102
AFG,1977,102
AFG,1978,102
AFG,1979,102
AFG,1980,101
AFG,1981,101
AFG,1982,113
AFG,1983,113
AFG,1984,113
AFG,1985,113
AFG,1986,113
AFG,1987,110
AFG,1988,110
AFG,1989,110
AFG,1990,81
AFG,1991,92
AFG,1992,92
AFG,1993,92
AFG,1994,92
AFG,1995,87
AFG,1996,92
AFG,1997,92
AFG,1998,92
AFG,1999,92
AFG,2000,57
AFG,2001,72
AFG,2002,60
AFG,2003,60
AFG,2004,60
AFG,2005,52
AFG,2006,56
AFG,2007,57
AFG,2008,56
AFG,2009,53
AFG,2010,48
AFG,2011,49
AFG,2012,49
AFG,2013,53
AFG,2014,52
AFG,2015,43
AFG,2016,51
AFG,2017,59
AFG,2018,58
AFG,2019,61
AFG,2020,66
AFG,2021,92
AFG,2022,124
AFG,2023,141
AGO,1960,132
AGO,1961,125
AGO,1962,125
AGO,1963,125
AGO,1964,125
AGO,1965,125
AGO,1966,125
AGO,1967,125
AGO,1968,125
AGO,1969,125
AGO,1970,116
AGO,1971,107
AGO,1972,107
AGO,1973,107
AGO,1974,107
AGO,1975,107
AGO,1976,107
AGO,1977,107
AGO,1978,107
AGO,1979,107
AGO,1980,100
AGO,1981,100
AGO,1982,100
AGO,1983,100
AGO,1984,100
AGO,1985,95
AGO,1986,95
AGO,1987,88
AGO,1988,88
AGO,1989,88
AGO,1990,50
AGO,1991,64
AGO,1992,64
AGO,1993,64
AGO,1994,64
AGO,1995,59
AGO,1996,64
AGO,1997,64
AGO,1998,64
AGO,1999,64
AGO,2000,21
AGO,2001,40
AGO,2002,39
AGO,2003,40
AGO,2004,39
AGO,2005,32
AGO,2006,39
AGO,2007,40
AGO,2008,36
AGO,2009,43
AGO,2010,35
AGO,2011,39
AGO,2012,35
AGO,2013,40
AGO,2014,39
AGO,2015,36
AGO,2016,46
AGO,2017,54
AGO,2018,53
AGO,2019,56
