country_code,anho,null_count
ABW,1960,61
ABW,1961,61
ABW,1962,61
ABW,1963,61
ABW,1964,61
ABW,1965,61
ABW,1966,61
ABW,1967,61
ABW,1968,61
ABW,1969,61
ABW,1970,61
ABW,1971,61
ABW,1972,61
ABW,1973,61
ABW,1974,61
ABW,1975,61
ABW,1976,61
ABW,1977,61
ABW,1978,61
ABW,1979,61
ABW,1980,61
ABW,1981,61
ABW,1982,61
ABW,1983,61
ABW,1984,61
ABW,1985,59
ABW,1986,48
ABW,1987,48
ABW,1988,48
ABW,1989,48
ABW,1990,48
ABW,1991,47
ABW,1992,47
ABW,1993,47
ABW,1994,47
ABW,1995,48
ABW,1996,48
ABW,1997,48
ABW,1998,48
ABW,1999,47
ABW,2000,50
ABW,2001,50
ABW,2002,50
ABW,2003,51
ABW,2004,51
ABW,2005,52
ABW,2006,52
ABW,2007,52
ABW,2008,52
ABW,2009,52
ABW,2010,52
ABW,2011,52
ABW,2012,52
ABW,2013,52
ABW,2014,52
ABW,2015,52
ABW,2016,52
ABW,2017,52
ABW,2018,52
ABW,2019,52
ABW,2020,52
ABW,2021,52
ABW,2022,52
ABW,2023,61
AFG,1960,54
AFG,1961,54
AFG,1962,54
AFG,1963,54
AFG,1964,54
AFG,1965,54
AFG,1966,54
AFG,1967,54
AFG,1968,54
AFG,1969,54
AFG,1970,53
AFG,1971,53
AFG,1972,53
AFG,1973,53
AFG,1974,54
AFG,1975,54
AFG,1976,53
AFG,1977,53
AFG,1978,54
AFG,1979,48
AFG,1980,48
AFG,1981,48
AFG,1982,50
AFG,1983,50
AFG,1984,50
AFG,1985,50
AFG,1986,50
AFG,1987,50
AFG,1988,50
AFG,1989,50
AFG,1990,55
AFG,1991,55
AFG,1992,56
AFG,1993,56
AFG,1994,56
AFG,1995,56
AFG,1996,56
AFG,1997,56
AFG,1998,56
AFG,1999,56
AFG,2000,56
AFG,2001,56
AFG,2002,56
AFG,2003,56
AFG,2004,56
AFG,2005,55
AFG,2006,33
AFG,2007,32
AFG,2008,17
AFG,2009,17
AFG,2010,17
AFG,2011,18
AFG,2012,18
AFG,2013,18
AFG,2014,17
AFG,2015,14
AFG,2016,14
AFG,2017,14
AFG,2018,14
AFG,2019,14
AFG,2020,14
AFG,2021,30
AFG,2022,35
AFG,2023,61
AGO,1960,57
AGO,1961,57
AGO,1962,61
AGO,1963,57
AGO,1964,61
AGO,1965,59
AGO,1966,59
AGO,1967,57
AGO,1968,57
AGO,1969,57
AGO,1970,56
AGO,1971,56
AGO,1972,56
AGO,1973,56
AGO,1974,56
AGO,1975,56
AGO,1976,56
AGO,1977,57
AGO,1978,56
AGO,1979,56
AGO,1980,56
AGO,1981,56
AGO,1982,56
AGO,1983,56
AGO,1984,56
AGO,1985,51
AGO,1986,51
AGO,1987,51
AGO,1988,51
AGO,1989,26
AGO,1990,24
AGO,1991,22
AGO,1992,21
AGO,1993,22
AGO,1994,23
AGO,1995,19
AGO,1996,18
AGO,1997,19
AGO,1998,19
AGO,1999,15
AGO,2000,15
AGO,2001,15
AGO,2002,14
AGO,2003,14
AGO,2004,14
AGO,2005,13
AGO,2006,13
AGO,2007,13
AGO,2008,13
AGO,2009,10
AGO,2010,10
AGO,2011,10
AGO,2012,10
AGO,2013,10
AGO,2014,9
AGO,2015,5
AGO,2016,7
AGO,2017,7
AGO,2018,5
AGO,2019,5
AGO,2020,5
AGO,2021,5
AGO,2022,2
AGO,2023,61
ALB,1960,61
ALB,1961,61
ALB,1962,61
ALB,1963,61
ALB,1964,61
ALB,1965,61
ALB,1966,61
ALB,1967,61
ALB,1968,61
ALB,1969,61
ALB,1970,61
ALB,1971,61
ALB,1972,61
ALB,1973,61
ALB,1974,61
ALB,1975,61
ALB,1976,61
ALB,1977,61
ALB,1978,61
ALB,1979,61
ALB,1980,56
ALB,1981,56
ALB,1982,56
ALB,1983,56
ALB,1984,55
ALB,1985,55
ALB,1986,55
ALB,1987,55
ALB,1988,50
ALB,1989,50
ALB,1990,52
ALB,1991,32
ALB,1992,23
ALB,1993,16
ALB,1994,15
ALB,1995,14
ALB,1996,16
ALB,1997,15
ALB,1998,13
ALB,1999,12
ALB,2000,14
ALB,2001,11
ALB,2002,11
ALB,2003,12
ALB,2004,13
ALB,2005,12
ALB,2006,10
ALB,2007,7
ALB,2008,4
ALB,2009,6
ALB,2010,4
ALB,2011,4
ALB,2012,6
ALB,2013,6
ALB,2014,4
ALB,2015,4
ALB,2016,4
ALB,2017,4
ALB,2018,4
ALB,2019,4
ALB,2020,5
ALB,2021,5
ALB,2022,3
ALB,2023,61
AND,1960,61
AND,1961,61
AND,1962,61
AND,1963,61
AND,1964,61
AND,1965,61
AND,1966,61
AND,1967,61
AND,1968,61
AND,1969,61
AND,1970,61
AND,1971,61
AND,1972,61
AND,1973,61
AND,1974,61
AND,1975,61
AND,1976,61
AND,1977,61
AND,1978,61
AND,1979,61
AND,1980,61
AND,1981,61
AND,1982,61
AND,1983,61
AND,1984,61
AND,1985,61
AND,1986,61
AND,1987,61
AND,1988,61
AND,1989,61
AND,1990,61
AND,1991,61
AND,1992,61
AND,1993,61
AND,1994,61
AND,1995,61
AND,1996,61
AND,1997,61
AND,1998,61
AND,1999,61
AND,2000,61
AND,2001,61
AND,2002,61
AND,2003,61
AND,2004,61
AND,2005,60
AND,2006,60
AND,2007,60
AND,2008,60
AND,2009,60
AND,2010,60
AND,2011,60
AND,2012,60
AND,2013,60
AND,2014,60
AND,2015,60
AND,2016,60
AND,2017,60
AND,2018,60
AND,2019,55
AND,2020,55
AND,2021,55
AND,2022,59
AND,2023,61
ARE,1960,58
ARE,1961,58
ARE,1962,58
ARE,1963,58
ARE,1964,57
ARE,1965,59
ARE,1966,58
ARE,1967,57
ARE,1968,57
ARE,1969,57
ARE,1970,56
ARE,1971,56
ARE,1972,56
ARE,1973,55
ARE,1974,55
ARE,1975,55
ARE,1976,55
ARE,1977,55
ARE,1978,55
ARE,1979,55
ARE,1980,55
ARE,1981,55
ARE,1982,55
ARE,1983,55
ARE,1984,55
ARE,1985,55
ARE,1986,55
ARE,1987,55
ARE,1988,55
ARE,1989,55
ARE,1990,55
ARE,1991,55
ARE,1992,55
ARE,1993,55
ARE,1994,55
ARE,1995,55
ARE,1996,57
ARE,1997,57
ARE,1998,57
ARE,1999,57
ARE,2000,56
ARE,2001,56
ARE,2002,56
ARE,2003,56
ARE,2004,56
ARE,2005,58
ARE,2006,58
ARE,2007,58
ARE,2008,58
ARE,2009,58
ARE,2010,58
ARE,2011,58
ARE,2012,58
ARE,2013,58
ARE,2014,58
ARE,2015,58
ARE,2016,58
ARE,2017,58
ARE,2018,58
ARE,2019,58
ARE,2020,58
ARE,2021,58
ARE,2022,58
ARE,2023,61
ARG,1960,56
ARG,1961,56
ARG,1962,56
ARG,1963,56
ARG,1964,56
ARG,1965,56
ARG,1966,56
ARG,1967,56
ARG,1968,56
ARG,1969,56
ARG,1970,26
ARG,1971,24
ARG,1972,23
ARG,1973,23
ARG,1974,23
ARG,1975,23
ARG,1976,14
ARG,1977,14
ARG,1978,13
ARG,1979,13
ARG,1980,13
ARG,1981,13
ARG,1982,13
ARG,1983,7
ARG,1984,9
ARG,1985,7
ARG,1986,7
ARG,1987,7
ARG,1988,7
ARG,1989,7
ARG,1990,7
ARG,1991,7
ARG,1992,6
ARG,1993,8
ARG,1994,7
ARG,1995,7
ARG,1996,7
ARG,1997,7
ARG,1998,7
ARG,1999,7
ARG,2000,7
ARG,2001,7
ARG,2002,10
ARG,2003,8
ARG,2004,7
ARG,2005,6
ARG,2006,6
ARG,2007,7
ARG,2008,8
ARG,2009,7
ARG,2010,7
ARG,2011,7
ARG,2012,7
ARG,2013,7
ARG,2014,7
ARG,2015,7
ARG,2016,7
ARG,2017,7
ARG,2018,6
ARG,2019,6
ARG,2020,6
ARG,2021,6
ARG,2022,3
ARG,2023,61
ARM,1960,61
ARM,1961,61
ARM,1962,61
ARM,1963,61
ARM,1964,61
ARM,1965,61
ARM,1966,61
ARM,1967,61
ARM,1968,61
ARM,1969,61
ARM,1970,61
ARM,1971,61
ARM,1972,61
ARM,1973,61
ARM,1974,61
ARM,1975,61
ARM,1976,61
ARM,1977,61
ARM,1978,61
ARM,1979,61
ARM,1980,61
ARM,1981,61
ARM,1982,61
ARM,1983,61
ARM,1984,61
ARM,1985,61
ARM,1986,61
ARM,1987,61
ARM,1988,61
ARM,1989,61
ARM,1990,60
ARM,1991,55
ARM,1992,53
ARM,1993,25
ARM,1994,20
ARM,1995,16
ARM,1996,15
ARM,1997,15
ARM,1998,12
ARM,1999,13
ARM,2000,13
ARM,2001,12
ARM,2002,8
ARM,2003,10
ARM,2004,10
ARM,2005,12
ARM,2006,12
ARM,2007,9
ARM,2008,10
ARM,2009,9
ARM,2010,9
ARM,2011,7
ARM,2012,7
ARM,2013,6
ARM,2014,8
ARM,2015,6
ARM,2016,6
ARM,2017,6
ARM,2018,5
ARM,2019,5
ARM,2020,4
ARM,2021,5
ARM,2022,4
ARM,2023,61
ASM,1960,61
ASM,1961,61
ASM,1962,61
ASM,1963,61
ASM,1964,61
ASM,1965,61
ASM,1966,61
ASM,1967,61
ASM,1968,61
ASM,1969,61
ASM,1970,61
ASM,1971,61
ASM,1972,61
ASM,1973,60
ASM,1974,60
ASM,1975,60
ASM,1976,60
ASM,1977,60
ASM,1978,60
ASM,1979,60
ASM,1980,60
ASM,1981,60
ASM,1982,60
ASM,1983,60
ASM,1984,60
ASM,1985,60
ASM,1986,61
