country_code,anho,null_count
ABW,1960,74
ABW,1961,75
ABW,1962,75
ABW,1963,75
ABW,1964,75
ABW,1965,74
ABW,1966,75
ABW,1967,75
ABW,1968,75
ABW,1969,75
ABW,1970,74
ABW,1971,75
ABW,1972,75
ABW,1973,75
ABW,1974,75
ABW,1975,74
ABW,1976,75
ABW,1977,75
ABW,1978,75
ABW,1979,75
ABW,1980,73
ABW,1981,75
ABW,1982,75
ABW,1983,75
ABW,1984,74
ABW,1985,71
ABW,1986,50
ABW,1987,47
ABW,1988,47
ABW,1989,47
ABW,1990,41
ABW,1991,39
ABW,1992,39
ABW,1993,39
ABW,1994,39
ABW,1995,38
ABW,1996,40
ABW,1997,40
ABW,1998,40
ABW,1999,39
ABW,2000,37
ABW,2001,39
ABW,2002,39
ABW,2003,40
ABW,2004,39
ABW,2005,37
ABW,2006,39
ABW,2007,39
ABW,2008,39
ABW,2009,39
ABW,2010,37
ABW,2011,37
ABW,2012,37
ABW,2013,37
ABW,2014,37
ABW,2015,35
ABW,2016,37
ABW,2017,37
ABW,2018,37
ABW,2019,37
ABW,2020,39
ABW,2021,39
ABW,2022,41
ABW,2023,75
AFG,1960,62
AFG,1961,59
AFG,1962,59
AFG,1963,59
AFG,1964,59
AFG,1965,58
AFG,1966,59
AFG,1967,59
AFG,1968,59
AFG,1969,59
AFG,1970,56
AFG,1971,57
AFG,1972,57
AFG,1973,57
AFG,1974,59
AFG,1975,58
AFG,1976,57
AFG,1977,57
AFG,1978,59
AFG,1979,53
AFG,1980,52
AFG,1981,53
AFG,1982,60
AFG,1983,67
AFG,1984,63
AFG,1985,59
AFG,1986,60
AFG,1987,60
AFG,1988,60
AFG,1989,60
AFG,1990,61
AFG,1991,70
AFG,1992,72
AFG,1993,73
AFG,1994,73
AFG,1995,71
AFG,1996,73
AFG,1997,73
AFG,1998,73
AFG,1999,72
AFG,2000,70
AFG,2001,72
AFG,2002,70
AFG,2003,67
AFG,2004,62
AFG,2005,57
AFG,2006,50
AFG,2007,46
AFG,2008,33
AFG,2009,33
AFG,2010,29
AFG,2011,21
AFG,2012,30
AFG,2013,28
AFG,2014,19
AFG,2015,26
AFG,2016,27
AFG,2017,18
AFG,2018,29
AFG,2019,31
AFG,2020,41
AFG,2021,56
AFG,2022,72
AFG,2023,74
AGO,1960,72
AGO,1961,73
AGO,1962,73
AGO,1963,73
AGO,1964,73
AGO,1965,72
AGO,1966,73
AGO,1967,73
AGO,1968,73
AGO,1969,73
AGO,1970,71
AGO,1971,72
AGO,1972,72
AGO,1973,72
AGO,1974,72
AGO,1975,71
AGO,1976,72
AGO,1977,73
AGO,1978,72
AGO,1979,72
AGO,1980,70
AGO,1981,71
AGO,1982,71
AGO,1983,71
AGO,1984,71
AGO,1985,65
AGO,1986,66
AGO,1987,66
AGO,1988,66
AGO,1989,66
AGO,1990,62
AGO,1991,65
AGO,1992,63
AGO,1993,63
AGO,1994,63
AGO,1995,45
AGO,1996,42
AGO,1997,44
AGO,1998,46
AGO,1999,44
AGO,2000,44
AGO,2001,45
AGO,2002,41
AGO,2003,40
AGO,2004,35
AGO,2005,31
AGO,2006,33
AGO,2007,34
AGO,2008,32
AGO,2009,33
AGO,2010,28
AGO,2011,23
AGO,2012,29
AGO,2013,26
AGO,2014,17
AGO,2015,20
AGO,2016,21
AGO,2017,22
AGO,2018,21
AGO,2019,22
AGO,2020,25
AGO,2021,25
AGO,2022,32
AGO,2023,74
ALB,1960,74
ALB,1961,75
ALB,1962,75
ALB,1963,75
ALB,1964,75
ALB,1965,74
ALB,1966,75
ALB,1967,75
ALB,1968,75
ALB,1969,75
ALB,1970,74
ALB,1971,75
ALB,1972,75
ALB,1973,75
ALB,1974,75
ALB,1975,73
ALB,1976,75
ALB,1977,75
ALB,1978,75
ALB,1979,75
ALB,1980,70
ALB,1981,71
ALB,1982,71
ALB,1983,71
ALB,1984,68
ALB,1985,67
ALB,1986,66
ALB,1987,67
ALB,1988,67
ALB,1989,67
ALB,1990,67
ALB,1991,68
ALB,1992,58
ALB,1993,54
ALB,1994,45
ALB,1995,41
ALB,1996,43
ALB,1997,42
ALB,1998,46
ALB,1999,42
ALB,2000,39
ALB,2001,40
ALB,2002,39
ALB,2003,38
ALB,2004,32
ALB,2005,30
ALB,2006,32
ALB,2007,32
ALB,2008,30
ALB,2009,28
ALB,2010,23
