country_code,anho,null_count
ABW,1960,148
ABW,1961,148
ABW,1962,148
ABW,1963,148
ABW,1964,148
ABW,1965,148
ABW,1966,148
ABW,1967,148
ABW,1968,148
ABW,1969,148
ABW,1970,148
ABW,1971,148
ABW,1972,148
ABW,1973,148
ABW,1974,148
ABW,1975,148
ABW,1976,148
ABW,1977,148
ABW,1978,148
ABW,1979,148
ABW,1980,148
ABW,1981,148
ABW,1982,148
ABW,1983,148
ABW,1984,148
ABW,1985,148
ABW,1986,148
ABW,1987,148
ABW,1988,148
ABW,1989,148
ABW,1990,148
ABW,1991,136
ABW,1992,148
ABW,1993,148
ABW,1994,148
ABW,1995,148
ABW,1996,148
ABW,1997,148
ABW,1998,148
ABW,1999,106
ABW,2000,94
ABW,2001,116
ABW,2002,111
ABW,2003,111
ABW,2004,110
ABW,2005,114
ABW,2006,118
ABW,2007,116
ABW,2008,114
ABW,2009,114
ABW,2010,102
ABW,2011,126
ABW,2012,128
ABW,2013,127
ABW,2014,131
ABW,2015,139
ABW,2016,145
ABW,2017,148
ABW,2018,148
ABW,2019,148
ABW,2020,143
ABW,2021,148
ABW,2022,156
ABW,2023,156
AFG,1960,148
AFG,1961,148
AFG,1962,148
AFG,1963,148
AFG,1964,148
AFG,1965,148
AFG,1966,148
AFG,1967,148
AFG,1968,148
AFG,1969,148
AFG,1970,129
AFG,1971,134
AFG,1972,131
AFG,1973,125
AFG,1974,117
AFG,1975,118
AFG,1976,126
AFG,1977,119
AFG,1978,127
AFG,1979,129
AFG,1980,132
AFG,1981,128
AFG,1982,131
AFG,1983,147
AFG,1984,127
AFG,1985,129
AFG,1986,132
AFG,1987,147
AFG,1988,135
AFG,1989,142
AFG,1990,135
AFG,1991,107
AFG,1992,117
AFG,1993,91
AFG,1994,105
AFG,1995,107
AFG,1996,117
AFG,1997,117
AFG,1998,117
AFG,1999,110
AFG,2000,105
AFG,2001,104
AFG,2002,107
AFG,2003,93
AFG,2004,100
AFG,2005,97
AFG,2006,101
AFG,2007,94
AFG,2008,96
AFG,2009,97
AFG,2010,94
AFG,2011,78
AFG,2012,97
AFG,2013,95
AFG,2014,87
AFG,2015,62
AFG,2016,90
AFG,2017,86
AFG,2018,84
AFG,2019,105
AFG,2020,105
AFG,2021,88
AFG,2022,116
AFG,2023,144
AGO,1960,148
AGO,1961,148
AGO,1962,148
AGO,1963,148
AGO,1964,148
AGO,1965,148
AGO,1966,148
AGO,1967,148
AGO,1968,148
AGO,1969,148
AGO,1970,147
AGO,1971,136
AGO,1972,134
AGO,1973,147
AGO,1974,147
AGO,1975,147
AGO,1976,147
AGO,1977,147
AGO,1978,147
AGO,1979,147
AGO,1980,147
AGO,1981,145
AGO,1982,126
AGO,1983,130
AGO,1984,147
AGO,1985,147
AGO,1986,140
AGO,1987,140
AGO,1988,140
AGO,1989,140
AGO,1990,134
AGO,1991,111
AGO,1992,111
AGO,1993,117
AGO,1994,117
AGO,1995,117
AGO,1996,113
AGO,1997,116
AGO,1998,88
AGO,1999,104
AGO,2000,106
AGO,2001,92
AGO,2002,104
AGO,2003,112
AGO,2004,113
AGO,2005,113
AGO,2006,111
AGO,2007,105
AGO,2008,78
AGO,2009,79
AGO,2010,82
AGO,2011,79
AGO,2012,113
AGO,2013,110
AGO,2014,90
AGO,2015,90
AGO,2016,79
AGO,2017,107
AGO,2018,107
AGO,2019,108
AGO,2020,113
AGO,2021,114
AGO,2022,122
AGO,2023,144
ALB,1960,148
ALB,1961,148
ALB,1962,148
ALB,1963,148
ALB,1964,148
ALB,1965,148
ALB,1966,148
ALB,1967,148
ALB,1968,148
ALB,1969,148
ALB,1970,147
ALB,1971,144
ALB,1972,144
ALB,1973,147
ALB,1974,147
ALB,1975,147
ALB,1976,136
ALB,1977,147
ALB,1978,133
ALB,1979,136
ALB,1980,136
ALB,1981,133
ALB,1982,136
ALB,1983,133
ALB,1984,133
ALB,1985,133
ALB,1986,133
ALB,1987,132
ALB,1988,132
ALB,1989,131
ALB,1990,129
ALB,1991,100
ALB,1992,101
ALB,1993,101
ALB,1994,100
ALB,1995,93
ALB,1996,94
ALB,1997,98
ALB,1998,107
ALB,1999,94
ALB,2000,69
ALB,2001,61
ALB,2002,97
ALB,2003,87
ALB,2004,83
ALB,2005,85
ALB,2006,90
ALB,2007,84
ALB,2008,57
ALB,2009,54
ALB,2010,61
ALB,2011,50
ALB,2012,49
ALB,2013,71
ALB,2014,77
ALB,2015,75
ALB,2016,77
ALB,2017,60
ALB,2018,59
ALB,2019,87
ALB,2020,89
ALB,2021,92
ALB,2022,109
ALB,2023,144
AND,1960,153
AND,1961,153
AND,1962,153
AND,1963,153
AND,1964,153
AND,1965,153
AND,1966,153
AND,1967,153
AND,1968,153
AND,1969,153
AND,1970,153
AND,1971,148
AND,1972,148
AND,1973,148
AND,1974,148
AND,1975,140
AND,1976,148
AND,1977,153
AND,1978,153
AND,1979,153
AND,1980,153
AND,1981,153
AND,1982,153
AND,1983,140
AND,1984,153
AND,1985,153
AND,1986,153
AND,1987,153
AND,1988,153
AND,1989,153
AND,1990,153
AND,1991,153
AND,1992,153
AND,1993,153
AND,1994,153
AND,1995,153
AND,1996,153
AND,1997,152
AND,1998,152
AND,1999,152
AND,2000,150
AND,2001,152
AND,2002,135
AND,2003,123
AND,2004,120
AND,2005,120
AND,2006,118
AND,2007,136
AND,2008,133
AND,2009,136
AND,2010,134
AND,2011,137
AND,2012,134
AND,2013,131
AND,2014,110
AND,2015,107
AND,2016,105
AND,2017,130
AND,2018,129
AND,2019,135
AND,2020,135
AND,2021,137
AND,2022,118
AND,2023,156
ARE,1960,148
ARE,1961,148
ARE,1962,148
ARE,1963,148
ARE,1964,148
ARE,1965,148
ARE,1966,148
ARE,1967,148
ARE,1968,148
ARE,1969,148
ARE,1970,147
ARE,1971,141
ARE,1972,141
ARE,1973,129
ARE,1974,127
ARE,1975,116
ARE,1976,125
ARE,1977,121
ARE,1978,117
ARE,1979,124
ARE,1980,118
ARE,1981,121
ARE,1982,115
ARE,1983,114
ARE,1984,114
ARE,1985,109
ARE,1986,114
ARE,1987,114
ARE,1988,114
ARE,1989,114
ARE,1990,112
ARE,1991,86
ARE,1992,86
ARE,1993,86
ARE,1994,84
ARE,1995,83
ARE,1996,94
ARE,1997,86
ARE,1998,87
ARE,1999,104
ARE,2000,101
ARE,2001,101
ARE,2002,105
ARE,2003,102
ARE,2004,100
ARE,2005,80
ARE,2006,102
ARE,2007,98
ARE,2008,113
ARE,2009,106
ARE,2010,103
ARE,2011,107
ARE,2012,88
ARE,2013,93
ARE,2014,99
ARE,2015,97
ARE,2016,90
ARE,2017,76
ARE,2018,88
ARE,2019,69
ARE,2020,97
ARE,2021,89
ARE,2022,120
ARE,2023,144
ARG,1960,148
ARG,1961,148
ARG,1962,148
ARG,1963,148
ARG,1964,148
ARG,1965,148
ARG,1966,148
ARG,1967,148
ARG,1968,148
ARG,1969,148
ARG,1970,102
ARG,1971,123
ARG,1972,129
ARG,1973,129
ARG,1974,117
ARG,1975,111
ARG,1976,123
ARG,1977,129
ARG,1978,132
ARG,1979,132
ARG,1980,119
ARG,1981,130
ARG,1982,130
ARG,1983,135
ARG,1984,129
ARG,1985,128
ARG,1986,128
ARG,1987,128
ARG,1988,131
ARG,1989,146
