country_code,anho,null_count
ABW,1960,180
ABW,1961,180
ABW,1962,180
ABW,1963,180
ABW,1964,180
ABW,1965,179
ABW,1966,180
ABW,1967,180
ABW,1968,180
ABW,1969,180
ABW,1970,179
ABW,1971,180
ABW,1972,180
ABW,1973,180
ABW,1974,180
ABW,1975,179
ABW,1976,180
ABW,1977,180
ABW,1978,180
ABW,1979,180
ABW,1980,179
ABW,1981,180
ABW,1982,180
ABW,1983,180
ABW,1984,180
ABW,1985,179
ABW,1986,180
ABW,1987,180
ABW,1988,180
ABW,1989,180
ABW,1990,178
ABW,1991,180
ABW,1992,180
ABW,1993,180
ABW,1994,180
ABW,1995,177
ABW,1996,180
ABW,1997,180
ABW,1998,180
ABW,1999,180
ABW,2000,173
ABW,2001,176
ABW,2002,175
ABW,2003,176
ABW,2004,176
ABW,2005,174
ABW,2006,176
ABW,2007,176
ABW,2008,176
ABW,2009,175
ABW,2010,173
ABW,2011,173
ABW,2012,175
ABW,2013,175
ABW,2014,175
ABW,2015,174
ABW,2016,175
ABW,2017,176
ABW,2018,176
ABW,2019,176
ABW,2020,176
ABW,2021,175
ABW,2022,188
ABW,2023,253
AFG,1960,177
AFG,1961,179
AFG,1962,179
AFG,1963,174
AFG,1964,173
AFG,1965,171
AFG,1966,173
AFG,1967,173
AFG,1968,172
AFG,1969,172
AFG,1970,169
AFG,1971,172
AFG,1972,172
AFG,1973,172
AFG,1974,172
AFG,1975,171
AFG,1976,172
AFG,1977,172
AFG,1978,172
AFG,1979,171
AFG,1980,167
AFG,1981,167
AFG,1982,168
AFG,1983,168
AFG,1984,168
AFG,1985,167
AFG,1986,166
AFG,1987,164
AFG,1988,166
AFG,1989,164
AFG,1990,149
AFG,1991,153
AFG,1992,153
AFG,1993,152
AFG,1994,153
AFG,1995,151
AFG,1996,153
AFG,1997,147
AFG,1998,154
AFG,1999,154
AFG,2000,98
AFG,2001,111
AFG,2002,96
AFG,2003,87
AFG,2004,85
AFG,2005,80
AFG,2006,85
AFG,2007,78
AFG,2008,84
AFG,2009,89
AFG,2010,73
AFG,2011,78
AFG,2012,88
AFG,2013,63
AFG,2014,86
AFG,2015,45
AFG,2016,78
AFG,2017,82
AFG,2018,64
AFG,2019,75
AFG,2020,88
AFG,2021,111
AFG,2022,166
AFG,2023,253
AGO,1960,177
AGO,1961,179
AGO,1962,179
AGO,1963,179
AGO,1964,179
AGO,1965,177
AGO,1966,179
AGO,1967,179
AGO,1968,179
AGO,1969,179
AGO,1970,176
AGO,1971,179
AGO,1972,179
AGO,1973,179
AGO,1974,179
AGO,1975,178
AGO,1976,178
AGO,1977,178
AGO,1978,178
AGO,1979,178
AGO,1980,171
AGO,1981,171
AGO,1982,171
AGO,1983,168
AGO,1984,167
AGO,1985,166
AGO,1986,166
AGO,1987,166
AGO,1988,167
AGO,1989,165
AGO,1990,149
AGO,1991,153
AGO,1992,153
AGO,1993,153
AGO,1994,153
AGO,1995,151
AGO,1996,134
AGO,1997,151
AGO,1998,153
AGO,1999,153
AGO,2000,91
AGO,2001,88
AGO,2002,98
AGO,2003,96
AGO,2004,94
AGO,2005,89
AGO,2006,96
AGO,2007,83
AGO,2008,84
AGO,2009,91
AGO,2010,86
AGO,2011,89
AGO,2012,92
AGO,2013,92
AGO,2014,92
AGO,2015,66
AGO,2016,63
AGO,2017,90
AGO,2018,77
AGO,2019,79
AGO,2020,104
AGO,2021,130
AGO,2022,173
AGO,2023,253
ALB,1960,178
ALB,1961,180
ALB,1962,180
ALB,1963,180
ALB,1964,179
ALB,1965,177
ALB,1966,179
ALB,1967,179
ALB,1968,179
ALB,1969,179
ALB,1970,177
ALB,1971,178
ALB,1972,178
ALB,1973,179
ALB,1974,179
ALB,1975,178
ALB,1976,180
ALB,1977,178
ALB,1978,173
ALB,1979,171
ALB,1980,165
ALB,1981,167
ALB,1982,167
ALB,1983,165
ALB,1984,165
ALB,1985,164
ALB,1986,166
ALB,1987,165
ALB,1988,165
ALB,1989,164
ALB,1990,150
ALB,1991,153
ALB,1992,151
ALB,1993,151
ALB,1994,150
ALB,1995,147
ALB,1996,138
ALB,1997,148
ALB,1998,149
ALB,1999,150
ALB,2000,76
ALB,2001,94
ALB,2002,77
ALB,2003,94
ALB,2004,94
ALB,2005,49
ALB,2006,94
ALB,2007,96
ALB,2008,88
ALB,2009,51
ALB,2010,82
ALB,2011,95
ALB,2012,85
ALB,2013,94
ALB,2014,99
ALB,2015,85
ALB,2016,95
ALB,2017,69
ALB,2018,67
ALB,2019,94
ALB,2020,119
ALB,2021,131
ALB,2022,170
ALB,2023,253
AND,1960,188
AND,1961,188
AND,1962,188
AND,1963,188
AND,1964,188
AND,1965,187
AND,1966,188
AND,1967,188
AND,1968,188
AND,1969,188
AND,1970,187
AND,1971,188
AND,1972,188
AND,1973,188
AND,1974,188
AND,1975,187
AND,1976,188
AND,1977,188
AND,1978,188
AND,1979,188
AND,1980,187
AND,1981,188
AND,1982,188
AND,1983,188
AND,1984,188
AND,1985,181
AND,1986,180
AND,1987,180
AND,1988,180
AND,1989,179
AND,1990,175
AND,1991,177
AND,1992,177
AND,1993,177
AND,1994,177
AND,1995,173
AND,1996,176
AND,1997,171
AND,1998,171
AND,1999,172
AND,2000,127
AND,2001,136
AND,2002,136
AND,2003,135
AND,2004,136
AND,2005,125
AND,2006,133
AND,2007,133
AND,2008,136
AND,2009,133
AND,2010,126
AND,2011,138
AND,2012,136
AND,2013,138
AND,2014,137
AND,2015,126
AND,2016,137
AND,2017,137
AND,2018,134
AND,2019,131
AND,2020,139
AND,2021,157
AND,2022,172
AND,2023,253
ARE,1960,174
ARE,1961,173
ARE,1962,173
ARE,1963,173
ARE,1964,173
ARE,1965,171
ARE,1966,172
ARE,1967,172
ARE,1968,171
ARE,1969,171
ARE,1970,170
ARE,1971,171
ARE,1972,171
ARE,1973,171
ARE,1974,171
ARE,1975,171
ARE,1976,171
ARE,1977,171
ARE,1978,170
ARE,1979,169
ARE,1980,164
ARE,1981,166
ARE,1982,167
ARE,1983,167
ARE,1984,166
ARE,1985,166
ARE,1986,167
ARE,1987,167
ARE,1988,168
ARE,1989,166
ARE,1990,162
ARE,1991,166
ARE,1992,165
ARE,1993,164
ARE,1994,164
ARE,1995,156
ARE,1996,163
ARE,1997,164
ARE,1998,163
ARE,1999,163
ARE,2000,101
ARE,2001,109
ARE,2002,109
ARE,2003,108
ARE,2004,108
ARE,2005,102
ARE,2006,107
ARE,2007,107
ARE,2008,107
ARE,2009,107
ARE,2010,99
ARE,2011,108
ARE,2012,107
ARE,2013,107
ARE,2014,106
ARE,2015,96
ARE,2016,106
ARE,2017,105
ARE,2018,103
ARE,2019,95
ARE,2020,119
ARE,2021,143
ARE,2022,173
ARE,2023,253
ARG,1960,178
ARG,1961,180
ARG,1962,180
ARG,1963,180
ARG,1964,180
ARG,1965,178
ARG,1966,180
ARG,1967,180
ARG,1968,180
ARG,1969,173
ARG,1970,168
ARG,1971,170
ARG,1972,170
ARG,1973,170
ARG,1974,169
ARG,1975,167
ARG,1976,169
ARG,1977,169
ARG,1978,169
ARG,1979,169
ARG,1980,165
ARG,1981,166
ARG,1982,166
ARG,1983,166
ARG,1984,165
ARG,1985,163
ARG,1986,163
ARG,1987,164
ARG,1988,164
ARG,1989,164
ARG,1990,149
ARG,1991,154
ARG,1992,150
ARG,1993,152
ARG,1994,149
ARG,1995,151
ARG,1996,144
ARG,1997,152
ARG,1998,151
ARG,1999,153
ARG,2000,88
ARG,2001,97
ARG,2002,98
ARG,2003,97
ARG,2004,89
ARG,2005,77
ARG,2006,95
ARG,2007,94
ARG,2008,95
ARG,2009,94
ARG,2010,82
ARG,2011,91
ARG,2012,88
ARG,2013,90
ARG,2014,94
ARG,2015,81
ARG,2016,91
ARG,2017,95
ARG,2018,82
ARG,2019,86
ARG,2020,98
ARG,2021,139
ARG,2022,179
ARG,2023,253
ARM,1960,181
ARM,1961,180
ARM,1962,180
ARM,1963,180
ARM,1964,179
ARM,1965,180
ARM,1966,180
ARM,1967,180
ARM,1968,179
ARM,1969,179
ARM,1970,179
ARM,1971,179
ARM,1972,179
ARM,1973,180
ARM,1974,180
ARM,1975,180
ARM,1976,174
ARM,1977,171
ARM,1978,170
ARM,1979,170
ARM,1980,169
ARM,1981,168
ARM,1982,168
ARM,1983,168
ARM,1984,168
ARM,1985,167
ARM,1986,167
ARM,1987,167
ARM,1988,167
ARM,1989,167
ARM,1990,164
ARM,1991,164
ARM,1992,161
ARM,1993,162
ARM,1994,162
ARM,1995,160
ARM,1996,162
ARM,1997,159
ARM,1998,147
ARM,1999,151
ARM,2000,52
ARM,2001,90
ARM,2002,89
ARM,2003,88
ARM,2004,88
ARM,2005,36
ARM,2006,89
ARM,2007,88
ARM,2008,88
ARM,2009,89
ARM,2010,34
ARM,2011,87
ARM,2012,88
ARM,2013,89
ARM,2014,87
ARM,2015,74
ARM,2016,47
ARM,2017,87
ARM,2018,99
ARM,2019,77
ARM,2020,103
ARM,2021,128
ARM,2022,168
ARM,2023,253
ASM,1960,188
ASM,1961,188
ASM,1962,188
ASM,1963,188
ASM,1964,188
ASM,1965,187
ASM,1966,188
ASM,1967,188
ASM,1968,188
ASM,1969,188
ASM,1970,187
ASM,1971,188
ASM,1972,188
ASM,1973,188
ASM,1974,188
ASM,1975,187
ASM,1976,188
ASM,1977,188
ASM,1978,188
ASM,1979,188
ASM,1980,187
ASM,1981,188
ASM,1982,188
ASM,1983,188
ASM,1984,187
ASM,1985,187
ASM,1986,188
ASM,1987,188
ASM,1988,188
ASM,1989,188
ASM,1990,186
ASM,1991,188
ASM,1992,188
ASM,1993,188
ASM,1994,188
ASM,1995,186
ASM,1996,188
ASM,1997,188
ASM,1998,188
ASM,1999,187
ASM,2000,178
ASM,2001,180
ASM,2002,179
ASM,2003,180
ASM,2004,180
ASM,2005,178
ASM,2006,179
ASM,2007,180
ASM,2008,180
ASM,2009,180
ASM,2010,177
ASM,2011,181
ASM,2012,182
ASM,2013,182
ASM,2014,180
ASM,2015,179
ASM,2016,181
ASM,2017,178
ASM,2018,181
ASM,2019,180
ASM,2020,179
ASM,2021,181
ASM,2022,189
ASM,2023,253
ATG,1960,170
ATG,1961,172
ATG,1962,172
ATG,1963,172
ATG,1964,172
ATG,1965,171
ATG,1966,172
ATG,1967,172
ATG,1968,172
ATG,1969,172
ATG,1970,169
ATG,1971,171
ATG,1972,170
ATG,1973,170
ATG,1974,170
ATG,1975,169
ATG,1976,170
ATG,1977,170
ATG,1978,170
ATG,1979,170
ATG,1980,168
ATG,1981,167
ATG,1982,169
ATG,1983,168
ATG,1984,168
ATG,1985,167
ATG,1986,168
ATG,1987,168
ATG,1988,167
ATG,1989,168
ATG,1990,164
ATG,1991,167
ATG,1992,167
ATG,1993,166
ATG,1994,168
ATG,1995,164
ATG,1996,165
ATG,1997,167
ATG,1998,166
ATG,1999,166
ATG,2000,118
ATG,2001,125
ATG,2002,123
ATG,2003,126
ATG,2004,125
ATG,2005,118
ATG,2006,126
ATG,2007,122
ATG,2008,122
ATG,2009,116
ATG,2010,107
ATG,2011,117
ATG,2012,116
ATG,2013,115
ATG,2014,115
ATG,2015,106
ATG,2016,115
ATG,2017,113
ATG,2018,117
ATG,2019,108
ATG,2020,130
ATG,2021,150
ATG,2022,177
ATG,2023,253
AUS,1960,171
AUS,1961,170
AUS,1962,171
AUS,1963,171
AUS,1964,171
AUS,1965,169
AUS,1966,169
AUS,1967,170
AUS,1968,169
AUS,1969,168
AUS,1970,167
AUS,1971,168
AUS,1972,169
AUS,1973,169
AUS,1974,169
AUS,1975,168
AUS,1976,168
AUS,1977,169
AUS,1978,168
AUS,1979,168
AUS,1980,166
AUS,1981,166
AUS,1982,167
AUS,1983,166
AUS,1984,165
AUS,1985,164
AUS,1986,164
AUS,1987,165
AUS,1988,166
AUS,1989,165
AUS,1990,153
AUS,1991,152
AUS,1992,152
AUS,1993,153
AUS,1994,153
AUS,1995,147
AUS,1996,152
AUS,1997,151
AUS,1998,153
AUS,1999,153
AUS,2000,90
AUS,2001,101
AUS,2002,100
AUS,2003,98
AUS,2004,99
AUS,2005,90
AUS,2006,96
AUS,2007,90
AUS,2008,98
AUS,2009,86
AUS,2010,86
AUS,2011,97
AUS,2012,94
AUS,2013,97
AUS,2014,98
AUS,2015,71
AUS,2016,92
AUS,2017,95
AUS,2018,95
AUS,2019,82
AUS,2020,110
AUS,2021,139
AUS,2022,175
AUS,2023,253
AUT,1960,167
