country_code,anho,null_count
ABW,1960,45
ABW,1961,47
ABW,1962,47
ABW,1963,47
ABW,1964,47
ABW,1965,45
ABW,1966,47
ABW,1967,47
ABW,1968,47
ABW,1969,47
ABW,1970,45
ABW,1971,47
ABW,1972,47
ABW,1973,47
ABW,1974,47
ABW,1975,45
ABW,1976,45
ABW,1977,45
ABW,1978,45
ABW,1979,45
ABW,1980,45
ABW,1981,45
ABW,1982,43
ABW,1983,43
ABW,1984,43
ABW,1985,43
ABW,1986,43
ABW,1987,43
ABW,1988,43
ABW,1989,43
ABW,1990,42
ABW,1991,42
ABW,1992,42
ABW,1993,44
ABW,1994,44
ABW,1995,40
ABW,1996,40
ABW,1997,41
ABW,1998,41
ABW,1999,40
ABW,2000,40
ABW,2001,40
ABW,2002,40
ABW,2003,38
ABW,2004,38
ABW,2005,38
ABW,2006,37
ABW,2007,36
ABW,2008,36
ABW,2009,34
ABW,2010,32
ABW,2011,39
ABW,2012,35
ABW,2013,32
ABW,2014,32
ABW,2015,32
ABW,2016,38
ABW,2017,36
ABW,2018,37
ABW,2019,33
ABW,2020,33
ABW,2021,35
ABW,2022,45
ABW,2023,47
AFG,1960,43
AFG,1961,45
AFG,1962,43
AFG,1963,43
AFG,1964,43
AFG,1965,41
AFG,1966,43
AFG,1967,43
AFG,1968,43
AFG,1969,43
AFG,1970,38
AFG,1971,40
AFG,1972,40
AFG,1973,40
AFG,1974,40
AFG,1975,36
AFG,1976,36
AFG,1977,36
AFG,1978,36
AFG,1979,36
AFG,1980,36
AFG,1981,36
AFG,1982,36
AFG,1983,36
AFG,1984,36
AFG,1985,36
AFG,1986,36
AFG,1987,33
AFG,1988,33
AFG,1989,33
AFG,1990,32
AFG,1991,32
AFG,1992,32
AFG,1993,32
AFG,1994,32
AFG,1995,32
AFG,1996,33
AFG,1997,33
AFG,1998,33
AFG,1999,33
AFG,2000,33
AFG,2001,35
AFG,2002,35
AFG,2003,33
AFG,2004,35
AFG,2005,34
AFG,2006,34
AFG,2007,35
AFG,2008,32
AFG,2009,30
AFG,2010,25
AFG,2011,27
AFG,2012,25
AFG,2013,25
AFG,2014,25
AFG,2015,25
AFG,2016,25
AFG,2017,23
AFG,2018,24
AFG,2019,22
AFG,2020,26
AFG,2021,38
AFG,2022,47
AFG,2023,47
AGO,1960,43
AGO,1961,43
AGO,1962,43
AGO,1963,43
AGO,1964,43
AGO,1965,41
AGO,1966,43
AGO,1967,43
AGO,1968,43
AGO,1969,43
AGO,1970,41
AGO,1971,36
AGO,1972,36
