country_code,anho,null_count
ABW,1960,171
ABW,1961,171
ABW,1962,171
ABW,1963,171
ABW,1964,171
ABW,1965,171
ABW,1966,171
ABW,1967,171
ABW,1968,171
ABW,1969,171
ABW,1970,171
ABW,1971,171
ABW,1972,171
ABW,1973,171
ABW,1974,171
ABW,1975,171
ABW,1976,171
ABW,1977,171
ABW,1978,171
ABW,1979,171
ABW,1980,171
ABW,1981,171
ABW,1982,171
ABW,1983,171
ABW,1984,171
ABW,1985,171
ABW,1986,152
ABW,1987,152
ABW,1988,152
ABW,1989,152
ABW,1990,152
ABW,1991,152
ABW,1992,152
ABW,1993,152
ABW,1994,152
ABW,1995,125
ABW,1996,124
ABW,1997,125
ABW,1998,122
ABW,1999,125
ABW,2000,110
ABW,2001,109
ABW,2002,109
ABW,2003,109
ABW,2004,110
ABW,2005,111
ABW,2006,110
ABW,2007,108
ABW,2008,109
ABW,2009,102
ABW,2010,103
ABW,2011,84
ABW,2012,84
ABW,2013,85
ABW,2014,104
ABW,2015,85
ABW,2016,87
ABW,2017,86
ABW,2018,84
ABW,2019,85
ABW,2020,103
ABW,2021,115
ABW,2022,142
ABW,2023,171
AFG,1960,162
AFG,1961,162
AFG,1962,154
AFG,1963,150
AFG,1964,149
AFG,1965,147
AFG,1966,149
AFG,1967,139
AFG,1968,148
AFG,1969,140
AFG,1970,142
AFG,1971,142
AFG,1972,149
AFG,1973,138
AFG,1974,136
AFG,1975,138
AFG,1976,136
AFG,1977,137
AFG,1978,157
AFG,1979,148
AFG,1980,137
AFG,1981,138
AFG,1982,137
AFG,1983,138
AFG,1984,137
AFG,1985,136
AFG,1986,141
AFG,1987,138
AFG,1988,137
AFG,1989,137
AFG,1990,142
AFG,1991,142
AFG,1992,144
AFG,1993,142
AFG,1994,142
AFG,1995,142
AFG,1996,142
AFG,1997,142
AFG,1998,142
AFG,1999,142
AFG,2000,139
AFG,2001,139
AFG,2002,138
AFG,2003,137
AFG,2004,106
AFG,2005,115
AFG,2006,96
AFG,2007,86
AFG,2008,43
AFG,2009,78
AFG,2010,71
AFG,2011,79
AFG,2012,61
AFG,2013,67
AFG,2014,48
AFG,2015,66
AFG,2016,61
AFG,2017,66
AFG,2018,32
AFG,2019,63
AFG,2020,114
AFG,2021,160
AFG,2022,161
AFG,2023,171
AGO,1960,151
AGO,1961,151
AGO,1962,139
AGO,1963,151
AGO,1964,151
AGO,1965,150
AGO,1966,148
AGO,1967,147
AGO,1968,149
AGO,1969,136
AGO,1970,138
AGO,1971,136
AGO,1972,137
AGO,1973,137
AGO,1974,139
AGO,1975,169
AGO,1976,169
AGO,1977,169
AGO,1978,164
AGO,1979,164
AGO,1980,161
AGO,1981,140
AGO,1982,145
AGO,1983,145
AGO,1984,151
AGO,1985,125
AGO,1986,130
AGO,1987,130
AGO,1988,130
AGO,1989,128
AGO,1990,120
AGO,1991,124
AGO,1992,127
AGO,1993,125
AGO,1994,126
AGO,1995,116
AGO,1996,114
AGO,1997,116
AGO,1998,116
AGO,1999,116
AGO,2000,116
AGO,2001,116
AGO,2002,93
AGO,2003,104
AGO,2004,79
AGO,2005,70
AGO,2006,50
AGO,2007,73
AGO,2008,71
AGO,2009,59
AGO,2010,30
AGO,2011,61
AGO,2012,54
AGO,2013,56
AGO,2014,40
AGO,2015,42
AGO,2016,33
AGO,2017,65
AGO,2018,35
AGO,2019,41
AGO,2020,78
AGO,2021,109
AGO,2022,137
AGO,2023,171
ALB,1960,169
ALB,1961,169
ALB,1962,169
ALB,1963,169
ALB,1964,169
ALB,1965,171
ALB,1966,171
ALB,1967,171
ALB,1968,171
ALB,1969,171
ALB,1970,171
ALB,1971,171
ALB,1972,171
ALB,1973,171
ALB,1974,171
ALB,1975,171
ALB,1976,171
ALB,1977,171
ALB,1978,171
ALB,1979,171
ALB,1980,160
ALB,1981,137
ALB,1982,138
ALB,1983,138
ALB,1984,136
ALB,1985,137
ALB,1986,136
ALB,1987,135
ALB,1988,132
ALB,1989,133
ALB,1990,132
ALB,1991,132
ALB,1992,132
ALB,1993,134
ALB,1994,133
