country_code,anho,null_count
ABW,1960,140
ABW,1961,140
ABW,1962,140
ABW,1963,140
ABW,1964,140
ABW,1965,140
ABW,1966,140
ABW,1967,140
ABW,1968,140
ABW,1969,140
ABW,1970,140
ABW,1971,140
ABW,1972,140
ABW,1973,140
ABW,1974,140
ABW,1975,140
ABW,1976,140
ABW,1977,140
ABW,1978,140
ABW,1979,140
ABW,1980,140
ABW,1981,140
ABW,1982,140
ABW,1983,140
ABW,1984,140
ABW,1985,140
ABW,1986,140
ABW,1987,140
ABW,1988,140
ABW,1989,140
ABW,1990,137
ABW,1991,140
ABW,1992,140
ABW,1993,140
ABW,1994,140
ABW,1995,137
ABW,1996,139
ABW,1997,140
ABW,1998,140
ABW,1999,137
ABW,2000,140
ABW,2001,137
ABW,2002,137
ABW,2003,137
ABW,2004,101
ABW,2005,100
ABW,2006,100
ABW,2007,100
ABW,2008,100
ABW,2009,100
ABW,2010,100
ABW,2011,100
ABW,2012,100
ABW,2013,100
ABW,2014,100
ABW,2015,103
ABW,2016,103
ABW,2017,103
ABW,2018,103
ABW,2019,103
ABW,2020,103
ABW,2021,103
ABW,2022,103
ABW,2023,140
AFG,1960,139
AFG,1961,139
AFG,1962,139
AFG,1963,139
AFG,1964,139
AFG,1965,139
AFG,1966,139
AFG,1967,139
AFG,1968,139
AFG,1969,139
AFG,1970,136
AFG,1971,139
AFG,1972,139
AFG,1973,137
AFG,1974,137
AFG,1975,136
AFG,1976,136
AFG,1977,136
AFG,1978,139
AFG,1979,139
AFG,1980,139
AFG,1981,139
AFG,1982,139
AFG,1983,139
AFG,1984,139
AFG,1985,138
AFG,1986,139
AFG,1987,139
AFG,1988,139
AFG,1989,137
AFG,1990,137
AFG,1991,136
AFG,1992,136
AFG,1993,137
AFG,1994,137
AFG,1995,137
AFG,1996,102
AFG,1997,137
AFG,1998,102
AFG,1999,137
AFG,2000,102
AFG,2001,139
AFG,2002,101
AFG,2003,102
AFG,2004,92
AFG,2005,86
AFG,2006,22
AFG,2007,21
AFG,2008,20
AFG,2009,18
AFG,2010,17
AFG,2011,17
AFG,2012,17
AFG,2013,17
AFG,2014,17
AFG,2015,15
AFG,2016,13
AFG,2017,6
AFG,2018,47
AFG,2019,54
AFG,2020,53
AFG,2021,88
AFG,2022,74
AFG,2023,140
AGO,1960,140
AGO,1961,140
AGO,1962,140
AGO,1963,140
AGO,1964,140
AGO,1965,140
AGO,1966,140
AGO,1967,140
AGO,1968,140
AGO,1969,140
AGO,1970,140
AGO,1971,140
AGO,1972,140
AGO,1973,140
AGO,1974,139
AGO,1975,139
AGO,1976,139
AGO,1977,139
AGO,1978,137
AGO,1979,136
AGO,1980,136
AGO,1981,137
AGO,1982,137
AGO,1983,137
AGO,1984,137
AGO,1985,135
AGO,1986,136
AGO,1987,136
AGO,1988,136
AGO,1989,134
AGO,1990,134
AGO,1991,134
AGO,1992,134
AGO,1993,133
AGO,1994,133
AGO,1995,133
AGO,1996,97
AGO,1997,131
AGO,1998,96
AGO,1999,88
AGO,2000,53
AGO,2001,88
AGO,2002,52
AGO,2003,53
AGO,2004,49
AGO,2005,23
AGO,2006,23
AGO,2007,22
AGO,2008,22
AGO,2009,20
AGO,2010,22
AGO,2011,21
AGO,2012,21
AGO,2013,20
AGO,2014,42
AGO,2015,40
AGO,2016,35
AGO,2017,31
AGO,2018,36
AGO,2019,42
AGO,2020,77
AGO,2021,92
AGO,2022,91
AGO,2023,140
ALB,1960,139
ALB,1961,139
ALB,1962,139
ALB,1963,139
ALB,1964,139
ALB,1965,139
ALB,1966,139
ALB,1967,139
ALB,1968,139
ALB,1969,139
ALB,1970,139
ALB,1971,139
ALB,1972,139
ALB,1973,139
ALB,1974,139
ALB,1975,137
ALB,1976,137
ALB,1977,137
ALB,1978,137
ALB,1979,138
ALB,1980,137
ALB,1981,137
ALB,1982,137
ALB,1983,137
ALB,1984,137
ALB,1985,136
ALB,1986,137
ALB,1987,137
ALB,1988,137
ALB,1989,137
ALB,1990,137
ALB,1991,137
ALB,1992,132
ALB,1993,132
ALB,1994,132
ALB,1995,89
ALB,1996,56
ALB,1997,92
ALB,1998,55
ALB,1999,129
ALB,2000,95
ALB,2001,130
ALB,2002,54
ALB,2003,53
ALB,2004,48
ALB,2005,64
ALB,2006,65
ALB,2007,83
ALB,2008,84
ALB,2009,83
ALB,2010,77
ALB,2011,38
ALB,2012,38
ALB,2013,36
ALB,2014,38
ALB,2015,36
ALB,2016,35
ALB,2017,29
ALB,2018,29
ALB,2019,36
ALB,2020,35
ALB,2021,48
ALB,2022,93
ALB,2023,140
AND,1960,140
AND,1961,140
AND,1962,140
AND,1963,140
AND,1964,140
AND,1965,140
AND,1966,140
AND,1967,140
AND,1968,140
AND,1969,140
AND,1970,140
AND,1971,140
AND,1972,140
AND,1973,140
AND,1974,140
AND,1975,140
AND,1976,140
AND,1977,140
AND,1978,140
AND,1979,140
AND,1980,140
AND,1981,140
AND,1982,140
AND,1983,140
AND,1984,140
AND,1985,140
AND,1986,140
AND,1987,140
AND,1988,140
AND,1989,140
AND,1990,140
AND,1991,140
AND,1992,140
AND,1993,140
AND,1994,140
AND,1995,140
AND,1996,105
AND,1997,139
AND,1998,104
AND,1999,139
AND,2000,104
AND,2001,139
AND,2002,104
AND,2003,104
AND,2004,102
AND,2005,102
AND,2006,102
AND,2007,99
AND,2008,99
AND,2009,99
AND,2010,99
AND,2011,99
AND,2012,99
AND,2013,99
AND,2014,99
AND,2015,99
AND,2016,102
AND,2017,102
AND,2018,102
AND,2019,102
AND,2020,99
AND,2021,101
AND,2022,101
AND,2023,140
ARE,1960,140
ARE,1961,140
ARE,1962,140
ARE,1963,140
ARE,1964,140
ARE,1965,140
ARE,1966,140
ARE,1967,140
ARE,1968,139
ARE,1969,139
ARE,1970,139
ARE,1971,139
ARE,1972,139
ARE,1973,139
ARE,1974,138
ARE,1975,139
ARE,1976,139
ARE,1977,139
ARE,1978,139
ARE,1979,139
ARE,1980,139
ARE,1981,139
ARE,1982,139
ARE,1983,138
ARE,1984,139
ARE,1985,138
ARE,1986,138
ARE,1987,138
ARE,1988,139
ARE,1989,138
