country_code,anho,null_count
ABW,1960,10
ABW,1961,10
ABW,1962,10
ABW,1963,10
ABW,1964,10
ABW,1965,10
ABW,1966,10
ABW,1967,10
ABW,1968,10
ABW,1969,10
ABW,1970,10
ABW,1971,10
ABW,1972,10
ABW,1973,10
ABW,1974,10
ABW,1975,10
ABW,1976,10
ABW,1977,10
ABW,1978,10
ABW,1979,10
ABW,1980,10
ABW,1981,10
ABW,1982,10
ABW,1983,10
ABW,1984,10
ABW,1985,10
ABW,1986,10
ABW,1987,10
ABW,1988,10
ABW,1989,10
ABW,1990,10
ABW,1991,10
ABW,1992,10
ABW,1993,10
ABW,1994,10
ABW,1995,10
ABW,1996,10
ABW,1997,10
ABW,1998,10
ABW,1999,9
ABW,2000,9
ABW,2001,9
ABW,2002,8
ABW,2003,8
ABW,2004,9
ABW,2005,8
ABW,2006,8
ABW,2007,8
ABW,2008,8
ABW,2009,7
ABW,2010,7
ABW,2011,7
ABW,2012,7
ABW,2013,6
ABW,2014,6
ABW,2015,6
ABW,2016,6
ABW,2017,6
ABW,2018,6
ABW,2019,6
ABW,2020,6
ABW,2021,6
ABW,2022,6
ABW,2023,10
AFG,1960,10
AFG,1961,10
AFG,1962,10
AFG,1963,10
AFG,1964,10
AFG,1965,10
AFG,1966,10
AFG,1967,10
AFG,1968,10
AFG,1969,10
AFG,1970,10
AFG,1971,10
AFG,1972,10
AFG,1973,10
AFG,1974,10
AFG,1975,10
AFG,1976,10
AFG,1977,10
AFG,1978,10
AFG,1979,10
AFG,1980,10
AFG,1981,10
AFG,1982,10
AFG,1983,10
AFG,1984,10
AFG,1985,10
AFG,1986,10
AFG,1987,10
AFG,1988,10
AFG,1989,10
AFG,1990,10
AFG,1991,10
AFG,1992,10
AFG,1993,10
AFG,1994,10
AFG,1995,10
AFG,1996,9
AFG,1997,9
AFG,1998,9
AFG,1999,9
AFG,2000,9
AFG,2001,9
AFG,2002,9
AFG,2003,9
AFG,2004,9
AFG,2005,9
AFG,2006,9
AFG,2007,9
AFG,2008,7
AFG,2009,7
AFG,2010,7
AFG,2011,7
AFG,2012,8
AFG,2013,8
AFG,2014,7
AFG,2015,7
AFG,2016,8
AFG,2017,8
AFG,2018,6
AFG,2019,5
AFG,2020,7
AFG,2021,10
AFG,2022,10
AFG,2023,10
AGO,1960,10
AGO,1961,10
AGO,1962,10
AGO,1963,10
AGO,1964,10
AGO,1965,10
AGO,1966,10
AGO,1967,10
AGO,1968,10
AGO,1969,10
AGO,1970,10
AGO,1971,10
AGO,1972,10
AGO,1973,10
AGO,1974,10
AGO,1975,10
AGO,1976,10
AGO,1977,10
AGO,1978,10
AGO,1979,10
AGO,1980,10
AGO,1981,10
AGO,1982,10
AGO,1983,10
AGO,1984,10
AGO,1985,10
AGO,1986,10
AGO,1987,10
AGO,1988,10
AGO,1989,10
AGO,1990,10
AGO,1991,10
AGO,1992,8
AGO,1993,9
AGO,1994,9
AGO,1995,9
AGO,1996,8
AGO,1997,7
AGO,1998,7
AGO,1999,7
AGO,2000,7
AGO,2001,7
AGO,2002,9
AGO,2003,9
AGO,2004,7
AGO,2005,7
AGO,2006,7
AGO,2007,7
AGO,2008,7
AGO,2009,8
AGO,2010,8
AGO,2011,6
AGO,2012,7
AGO,2013,7
AGO,2014,7
AGO,2015,5
AGO,2016,2
AGO,2017,5
AGO,2018,3
AGO,2019,3
AGO,2020,6
AGO,2021,7
AGO,2022,7
AGO,2023,10
ALB,1960,10
ALB,1961,10
ALB,1962,10
ALB,1963,10
ALB,1964,10
ALB,1965,10
ALB,1966,10
ALB,1967,10
ALB,1968,10
ALB,1969,10
ALB,1970,10
ALB,1971,10
ALB,1972,10
ALB,1973,10
ALB,1974,10
ALB,1975,10
ALB,1976,10
ALB,1977,10
ALB,1978,10
ALB,1979,10
ALB,1980,10
ALB,1981,10
ALB,1982,10
ALB,1983,10
ALB,1984,10
ALB,1985,10
ALB,1986,10
ALB,1987,10
ALB,1988,10
ALB,1989,10
ALB,1990,10
ALB,1991,10
ALB,1992,10
ALB,1993,10
ALB,1994,10
ALB,1995,10
ALB,1996,9
ALB,1997,8
ALB,1998,9
ALB,1999,9
ALB,2000,9
ALB,2001,8
ALB,2002,8
ALB,2003,6
ALB,2004,7
ALB,2005,6
ALB,2006,7
ALB,2007,6
ALB,2008,4
ALB,2009,4
ALB,2010,5
ALB,2011,3
ALB,2012,5
ALB,2013,4
ALB,2014,3
ALB,2015,3
ALB,2016,3
ALB,2017,3
ALB,2018,3
ALB,2019,3
ALB,2020,5
ALB,2021,4
ALB,2022,6
ALB,2023,10
AND,1960,10
AND,1961,10
AND,1962,10
AND,1963,10
AND,1964,10
AND,1965,10
AND,1966,10
AND,1967,10
AND,1968,10
AND,1969,10
AND,1970,10
AND,1971,10
AND,1972,10
AND,1973,10
AND,1974,10
AND,1975,10
AND,1976,10
AND,1977,10
AND,1978,10
AND,1979,10
AND,1980,10
AND,1981,10
AND,1982,10
AND,1983,10
AND,1984,10
AND,1985,10
AND,1986,10
AND,1987,10
AND,1988,10
AND,1989,10
AND,1990,10
AND,1991,10
AND,1992,10
AND,1993,10
AND,1994,10
AND,1995,10
AND,1996,9
AND,1997,9
AND,1998,9
AND,1999,9
AND,2000,9
AND,2001,9
AND,2002,9
AND,2003,9
AND,2004,9
AND,2005,9
AND,2006,9
AND,2007,7
AND,2008,7
AND,2009,7
AND,2010,7
AND,2011,7
AND,2012,7
AND,2013,7
AND,2014,7
AND,2015,7
AND,2016,6
AND,2017,6
AND,2018,5
AND,2019,4
AND,2020,4
AND,2021,5
AND,2022,8
AND,2023,10
ARE,1960,10
ARE,1961,10
ARE,1962,10
ARE,1963,10
ARE,1964,10
ARE,1965,10
ARE,1966,10
ARE,1967,10
ARE,1968,10
ARE,1969,10
ARE,1970,10
ARE,1971,10
ARE,1972,10
ARE,1973,10
ARE,1974,10
ARE,1975,10
ARE,1976,10
ARE,1977,10
ARE,1978,10
ARE,1979,10
ARE,1980,10
ARE,1981,10
ARE,1982,10
ARE,1983,10
ARE,1984,10
ARE,1985,10
ARE,1986,10
ARE,1987,10
ARE,1988,10
ARE,1989,10
ARE,1990,10
ARE,1991,10
ARE,1992,10
ARE,1993,10
ARE,1994,10
ARE,1995,10
ARE,1996,9
ARE,1997,9
ARE,1998,9
ARE,1999,9
ARE,2000,9
ARE,2001,9
ARE,2002,9
ARE,2003,9
ARE,2004,9
ARE,2005,9
ARE,2006,9
ARE,2007,9
ARE,2008,7
ARE,2009,9
ARE,2010,7
ARE,2011,6
ARE,2012,5
ARE,2013,5
ARE,2014,4
ARE,2015,3
ARE,2016,3
ARE,2017,5
ARE,2018,2
ARE,2019,3
ARE,2020,3
ARE,2021,4
ARE,2022,8
ARE,2023,10
ARG,1960,10
ARG,1961,10
ARG,1962,10
ARG,1963,10
ARG,1964,10
ARG,1965,10
ARG,1966,10
ARG,1967,10
ARG,1968,10
ARG,1969,10
ARG,1970,10
ARG,1971,10
ARG,1972,10
ARG,1973,10
ARG,1974,10
ARG,1975,10
ARG,1976,8
ARG,1977,8
ARG,1978,8
ARG,1979,8
ARG,1980,6
ARG,1981,6
ARG,1982,6
ARG,1983,6
ARG,1984,6
ARG,1985,8
ARG,1986,8
ARG,1987,8
ARG,1988,8
ARG,1989,8
ARG,1990,6
ARG,1991,6
ARG,1992,6
ARG,1993,6
ARG,1994,6
ARG,1995,6
ARG,1996,4
ARG,1997,2
ARG,1998,2
ARG,1999,2
ARG,2000,2
ARG,2001,2
ARG,2002,2
ARG,2003,2
ARG,2004,2
ARG,2005,2
ARG,2006,2
ARG,2007,0
ARG,2008,0
ARG,2009,0
ARG,2010,0
ARG,2011,0
ARG,2012,0
ARG,2013,0
ARG,2014,0
ARG,2015,0
ARG,2016,0
ARG,2017,0
ARG,2018,0
ARG,2019,1
ARG,2020,1
ARG,2021,2
ARG,2022,6
ARG,2023,10
ARM,1960,10
ARM,1961,10
ARM,1962,10
ARM,1963,10
ARM,1964,10
ARM,1965,10
ARM,1966,10
ARM,1967,10
ARM,1968,10
ARM,1969,10
ARM,1970,10
ARM,1971,10
ARM,1972,10
ARM,1973,10
ARM,1974,10
ARM,1975,10
ARM,1976,10
ARM,1977,10
ARM,1978,10
ARM,1979,10
ARM,1980,10
ARM,1981,10
ARM,1982,10
ARM,1983,10
ARM,1984,10
ARM,1985,10
ARM,1986,10
ARM,1987,10
ARM,1988,10
ARM,1989,10
ARM,1990,10
ARM,1991,10
ARM,1992,10
ARM,1993,8
ARM,1994,8
ARM,1995,8
ARM,1996,7
ARM,1997,6
ARM,1998,6
ARM,1999,6
ARM,2000,6
ARM,2001,6
ARM,2002,6
ARM,2003,6
ARM,2004,8
ARM,2005,6
ARM,2006,6
ARM,2007,4
ARM,2008,4
ARM,2009,4
ARM,2010,4
ARM,2011,4
ARM,2012,4
ARM,2013,4
ARM,2014,4
ARM,2015,4
ARM,2016,4
ARM,2017,4
ARM,2018,4
ARM,2019,4
ARM,2020,4
ARM,2021,5
ARM,2022,8
ARM,2023,10
ASM,1960,10
ASM,1961,10
ASM,1962,10
ASM,1963,10
ASM,1964,10
ASM,1965,10
ASM,1966,10
ASM,1967,10
ASM,1968,10
ASM,1969,10
ASM,1970,10
ASM,1971,10
ASM,1972,10
ASM,1973,10
ASM,1974,10
ASM,1975,10
ASM,1976,10
ASM,1977,10
ASM,1978,10
ASM,1979,10
ASM,1980,10
ASM,1981,10
ASM,1982,10
ASM,1983,10
ASM,1984,10
ASM,1985,10
ASM,1986,10
ASM,1987,10
ASM,1988,10
ASM,1989,10
ASM,1990,10
ASM,1991,10
ASM,1992,10
ASM,1993,10
ASM,1994,10
ASM,1995,10
ASM,1996,10
ASM,1997,10
ASM,1998,10
ASM,1999,10
ASM,2000,10
ASM,2001,10
ASM,2002,9
ASM,2003,8
ASM,2004,8
ASM,2005,8
ASM,2006,9
ASM,2007,10
ASM,2008,10
ASM,2009,10
ASM,2010,10
ASM,2011,10
ASM,2012,10
ASM,2013,10
ASM,2014,10
ASM,2015,10
ASM,2016,10
ASM,2017,10
ASM,2018,10
ASM,2019,10
ASM,2020,10
ASM,2021,10
ASM,2022,10
ASM,2023,10
ATG,1960,10
ATG,1961,10
ATG,1962,10
ATG,1963,10
ATG,1964,10
ATG,1965,10
ATG,1966,10
ATG,1967,10
ATG,1968,10
ATG,1969,10
ATG,1970,10
ATG,1971,10
ATG,1972,10
ATG,1973,10
ATG,1974,10
ATG,1975,10
ATG,1976,10
ATG,1977,10
ATG,1978,10
ATG,1979,10
ATG,1980,10
ATG,1981,10
ATG,1982,10
ATG,1983,10
ATG,1984,10
ATG,1985,10
ATG,1986,10
ATG,1987,10
ATG,1988,10
ATG,1989,10
ATG,1990,10
ATG,1991,10
ATG,1992,10
ATG,1993,10
ATG,1994,10
ATG,1995,10
ATG,1996,8
ATG,1997,9
ATG,1998,8
ATG,1999,8
ATG,2000,8
ATG,2001,8
ATG,2002,8
ATG,2003,8
ATG,2004,8
ATG,2005,8
ATG,2006,8
ATG,2007,8
ATG,2008,8
ATG,2009,8
ATG,2010,8
ATG,2011,7
