country_code,anho,null_count
ABW,1960,31
ABW,1961,31
ABW,1962,31
ABW,1963,31
ABW,1964,31
ABW,1965,31
ABW,1966,31
ABW,1967,31
ABW,1968,31
ABW,1969,31
ABW,1970,31
ABW,1971,31
ABW,1972,31
ABW,1973,31
ABW,1974,31
ABW,1975,31
ABW,1976,31
ABW,1977,31
ABW,1978,31
ABW,1979,31
ABW,1980,31
ABW,1981,31
ABW,1982,31
ABW,1983,31
ABW,1984,31
ABW,1985,31
ABW,1986,31
ABW,1987,31
ABW,1988,31
ABW,1989,31
ABW,1990,31
ABW,1991,31
ABW,1992,31
ABW,1993,31
ABW,1994,31
ABW,1995,31
ABW,1996,31
ABW,1997,31
ABW,1998,31
ABW,1999,27
ABW,2000,26
ABW,2001,27
ABW,2002,27
ABW,2003,27
ABW,2004,27
ABW,2005,27
ABW,2006,27
ABW,2007,27
ABW,2008,27
ABW,2009,27
ABW,2010,26
ABW,2011,27
ABW,2012,27
ABW,2013,29
ABW,2014,29
ABW,2015,29
ABW,2016,30
ABW,2017,31
ABW,2018,31
ABW,2019,31
ABW,2020,30
ABW,2021,31
ABW,2022,34
ABW,2023,34
AFG,1960,31
AFG,1961,31
AFG,1962,31
AFG,1963,31
AFG,1964,31
AFG,1965,31
AFG,1966,31
AFG,1967,31
AFG,1968,31
AFG,1969,31
AFG,1970,27
AFG,1971,28
AFG,1972,27
AFG,1973,27
AFG,1974,27
AFG,1975,27
AFG,1976,27
AFG,1977,27
AFG,1978,27
AFG,1979,28
AFG,1980,29
AFG,1981,27
AFG,1982,27
AFG,1983,30
AFG,1984,27
AFG,1985,27
AFG,1986,26
AFG,1987,30
AFG,1988,27
AFG,1989,29
AFG,1990,25
AFG,1991,12
AFG,1992,15
AFG,1993,12
AFG,1994,12
AFG,1995,12
AFG,1996,15
AFG,1997,15
AFG,1998,16
AFG,1999,15
AFG,2000,15
AFG,2001,12
AFG,2002,15
AFG,2003,11
AFG,2004,11
AFG,2005,11
AFG,2006,11
AFG,2007,11
AFG,2008,11
AFG,2009,10
AFG,2010,11
AFG,2011,0
AFG,2012,11
AFG,2013,11
AFG,2014,10
AFG,2015,10
AFG,2016,11
AFG,2017,11
AFG,2018,11
AFG,2019,13
AFG,2020,13
AFG,2021,13
AFG,2022,20
AFG,2023,27
AGO,1960,30
AGO,1961,30
AGO,1962,30
AGO,1963,30
AGO,1964,30
AGO,1965,30
AGO,1966,30
AGO,1967,30
AGO,1968,30
AGO,1969,30
AGO,1970,30
AGO,1971,27
AGO,1972,27
AGO,1973,30
AGO,1974,30
AGO,1975,30
AGO,1976,29
AGO,1977,29
AGO,1978,29
AGO,1979,29
AGO,1980,29
AGO,1981,29
AGO,1982,26
AGO,1983,26
AGO,1984,29
AGO,1985,29
AGO,1986,28
AGO,1987,28
AGO,1988,28
AGO,1989,28
AGO,1990,25
AGO,1991,14
AGO,1992,14
AGO,1993,15
AGO,1994,15
AGO,1995,15
AGO,1996,15
AGO,1997,14
AGO,1998,10
AGO,1999,12
AGO,2000,13
AGO,2001,3
AGO,2002,12
AGO,2003,14
AGO,2004,14
AGO,2005,14
AGO,2006,14
AGO,2007,14
AGO,2008,11
AGO,2009,11
AGO,2010,11
AGO,2011,10
AGO,2012,14
AGO,2013,13
AGO,2014,13
AGO,2015,12
AGO,2016,11
AGO,2017,12
AGO,2018,12
AGO,2019,13
AGO,2020,14
AGO,2021,14
AGO,2022,18
AGO,2023,27
ALB,1960,31
ALB,1961,31
ALB,1962,31
ALB,1963,31
ALB,1964,30
ALB,1965,30
ALB,1966,30
ALB,1967,30
ALB,1968,30
ALB,1969,30
ALB,1970,30
ALB,1971,29
ALB,1972,29
ALB,1973,30
ALB,1974,30
ALB,1975,30
ALB,1976,28
ALB,1977,30
ALB,1978,26
ALB,1979,27
ALB,1980,27
ALB,1981,26
ALB,1982,27
ALB,1983,26
ALB,1984,26
ALB,1985,26
ALB,1986,26
ALB,1987,26
ALB,1988,26
ALB,1989,26
ALB,1990,24
ALB,1991,12
ALB,1992,11
ALB,1993,11
ALB,1994,11
ALB,1995,11
ALB,1996,11
ALB,1997,11
ALB,1998,13
ALB,1999,10
ALB,2000,1
ALB,2001,9
ALB,2002,12
ALB,2003,12
ALB,2004,10
ALB,2005,5
ALB,2006,10
ALB,2007,10
ALB,2008,9
ALB,2009,9
ALB,2010,1
ALB,2011,9
ALB,2012,9
ALB,2013,10
ALB,2014,10
ALB,2015,10
ALB,2016,10
ALB,2017,9
ALB,2018,10
ALB,2019,10
ALB,2020,10
ALB,2021,10
ALB,2022,17
ALB,2023,27
AND,1960,33
AND,1961,33
AND,1962,33
AND,1963,33
AND,1964,33
AND,1965,33
AND,1966,33
AND,1967,33
AND,1968,33
AND,1969,33
AND,1970,33
AND,1971,32
AND,1972,32
AND,1973,32
AND,1974,32
AND,1975,30
AND,1976,32
AND,1977,33
AND,1978,33
AND,1979,33
AND,1980,33
AND,1981,33
AND,1982,33
AND,1983,30
AND,1984,33
AND,1985,33
AND,1986,33
AND,1987,33
AND,1988,33
AND,1989,33
AND,1990,33
AND,1991,33
AND,1992,33
AND,1993,33
AND,1994,33
AND,1995,33
AND,1996,33
AND,1997,32
AND,1998,32
AND,1999,32
AND,2000,32
AND,2001,32
AND,2002,30
AND,2003,30
AND,2004,31
AND,2005,30
AND,2006,30
AND,2007,31
AND,2008,30
AND,2009,31
AND,2010,31
AND,2011,31
AND,2012,30
AND,2013,30
AND,2014,30
AND,2015,30
AND,2016,31
AND,2017,31
AND,2018,31
AND,2019,31
AND,2020,31
AND,2021,31
AND,2022,31
AND,2023,34
ARE,1960,31
ARE,1961,31
ARE,1962,31
ARE,1963,31
ARE,1964,31
ARE,1965,31
ARE,1966,31
ARE,1967,31
ARE,1968,30
ARE,1969,30
ARE,1970,31
ARE,1971,29
ARE,1972,29
ARE,1973,27
ARE,1974,27
ARE,1975,27
ARE,1976,27
ARE,1977,27
ARE,1978,27
ARE,1979,27
ARE,1980,27
ARE,1981,27
ARE,1982,27
ARE,1983,27
ARE,1984,27
ARE,1985,26
ARE,1986,28
ARE,1987,28
ARE,1988,28
ARE,1989,27
ARE,1990,28
ARE,1991,16
ARE,1992,16
ARE,1993,15
ARE,1994,15
ARE,1995,15
ARE,1996,17
ARE,1997,14
ARE,1998,13
ARE,1999,16
ARE,2000,16
ARE,2001,16
ARE,2002,16
ARE,2003,16
ARE,2004,16
ARE,2005,15
ARE,2006,16
ARE,2007,15
ARE,2008,16
ARE,2009,16
ARE,2010,16
ARE,2011,16
ARE,2012,15
ARE,2013,15
ARE,2014,15
ARE,2015,15
ARE,2016,13
ARE,2017,13
ARE,2018,16
ARE,2019,12
ARE,2020,12
ARE,2021,15
ARE,2022,18
ARE,2023,27
ARG,1960,31
ARG,1961,31
ARG,1962,31
ARG,1963,31
ARG,1964,31
ARG,1965,31
ARG,1966,31
ARG,1967,31
ARG,1968,31
ARG,1969,30
ARG,1970,26
ARG,1971,26
ARG,1972,26
ARG,1973,26
ARG,1974,26
ARG,1975,26
ARG,1976,26
ARG,1977,26
ARG,1978,26
ARG,1979,26
ARG,1980,24
ARG,1981,25
ARG,1982,25
ARG,1983,27
ARG,1984,25
ARG,1985,25
ARG,1986,25
ARG,1987,25
ARG,1988,26
ARG,1989,29
ARG,1990,26
ARG,1991,13
ARG,1992,15
ARG,1993,15
ARG,1994,15
ARG,1995,15
ARG,1996,12
ARG,1997,11
ARG,1998,11
ARG,1999,11
ARG,2000,10
ARG,2001,10
ARG,2002,10
ARG,2003,10
ARG,2004,5
ARG,2005,10
ARG,2006,10
ARG,2007,10
ARG,2008,10
ARG,2009,10
ARG,2010,10
ARG,2011,10
ARG,2012,1
ARG,2013,10
ARG,2014,10
ARG,2015,11
ARG,2016,10
ARG,2017,10
ARG,2018,10
ARG,2019,10
ARG,2020,10
ARG,2021,13
ARG,2022,19
ARG,2023,27
ARM,1960,31
ARM,1961,31
ARM,1962,31
ARM,1963,31
ARM,1964,30
ARM,1965,31
ARM,1966,31
ARM,1967,31
ARM,1968,30
ARM,1969,30
ARM,1970,30
ARM,1971,30
ARM,1972,30
ARM,1973,31
ARM,1974,31
ARM,1975,31
ARM,1976,31
ARM,1977,30
ARM,1978,30
ARM,1979,30
ARM,1980,30
ARM,1981,30
ARM,1982,30
ARM,1983,30
ARM,1984,30
ARM,1985,30
ARM,1986,30
ARM,1987,30
ARM,1988,30
ARM,1989,30
ARM,1990,31
ARM,1991,18
ARM,1992,16
ARM,1993,16
ARM,1994,16
ARM,1995,16
ARM,1996,16
ARM,1997,15
ARM,1998,16
ARM,1999,15
ARM,2000,11
ARM,2001,13
ARM,2002,14
ARM,2003,14
ARM,2004,14
ARM,2005,14
ARM,2006,14
ARM,2007,12
ARM,2008,12
ARM,2009,12
ARM,2010,3
ARM,2011,11
ARM,2012,14
ARM,2013,12
ARM,2014,12
ARM,2015,12
ARM,2016,13
ARM,2017,13
ARM,2018,12
ARM,2019,12
ARM,2020,11
ARM,2021,12
ARM,2022,18
ARM,2023,27
ASM,1960,33
ASM,1961,33
ASM,1962,33
ASM,1963,33
ASM,1964,33
ASM,1965,33
ASM,1966,33
ASM,1967,33
ASM,1968,33
ASM,1969,33
ASM,1970,33
ASM,1971,33
ASM,1972,33
ASM,1973,33
ASM,1974,33
ASM,1975,33
ASM,1976,33
ASM,1977,33
ASM,1978,33
ASM,1979,33
ASM,1980,32
ASM,1981,33
ASM,1982,32
ASM,1983,32
ASM,1984,32
ASM,1985,32
ASM,1986,32
ASM,1987,32
ASM,1988,32
ASM,1989,29
ASM,1990,30
ASM,1991,30
ASM,1992,30
ASM,1993,33
ASM,1994,33
ASM,1995,33
ASM,1996,33
ASM,1997,33
ASM,1998,33
ASM,1999,33
ASM,2000,33
ASM,2001,33
ASM,2002,33
ASM,2003,33
ASM,2004,33
ASM,2005,33
ASM,2006,33
ASM,2007,33
ASM,2008,33
ASM,2009,33
ASM,2010,33
ASM,2011,33
ASM,2012,33
ASM,2013,33
ASM,2014,33
ASM,2015,33
ASM,2016,33
ASM,2017,33
ASM,2018,33
ASM,2019,33
ASM,2020,33
ASM,2021,33
ASM,2022,34
ASM,2023,34
ATG,1960,31
ATG,1961,31
ATG,1962,31
ATG,1963,31
ATG,1964,31
ATG,1965,31
ATG,1966,31
ATG,1967,31
ATG,1968,31
ATG,1969,31
ATG,1970,31
ATG,1971,30
ATG,1972,30
ATG,1973,31
ATG,1974,28
ATG,1975,28
ATG,1976,30
ATG,1977,28
ATG,1978,28
ATG,1979,30
ATG,1980,31
ATG,1981,31
ATG,1982,31
ATG,1983,31
ATG,1984,30
ATG,1985,31
ATG,1986,31
ATG,1987,31
ATG,1988,31
ATG,1989,31
ATG,1990,31
ATG,1991,31
ATG,1992,28
ATG,1993,31
