country_code,anho,null_count
ABW,1960,149
ABW,1961,149
ABW,1962,149
ABW,1963,149
ABW,1964,149
ABW,1965,149
ABW,1966,149
ABW,1967,149
ABW,1968,149
ABW,1969,149
ABW,1970,149
ABW,1971,149
ABW,1972,149
ABW,1973,149
ABW,1974,149
ABW,1975,149
ABW,1976,149
ABW,1977,149
ABW,1978,149
ABW,1979,149
ABW,1980,149
ABW,1981,149
ABW,1982,149
ABW,1983,149
ABW,1984,149
ABW,1985,149
ABW,1986,115
ABW,1987,115
ABW,1988,115
ABW,1989,115
ABW,1990,115
ABW,1991,115
ABW,1992,115
ABW,1993,115
ABW,1994,115
ABW,1995,79
ABW,1996,77
ABW,1997,79
ABW,1998,76
ABW,1999,79
ABW,2000,64
ABW,2001,63
ABW,2002,63
ABW,2003,63
ABW,2004,64
ABW,2005,65
ABW,2006,64
ABW,2007,62
ABW,2008,63
ABW,2009,56
ABW,2010,57
ABW,2011,38
ABW,2012,38
ABW,2013,39
ABW,2014,58
ABW,2015,37
ABW,2016,41
ABW,2017,40
ABW,2018,38
ABW,2019,39
ABW,2020,57
ABW,2021,69
ABW,2022,96
ABW,2023,149
AFG,1960,133
AFG,1961,133
AFG,1962,125
AFG,1963,121
AFG,1964,120
AFG,1965,118
AFG,1966,120
AFG,1967,110
AFG,1968,119
AFG,1969,111
AFG,1970,113
AFG,1971,113
AFG,1972,120
AFG,1973,110
AFG,1974,108
AFG,1975,109
AFG,1976,107
AFG,1977,108
AFG,1978,128
AFG,1979,112
AFG,1980,100
AFG,1981,101
AFG,1982,99
AFG,1983,100
AFG,1984,99
AFG,1985,98
AFG,1986,105
AFG,1987,102
AFG,1988,101
AFG,1989,101
AFG,1990,119
AFG,1991,119
AFG,1992,121
AFG,1993,120
AFG,1994,120
AFG,1995,120
AFG,1996,120
AFG,1997,120
AFG,1998,120
AFG,1999,120
AFG,2000,117
AFG,2001,117
AFG,2002,115
AFG,2003,116
AFG,2004,98
AFG,2005,115
AFG,2006,95
AFG,2007,86
AFG,2008,45
AFG,2009,63
AFG,2010,56
AFG,2011,64
AFG,2012,46
AFG,2013,54
AFG,2014,56
AFG,2015,54
AFG,2016,49
AFG,2017,55
AFG,2018,22
AFG,2019,53
AFG,2020,66
AFG,2021,127
AFG,2022,139
AFG,2023,149
AGO,1960,129
AGO,1961,129
AGO,1962,117
AGO,1963,129
AGO,1964,129
AGO,1965,128
AGO,1966,126
AGO,1967,125
AGO,1968,127
AGO,1969,114
AGO,1970,116
AGO,1971,113
AGO,1972,114
AGO,1973,114
AGO,1974,115
AGO,1975,145
AGO,1976,145
AGO,1977,145
AGO,1978,140
AGO,1979,139
AGO,1980,136
AGO,1981,116
AGO,1982,121
AGO,1983,121
AGO,1984,127
AGO,1985,88
AGO,1986,93
AGO,1987,93
AGO,1988,93
AGO,1989,91
AGO,1990,80
AGO,1991,86
AGO,1992,89
AGO,1993,86
AGO,1994,87
AGO,1995,77
AGO,1996,74
AGO,1997,77
AGO,1998,77
AGO,1999,75
AGO,2000,75
AGO,2001,75
AGO,2002,40
AGO,2003,61
AGO,2004,39
AGO,2005,37
AGO,2006,37
AGO,2007,43
AGO,2008,40
AGO,2009,28
AGO,2010,19
AGO,2011,30
AGO,2012,23
AGO,2013,26
AGO,2014,10
AGO,2015,15
AGO,2016,6
AGO,2017,39
AGO,2018,8
AGO,2019,15
AGO,2020,26
AGO,2021,59
AGO,2022,85
AGO,2023,149
ALB,1960,146
ALB,1961,146
ALB,1962,146
ALB,1963,146
ALB,1964,146
ALB,1965,148
ALB,1966,148
ALB,1967,148
ALB,1968,148
ALB,1969,148
ALB,1970,148
ALB,1971,147
ALB,1972,147
ALB,1973,147
ALB,1974,147
ALB,1975,147
ALB,1976,147
ALB,1977,147
ALB,1978,147
ALB,1979,148
ALB,1980,118
ALB,1981,95
ALB,1982,96
ALB,1983,96
ALB,1984,91
ALB,1985,92
