country_code,anho,null_count
ABW,1960,11
ABW,1961,10
ABW,1962,10
ABW,1963,10
ABW,1964,10
ABW,1965,10
ABW,1966,10
ABW,1967,10
ABW,1968,10
ABW,1969,10
ABW,1970,10
ABW,1971,10
ABW,1972,10
ABW,1973,10
ABW,1974,10
ABW,1975,10
ABW,1976,10
ABW,1977,10
ABW,1978,10
ABW,1979,10
ABW,1980,10
ABW,1981,10
ABW,1982,10
ABW,1983,10
ABW,1984,10
ABW,1985,10
ABW,1986,10
ABW,1987,10
ABW,1988,10
ABW,1989,10
ABW,1990,6
ABW,1991,9
ABW,1992,9
ABW,1993,9
ABW,1994,9
ABW,1995,9
ABW,1996,9
ABW,1997,9
ABW,1998,9
ABW,1999,9
ABW,2000,6
ABW,2001,9
ABW,2002,9
ABW,2003,9
ABW,2004,9
ABW,2005,9
ABW,2006,9
ABW,2007,9
ABW,2008,9
ABW,2009,9
ABW,2010,9
ABW,2011,9
ABW,2012,9
ABW,2013,9
ABW,2014,9
ABW,2015,6
ABW,2016,9
ABW,2017,9
ABW,2018,9
ABW,2019,9
ABW,2020,9
ABW,2021,9
ABW,2022,10
ABW,2023,12
AFG,1960,9
AFG,1961,8
AFG,1962,8
AFG,1963,8
AFG,1964,8
AFG,1965,8
AFG,1966,8
AFG,1967,8
AFG,1968,8
AFG,1969,8
AFG,1970,8
AFG,1971,8
AFG,1972,8
AFG,1973,8
AFG,1974,8
AFG,1975,8
AFG,1976,8
AFG,1977,8
AFG,1978,8
AFG,1979,8
AFG,1980,8
AFG,1981,8
AFG,1982,8
AFG,1983,8
AFG,1984,8
AFG,1985,8
AFG,1986,8
AFG,1987,8
AFG,1988,8
AFG,1989,8
AFG,1990,3
AFG,1991,8
AFG,1992,8
AFG,1993,8
AFG,1994,8
AFG,1995,6
AFG,1996,8
AFG,1997,8
AFG,1998,8
AFG,1999,8
AFG,2000,1
AFG,2001,6
AFG,2002,6
AFG,2003,6
AFG,2004,6
AFG,2005,4
AFG,2006,5
AFG,2007,6
AFG,2008,5
AFG,2009,6
AFG,2010,3
AFG,2011,4
AFG,2012,3
AFG,2013,4
AFG,2014,3
AFG,2015,1
AFG,2016,3
AFG,2017,4
AFG,2018,4
AFG,2019,5
AFG,2020,6
AFG,2021,7
AFG,2022,8
AFG,2023,10
AGO,1960,9
AGO,1961,8
AGO,1962,8
AGO,1963,8
AGO,1964,8
AGO,1965,8
AGO,1966,8
AGO,1967,8
AGO,1968,8
AGO,1969,8
AGO,1970,8
AGO,1971,8
AGO,1972,8
AGO,1973,8
AGO,1974,8
AGO,1975,8
AGO,1976,8
AGO,1977,8
AGO,1978,8
AGO,1979,8
AGO,1980,8
AGO,1981,8
AGO,1982,8
AGO,1983,8
AGO,1984,8
AGO,1985,8
AGO,1986,8
AGO,1987,8
AGO,1988,8
AGO,1989,8
AGO,1990,3
AGO,1991,8
AGO,1992,8
AGO,1993,8
AGO,1994,8
AGO,1995,6
AGO,1996,8
AGO,1997,8
AGO,1998,8
AGO,1999,8
AGO,2000,0
AGO,2001,6
AGO,2002,5
AGO,2003,6
AGO,2004,5
AGO,2005,4
AGO,2006,5
AGO,2007,6
AGO,2008,5
AGO,2009,6
AGO,2010,3
AGO,2011,4
AGO,2012,3
AGO,2013,4
AGO,2014,3
AGO,2015,1
AGO,2016,3
AGO,2017,4
AGO,2018,4
AGO,2019,5
AGO,2020,6
AGO,2021,7
AGO,2022,8
AGO,2023,10
ALB,1960,10
ALB,1961,9
ALB,1962,9
ALB,1963,9
ALB,1964,9
ALB,1965,9
ALB,1966,9
ALB,1967,9
ALB,1968,9
ALB,1969,9
ALB,1970,9
ALB,1971,9
ALB,1972,9
ALB,1973,9
ALB,1974,9
ALB,1975,9
ALB,1976,9
ALB,1977,9
ALB,1978,9
ALB,1979,9
ALB,1980,9
ALB,1981,9
ALB,1982,9
ALB,1983,9
ALB,1984,9
ALB,1985,9
ALB,1986,9
ALB,1987,9
ALB,1988,9
ALB,1989,9
ALB,1990,3
ALB,1991,8
ALB,1992,8
ALB,1993,8
ALB,1994,8
ALB,1995,6
ALB,1996,8
ALB,1997,8
ALB,1998,8
ALB,1999,8
ALB,2000,1
ALB,2001,7
ALB,2002,6
ALB,2003,7
ALB,2004,6
ALB,2005,5
ALB,2006,6
ALB,2007,7
ALB,2008,6
ALB,2009,7
ALB,2010,4
ALB,2011,5
ALB,2012,4
ALB,2013,5
ALB,2014,4
ALB,2015,2
ALB,2016,4
ALB,2017,5
ALB,2018,5
ALB,2019,6
ALB,2020,7
ALB,2021,8
ALB,2022,9
ALB,2023,11
AND,1960,11
AND,1961,10
AND,1962,10
AND,1963,10
AND,1964,10
AND,1965,10
AND,1966,10
AND,1967,10
AND,1968,10
AND,1969,10
AND,1970,10
AND,1971,10
AND,1972,10
AND,1973,10
AND,1974,10
AND,1975,10
AND,1976,10
AND,1977,10
AND,1978,10
AND,1979,10
AND,1980,10
AND,1981,10
AND,1982,10
AND,1983,10
AND,1984,10
AND,1985,10
AND,1986,10
AND,1987,10
AND,1988,10
AND,1989,10
AND,1990,4
AND,1991,9
