anho,EG.ELC.ACCS.RU.ZS,AG.LND.IRIG.AG.ZS,AG.LND.AGRI.ZS,AG.LND.AGRI.K2,AG.AGR.TRAC.NO,AG.LND.TRAC.ZS,EN.ATM.METH.AG.ZS,EN.ATM.METH.AG.KT.CE,EN.ATM.NOXE.AG.ZS,EN.ATM.NOXE.AG.KT.CE,TX.VAL.AGRI.ZS.UN,TM.VAL.AGRI.ZS.UN,NV.AGR.TOTL.ZS,NV.AGR.TOTL.CD,ER.H2O.FWAG.ZS,AG.LND.ARBL.ZS,AG.LND.ARBL.HA.PC,AG.LND.ARBL.HA,AG.LND.PRCP.MM,AG.PRD.CREL.MT,AG.YLD.CREL.KG,AG.PRD.CROP.XD,SL.AGR.EMPL.ZS,SL.AGR.EMPL.FE.ZS,SL.AGR.EMPL.MA.ZS,AG.CON.FERT.PT.ZS,AG.CON.FERT.ZS,AG.PRD.FOOD.XD,AG.LND.FRST.ZS,AG.LND.FRST.K2,AG.LND.TOTL.K2,AG.LND.CREL.HA,AG.PRD.LVSK.XD,AG.LND.CROP.ZS,AG.LND.TOTL.RU.K2,AG.LND.EL5M.RU.ZS,AG.LND.EL5M.RU.K2,SP.RUR.TOTL,SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZG,EN.POP.EL5M.RU.ZS,AG.SRF.TOTL.K2
1960,218,218,218,218,218,218,218,218,218,218,218,218,176,179,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,4,3,218,218,218
1961,218,218,39,11,57,59,218,218,218,218,218,218,174,178,218,42,42,41,76,69,72,55,218,218,218,164,94,55,218,218,36,69,56,55,218,218,218,4,3,11,218,6
1962,218,218,39,11,57,59,218,218,218,218,145,146,173,178,218,42,42,41,61,69,72,55,218,218,218,163,94,55,218,218,36,69,56,55,218,218,218,4,3,11,218,6
1963,218,218,39,11,57,59,218,218,218,218,143,143,171,176,218,42,42,41,61,69,72,55,218,218,218,160,93,55,218,218,36,69,56,55,218,218,218,4,3,11,218,6
1964,218,218,39,11,57,59,218,218,218,218,141,141,170,175,218,42,42,41,61,69,72,55,218,218,218,158,91,55,218,218,36,69,56,55,218,218,218,4,3,11,218,6
1965,218,218,39,11,57,59,218,218,218,218,135,135,157,160,217,42,42,41,61,69,72,55,218,218,218,158,91,55,218,218,36,69,56,55,218,218,218,4,3,11,218,6
1966,218,218,39,11,58,60,218,218,218,218,134,134,153,156,217,42,42,41,61,68,71,55,218,218,218,157,87,55,218,218,36,68,55,55,218,218,218,4,3,11,218,6
1967,218,218,39,11,58,60,218,218,218,218,131,131,152,155,217,42,42,41,61,68,71,55,218,218,218,155,85,55,218,218,36,68,55,55,218,218,218,4,3,11,218,6
1968,218,218,39,11,58,60,218,218,218,218,131,130,149,152,217,42,42,41,61,68,70,55,218,218,218,153,85,55,218,218,36,68,55,55,218,218,218,4,3,11,218,6
1969,218,218,39,11,61,63,218,218,218,218,131,131,148,151,217,42,42,41,61,68,70,55,218,218,218,153,84,55,218,218,36,68,55,55,218,218,218,4,3,11,218,6
1970,218,218,39,11,62,64,15,218,14,218,114,114,140,143,206,42,42,41,61,68,70,55,218,218,218,148,84,55,218,218,36,68,55,55,218,218,218,4,3,11,218,6
1971,218,218,39,11,65,67,15,218,14,218,111,112,139,142,206,42,42,41,61,68,69,55,218,218,218,149,85,55,218,218,36,68,55,54,218,218,218,4,3,11,218,6
1972,218,218,39,11,70,72,15,218,14,218,109,109,139,142,206,42,42,41,61,68,69,55,218,218,218,147,82,55,218,218,36,68,55,54,218,218,218,4,3,11,218,6
1973,218,218,39,11,71,73,15,218,14,218,108,108,139,142,206,42,42,41,61,68,69,55,218,218,218,146,77,55,218,218,36,68,55,54,218,218,218,4,3,11,218,6
1974,218,218,39,11,72,74,15,218,14,218,101,101,138,141,205,42,42,41,61,68,69,55,218,218,218,143,76,55,218,218,36,68,55,54,218,218,218,4,3,11,218,6
1975,218,218,39,11,75,77,15,218,14,218,99,97,133,136,198,42,42,41,61,68,69,55,218,218,218,141,73,55,218,218,36,68,55,54,218,218,218,4,3,11,218,6
1976,218,218,39,11,76,78,15,218,14,218,99,96,130,133,198,42,42,41,61,68,69,55,218,218,218,140,72,55,218,218,36,68,55,54,218,218,218,4,3,11,218,6
1977,218,218,39,11,77,79,15,218,14,218,102,96,125,128,198,42,42,41,61,68,68,55,218,218,218,139,72,55,218,218,36,68,55,54,218,218,218,4,3,11,218,6
1978,218,218,39,11,80,82,15,218,14,218,100,98,123,126,198,42,42,41,61,68,68,55,218,218,218,141,71,55,218,218,36,68,55,54,218,218,218,4,3,11,218,6
1979,218,218,39,11,80,83,15,218,14,218,101,101,122,125,198,42,42,41,61,68,68,55,218,218,218,140,72,55,218,218,36,68,55,54,218,218,218,4,3,11,218,6
1980,218,218,39,11,79,82,15,218,14,218,108,101,115,118,186,42,42,41,61,68,69,55,218,218,218,141,69,55,218,218,36,68,55,54,218,218,218,4,3,11,218,6
1981,218,218,39,11,79,82,15,218,14,218,110,106,112,115,186,42,42,41,61,68,68,55,218,218,218,141,71,55,218,218,36,68,55,53,218,218,218,4,3,11,218,6
1982,218,218,39,11,80,83,15,218,14,218,115,113,112,115,185,42,42,41,61,68,68,55,218,218,218,139,71,55,218,218,36,68,55,53,218,218,218,4,3,11,218,6
1983,218,218,39,11,82,84,15,218,14,218,116,110,109,111,185,42,42,41,61,68,68,55,218,218,218,137,72,55,218,218,36,68,55,52,218,218,218,4,3,11,218,6
