anho,EG.ELC.ACCS.ZS,EG.ELC.ACCS.RU.ZS,EG.ELC.ACCS.UR.ZS,NY.ADJ.DNGY.GN.ZS,NY.ADJ.DNGY.CD,NY.ADJ.DMIN.GN.ZS,NY.ADJ.DMIN.CD,NY.ADJ.DRES.GN.ZS,EG.USE.COMM.CL.ZS,EN.ATM.CO2E.GF.ZS,EN.ATM.CO2E.LF.KT,EG.USE.CRNW.ZS,EG.USE.ELEC.KH.PC,EG.ELC.LOSS.ZS,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.FOSL.ZS,EG.ELC.RNWX.ZS,EG.ELC.RNWX.KH,EG.IMP.CONS.ZS,EG.EGY.PRIM.PP.KD,EN.ATM.METH.EG.ZS,EG.USE.PCAP.KG.OE,EG.USE.COMM.GD.PP.KD,IC.FRM.BNKS.ZS,EG.USE.COMM.FO.ZS,TX.VAL.FUEL.ZS.UN,TM.VAL.FUEL.ZS.UN,EG.GDP.PUSE.KO.PP,EG.GDP.PUSE.KO.PP.KD,IE.PPI.ENGY.CD,EN.ATM.METH.EG.KT.CE,NY.GDP.MINR.RT.ZS,NY.GDP.NGAS.RT.ZS,EN.ATM.NOXE.EG.ZS,EN.ATM.NOXE.EG.KT.CE,NY.GDP.PETR.RT.ZS,TX.VAL.MMTL.ZS.UN,TM.VAL.MMTL.ZS.UN,EP.PMP.DESL.CD,EP.PMP.SGAS.CD,EG.ELC.RNEW.ZS,EG.FEC.RNEW.ZS,IC.ELC.TIME,IC.ELC.DURS,NY.GDP.TOTL.RT.ZS,IC.FRM.OUTG.ZS
1960,218,218,218,218,218,218,218,218,193,62,62,193,193,193,193,193,193,193,193,193,193,193,193,218,218,193,218,218,193,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1961,218,218,218,218,218,218,218,218,193,61,61,193,193,193,193,193,193,193,193,193,193,193,193,218,218,193,218,218,194,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1962,218,218,218,218,218,218,218,218,193,59,59,193,193,193,193,193,193,193,193,193,193,193,193,218,218,193,218,218,195,152,146,218,218,218,218,218,218,218,218,218,148,146,218,218,218,218,218,218,218,218
1963,218,218,218,218,218,218,218,218,193,58,58,193,193,193,193,193,193,193,193,193,193,193,193,218,218,193,218,218,194,149,143,218,218,218,218,218,218,218,218,218,145,143,218,218,218,218,218,218,218,218
1964,218,218,218,218,218,218,218,218,193,52,52,193,193,193,193,193,193,193,193,193,193,193,193,218,218,193,218,218,194,148,141,218,218,218,218,218,218,218,218,218,143,141,218,218,218,218,218,218,218,218
1965,218,218,218,218,218,218,218,218,192,52,52,192,192,192,192,192,192,192,192,192,192,192,192,218,218,192,218,218,192,141,135,218,218,218,218,218,218,218,218,218,138,135,218,218,218,218,218,218,218,218
1966,218,218,218,218,218,218,218,218,192,52,52,192,192,192,192,192,192,192,192,192,192,192,192,218,218,192,218,218,193,141,134,218,218,218,218,218,218,218,218,218,135,134,218,218,218,218,218,218,218,218
1967,218,218,218,218,218,218,218,218,192,52,52,192,192,192,192,192,192,192,192,192,192,192,192,218,218,192,218,218,193,135,131,218,218,218,218,218,218,218,218,218,132,131,218,218,218,218,218,218,218,218
1968,218,218,218,218,218,218,218,218,192,52,52,192,192,192,192,192,192,192,192,192,192,192,192,218,218,192,218,218,194,134,130,218,218,218,218,218,218,218,218,218,133,130,218,218,218,218,218,218,218,218
1969,218,218,218,218,218,218,218,218,192,52,52,192,192,192,192,192,192,192,192,192,192,192,192,218,218,192,218,218,194,133,131,218,218,218,218,218,218,218,218,218,133,131,218,218,218,218,218,218,218,218
1970,218,218,218,167,133,102,1,168,192,51,51,192,192,192,192,192,192,192,192,192,192,192,192,218,15,192,218,218,193,122,114,218,218,218,218,92,168,14,218,173,117,114,218,218,218,218,218,218,92,218
1971,218,218,218,135,87,102,1,139,106,50,50,106,106,107,107,107,107,107,107,107,107,106,106,218,15,106,218,218,110,121,112,218,218,218,218,90,130,14,218,127,113,112,218,218,218,218,218,218,90,218
1972,218,218,218,135,87,101,1,139,106,49,49,106,106,107,107,107,107,107,107,107,107,106,106,218,15,106,218,218,111,117,109,218,218,218,218,90,130,14,218,127,112,109,218,218,218,218,218,218,90,218
1973,218,218,218,134,87,99,1,138,106,49,49,106,106,106,106,106,106,106,106,106,106,106,106,218,15,106,218,218,112,117,108,218,218,218,218,90,130,14,218,127,109,108,218,218,218,218,218,218,90,218
