anho,SH.STA.ARIC.ZS,SP.ADO.TFRT,SH.HIV.INCD.TL,SH.HIV.INCD,SP.POP.DPND,SP.POP.DPND.OL,SP.POP.DPND.YG,SH.HIV.ARTC.ZS,SH.HIV.PMTC.ZS,SP.DYN.CBRT.IN,SH.STA.BRTC.ZS,SH.DTH.COMM.ZS,SH.DTH.INJR.ZS,SH.DTH.NCOM.ZS,SH.HIV.0014,SH.HIV.INCD.14,SH.MLR.TRET.ZS,SH.MED.CMHW.P3,SP.REG.BRTH.ZS,SP.REG.BRTH.FE.ZS,SP.REG.BRTH.MA.ZS,SP.REG.BRTH.RU.ZS,SP.REG.BRTH.UR.ZS,SP.REG.DTHS.ZS,SH.CON.1524.FE.ZS,SH.CON.1524.MA.ZS,SN.ITK.SALT.ZS,SP.DYN.CONU.ZS,SP.DYN.CONM.ZS,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.PP.CD,SP.DYN.CDRT.IN,SH.FPL.SATM.ZS,SH.STA.DIAB.ZS,SH.STA.ORCF.ZS,SH.STA.ORTH,SH.XPD.GHED.GD.ZS,SH.XPD.GHED.CH.ZS,SH.XPD.GHED.GE.ZS,SH.XPD.GHED.PC.CD,SH.XPD.GHED.PP.CD,SH.XPD.PVTD.CH.ZS,SH.XPD.PVTD.PC.CD,SH.XPD.PVTD.PP.CD,SH.STA.BFED.ZS,SH.XPD.EHEX.CH.ZS,SH.XPD.EHEX.PC.CD,SH.XPD.EHEX.PP.CD,SH.STA.FGMS.ZS,SP.HOU.FEMA.ZS,SP.DYN.TFRT.IN,SH.MED.BEDS.ZS,SH.IMM.IDPT,SH.IMM.HEPB,SH.IMM.MEAS,SH.HIV.INCD.YG.P3,SH.HIV.INCD.ZS,SH.HIV.INCD.TL.P3,SH.MLR.INCD.P3,SH.TBS.INCD,SM.POP.TOTL.ZS,SM.POP.TOTL,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SP.DYN.LE00.IN,SH.MMR.RISK.ZS,SH.MMR.RISK,SH.STA.BRTW.ZS,SH.STA.MMRT,SH.STA.MMRT.NE,SH.STA.TRAF.P5,SH.DYN.NCOM.ZS,SH.DYN.NCOM.FE.ZS,SH.DYN.NCOM.MA.ZS,SH.STA.AIRP.P5,SH.STA.AIRP.FE.P5,SH.STA.AIRP.MA.P5,SH.STA.POIS.P5,SH.STA.POIS.P5.FE,SH.STA.POIS.P5.MA,SH.STA.WASH.P5,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.IMRT.IN,SP.DYN.IMRT.FE.IN,SP.DYN.IMRT.MA.IN,SH.DYN.NMRT,SH.DYN.MORT,SH.DYN.MORT.FE,SH.DYN.MORT.MA,SM.POP.NETM,SH.VAC.TTNS.ZS,SH.DTH.IMRT,SH.MMR.DTHS,SH.DTH.NMRT,SH.SGR.PROC.P5,SH.DTH.MORT,SH.MED.NUMW.P3,SH.XPD.OOPC.CH.ZS,SH.XPD.OOPC.PC.CD,SH.XPD.OOPC.PP.CD,SH.STA.ODFC.ZS,SH.STA.ODFC.RU.ZS,SH.STA.ODFC.UR.ZS,SH.H2O.BASW.ZS,SH.H2O.BASW.RU.ZS,SH.H2O.BASW.UR.ZS,SH.STA.BASS.ZS,SH.STA.BASS.RU.ZS,SH.STA.BASS.UR.ZS,SH.H2O.SMDW.ZS,SH.H2O.SMDW.RU.ZS,SH.H2O.SMDW.UR.ZS,SH.STA.SMSS.ZS,SH.STA.SMSS.RU.ZS,SH.STA.SMSS.UR.ZS,SH.STA.HYGN.ZS,SH.STA.HYGN.RU.ZS,SH.STA.HYGN.UR.ZS,SH.MED.PHYS.ZS,SP.POP.0014.TO.ZS,SP.POP.0014.FE.IN,SP.POP.0014.FE.ZS,SP.POP.0014.MA.IN,SP.POP.0014.MA.ZS,SP.POP.0014.TO,SP.POP.0004.FE.5Y,SP.POP.0004.MA.5Y,SP.POP.0509.FE.5Y,SP.POP.0509.MA.5Y,SP.POP.1014.FE.5Y,SP.POP.1014.MA.5Y,SP.POP.1519.FE.5Y,SP.POP.1519.MA.5Y,SP.POP.1564.TO.ZS,SP.POP.1564.FE.IN,SP.POP.1564.FE.ZS,SP.POP.1564.MA.IN,SP.POP.1564.MA.ZS,SP.POP.1564.TO,SP.POP.2024.FE.5Y,SP.POP.2024.MA.5Y,SP.POP.2529.FE.5Y,SP.POP.2529.MA.5Y,SP.POP.3034.FE.5Y,SP.POP.3034.MA.5Y,SP.POP.3539.FE.5Y,SP.POP.3539.MA.5Y,SP.POP.4044.FE.5Y,SP.POP.4044.MA.5Y,SP.POP.4549.FE.5Y,SP.POP.4549.MA.5Y,SP.POP.5054.FE.5Y,SP.POP.5054.MA.5Y,SP.POP.5559.FE.5Y,SP.POP.5559.MA.5Y,SP.POP.6064.FE.5Y,SP.POP.6064.MA.5Y,SP.POP.65UP.TO.ZS,SP.POP.65UP.FE.IN,SP.POP.65UP.FE.ZS,SP.POP.65UP.MA.IN,SP.POP.65UP.MA.ZS,SP.POP.65UP.TO,SP.POP.6569.FE.5Y,SP.POP.6569.MA.5Y,SP.POP.7074.FE.5Y,SP.POP.7074.MA.5Y,SP.POP.7579.FE.5Y,SP.POP.7579.MA.5Y,SP.POP.80UP.FE.5Y,SP.POP.80UP.MA.5Y,SP.POP.GROW,SP.POP.TOTL.FE.IN,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.IN,SP.POP.TOTL.MA.ZS,SP.POP.TOTL,SH.STA.ANVC.ZS,SH.HIV.1524.FE.ZS,SH.HIV.1524.MA.ZS,SH.DYN.AIDS.ZS,SH.ANM.CHLD.ZS,SH.ANM.NPRG.ZS,SH.PRG.ANEM,SH.ANM.ALLW.ZS,SH.PRV.SMOK,SH.PRV.SMOK.FE,SH.PRV.SMOK.MA,SN.ITK.MSFI.ZS,SH.STA.OWGH.ME.ZS,SH.STA.OWGH.ZS,SH.STA.OWGH.FE.ZS,SH.STA.OWGH.MA.ZS,SN.ITK.SVFI.ZS,SH.SVR.WAST.ZS,SH.SVR.WAST.FE.ZS,SH.SVR.WAST.MA.ZS,SH.STA.STNT.ZS,SH.STA.STNT.ME.ZS,SH.STA.STNT.FE.ZS,SH.STA.STNT.MA.ZS,SN.ITK.DEFC.ZS,SH.STA.MALN.ZS,SH.STA.MALN.FE.ZS,SH.STA.MALN.MA.ZS,SH.STA.WAST.ZS,SH.STA.WAST.FE.ZS,SH.STA.WAST.MA.ZS,SH.UHC.NOP1.ZS,SH.UHC.NOP2.ZS,SH.UHC.NOPR.ZS,SH.UHC.FBP1.ZS,SH.UHC.FBP2.ZS,SH.UHC.FBPR.ZS,SH.UHC.TOT1.ZS,SH.UHC.TOT2.ZS,SH.UHC.TOTR.ZS,SH.UHC.OOPC.10.ZS,SH.UHC.OOPC.25.ZS,SG.VAW.1549.ZS,SM.POP.REFG,SM.POP.REFG.OR,SH.SGR.CRSK.ZS,SH.SGR.IRSK.ZS,SP.POP.BRTH.MF,SH.MED.SAOP.P5,SH.STA.SUIC.P5,SH.STA.SUIC.FE.P5,SH.STA.SUIC.MA.P5,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.MTR.1519.ZS,SH.ALC.PCAP.LI,SH.ALC.PCAP.FE.LI,SH.ALC.PCAP.MA.LI,SH.TBS.DTEC.ZS,SH.TBS.CURE.ZS,SH.UHC.SRVS.CV.XD,SP.UWT.TFRT,SH.MLR.NETS.ZS,SN.ITK.VITA.ZS,SP.DYN.WFRT,SG.VAW.REAS.ZS,SG.VAW.ARGU.ZS,SG.VAW.BURN.ZS,SG.VAW.GOES.ZS,SG.VAW.NEGL.ZS,SG.VAW.REFU.ZS,SP.M15.2024.FE.ZS,SP.M18.2024.FE.ZS,SH.DYN.AIDS.FE.ZS,SH.HIV.INCD.YG
1960,218,1,218,218,2,2,2,218,218,12,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,12,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,85,218,218,218,218,218,218,218,218,218,31,14,14,14,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,101,101,101,169,95,101,101,1,218,104,218,184,218,123,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,81,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,218,2,1,2,1,2,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,195,217,218,218,1,218,218,218,218,1,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1961,218,1,218,218,2,2,2,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,217,217,218,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,216,218,218,218,218,218,218,218,218,218,218,13,13,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,14,100,100,100,168,94,100,100,1,218,101,218,169,218,113,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,200,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,190,215,218,218,1,218,218,218,218,1,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1962,218,1,218,218,2,2,2,218,218,12,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,12,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,216,218,218,218,218,218,218,218,218,218,218,13,13,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,14,99,99,99,168,92,99,99,1,218,100,218,169,218,112,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,202,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,189,215,218,218,1,218,218,218,218,1,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1963,218,1,218,218,2,2,2,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,216,216,218,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,216,218,218,218,218,218,218,218,218,218,218,14,14,14,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,14,94,94,94,165,89,94,94,1,218,99,218,169,218,109,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,202,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,188,213,218,218,1,218,218,218,218,1,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1964,218,1,218,218,2,2,2,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,216,218,218,218,218,218,218,218,218,218,218,14,14,14,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,14,90,90,90,161,86,90,90,1,218,94,218,165,218,104,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,202,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,185,206,218,218,1,218,218,218,218,1,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1965,218,1,218,218,2,2,2,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,215,215,218,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,213,218,218,218,218,218,218,218,218,218,31,14,14,14,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,14,88,88,88,154,84,88,88,1,218,90,218,161,218,101,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,110,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,181,205,218,218,1,218,218,218,218,1,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1966,218,1,218,218,2,2,2,218,218,12,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,215,215,218,218,218,12,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,215,218,218,218,218,218,218,218,218,218,218,13,13,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,14,86,86,86,153,83,86,86,1,218,88,218,154,218,100,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,199,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,182,201,218,218,1,218,218,218,218,1,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1967,218,1,218,218,2,2,2,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,215,216,218,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,215,218,218,218,218,218,218,218,218,218,218,13,13,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,14,82,82,82,151,79,82,82,1,218,86,218,153,218,99,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,201,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,184,201,218,218,1,218,218,218,218,1,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1968,218,1,218,218,2,2,2,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,217,217,218,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,215,218,218,218,218,218,218,218,218,218,218,13,13,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,14,77,77,77,141,74,77,77,1,218,82,218,151,218,94,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,201,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,177,196,218,218,1,218,218,218,218,1,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1969,218,1,218,218,2,2,2,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,213,214,218,218,218,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,215,218,218,218,218,218,218,218,218,218,218,13,13,13,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,14,72,72,72,126,70,72,72,1,218,77,218,141,218,90,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,201,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,165,194,218,218,1,218,218,218,218,1,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
