anho,IS.AIR.GOOD.MT.K1,IS.AIR.PSGR,IS.AIR.DPRT,ER.H2O.FWAG.ZS,ER.H2O.FWDM.ZS,ER.H2O.FWIN.ZS,ER.H2O.FWTL.ZS,ER.H2O.FWTL.K3,IS.SHP.GOOD.TU,EG.USE.ELEC.KH.PC,EG.ELC.LOSS.ZS,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,IT.NET.BBND,IT.NET.BBND.P2,IT.MLT.MAIN,IT.MLT.MAIN.P2,TX.VAL.ICTG.ZS.UN,TM.VAL.ICTG.ZS.UN,BX.GSR.CCIS.ZS,BX.GSR.CCIS.CD,IT.NET.USER.ZS,IP.IDS.NRCT,IP.IDS.RSCT,IE.PPI.ICTI.CD,IE.PPI.ENGY.CD,IE.PPI.TRAN.CD,IE.PPI.WATR.CD,IS.SHP.GCNW.XQ,IT.CEL.SETS,IT.CEL.SETS.P2,IE.PPN.ICTI.CD,IE.PPN.ENGY.CD,IE.PPN.TRAN.CD,IE.PPN.WATR.CD,IS.RRS.TOTL.KM,IS.RRS.GOOD.MT.K6,IS.RRS.PASG.KM,ER.H2O.INTR.PC,ER.H2O.INTR.K3,IT.NET.SECR,IT.NET.SECR.P6,IP.TMK.NRCT,IP.TMK.RSCT
1960,218,218,218,218,218,218,218,218,218,193,193,193,193,193,193,193,218,218,105,105,218,218,217,217,211,218,218,218,218,218,218,218,18,18,218,218,218,218,218,218,218,218,218,218,218,218,218
1961,218,218,218,218,218,218,218,218,218,193,193,193,193,193,193,193,218,218,105,105,218,218,217,217,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,75,74,218,218,218,218
1962,218,218,218,218,218,218,217,217,218,193,193,193,193,193,193,193,218,218,105,105,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,62,61,218,218,218,218
1963,218,218,218,218,218,218,217,217,218,193,193,193,193,193,193,193,218,218,105,105,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,62,61,218,218,218,218
1964,218,218,218,218,218,218,217,217,218,193,193,193,193,193,193,193,218,218,105,105,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,62,61,218,218,218,218
1965,218,218,218,217,217,217,216,216,218,192,192,192,192,192,192,192,218,218,99,101,218,218,217,217,211,218,218,218,218,218,218,218,18,18,218,218,218,218,218,218,218,62,61,218,218,218,218
1966,218,218,218,217,217,217,216,216,218,192,192,192,192,192,192,192,218,218,83,83,218,218,217,217,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,62,61,218,218,218,218
1967,218,218,218,217,217,217,216,216,218,192,192,192,192,192,192,192,218,218,83,83,218,218,217,217,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,62,61,218,218,218,218
1968,218,218,218,217,217,217,216,216,218,192,192,192,192,192,192,192,218,218,83,83,218,218,217,217,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,62,61,218,218,218,218
1969,218,218,218,217,217,217,216,216,218,192,192,192,192,192,192,192,218,218,83,83,218,218,217,217,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,62,61,218,218,218,218
