anho,SI.SPR.PC40.ZG,SI.SPR.PCAP.ZG,SI.POV.GINI,SI.DST.04TH.20,SI.DST.10TH.10,SI.DST.05TH.20,SI.DST.FRST.10,SI.DST.FRST.20,SI.DST.02ND.20,SI.DST.03RD.20,EN.POP.SLUM.UR.ZS,SI.POV.GAPS,SI.POV.LMIC.GP,SI.POV.UMIC.GP,SI.POV.DDAY,SI.POV.LMIC,SI.POV.UMIC,SI.POV.NAHC,SI.DST.50MD,SI.SPR.PC40,SI.SPR.PCAP
1960,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1961,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1962,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
1963,218,218,217,217,217,217,217,217,217,217,218,217,217,217,217,217,217,218,217,218,218
1964,218,218,217,217,217,217,217,217,217,217,218,217,217,217,217,217,217,218,217,218,218
1965,218,218,217,217,217,217,217,217,217,217,218,217,217,217,217,217,217,218,217,218,218
1966,218,218,217,217,217,217,217,217,217,217,218,217,217,217,217,217,217,218,217,218,218
1967,218,218,217,217,217,217,217,217,217,217,218,217,217,217,217,217,217,218,217,218,218
1968,218,218,216,216,216,216,216,216,216,216,218,216,216,216,216,216,216,218,216,218,218
1969,218,218,216,216,216,216,216,216,216,216,218,216,216,216,216,216,216,218,216,218,218
1970,218,218,215,215,215,215,215,215,215,215,218,215,215,215,215,215,215,218,215,218,218
1971,218,218,215,215,215,215,215,215,215,215,218,215,215,215,215,215,215,218,215,218,218
1972,218,218,216,216,216,216,216,216,216,216,218,216,216,216,216,216,216,218,216,218,218
1973,218,218,215,215,215,215,215,215,215,215,218,215,215,215,215,215,215,218,215,218,218
1974,218,218,216,216,216,216,216,216,216,216,218,216,216,216,216,216,216,218,216,218,218
1975,218,218,213,213,213,213,213,213,213,213,218,213,213,213,213,213,213,218,213,218,218
1976,218,218,216,216,216,216,216,216,216,216,218,216,216,216,216,216,216,218,216,218,218
1977,218,218,213,213,213,213,213,213,213,213,218,213,213,213,213,213,213,218,213,218,218
1978,218,218,215,215,215,215,215,215,215,215,218,215,215,215,215,215,215,218,215,218,218
1979,218,218,210,210,210,210,210,210,210,210,218,210,210,210,210,210,210,218,210,218,218
1980,218,218,211,211,211,211,211,211,211,211,218,211,211,211,211,211,211,218,212,218,218
1981,218,218,207,207,207,207,207,207,207,207,218,207,207,207,207,207,207,218,208,218,218
1982,218,218,212,212,212,212,212,212,212,212,218,212,212,212,212,212,212,218,212,218,218
1983,218,218,211,211,211,211,211,211,211,211,218,211,211,211,211,211,211,218,211,218,218
1984,218,218,209,209,209,209,209,209,209,209,218,209,209,209,209,209,209,218,209,218,218
1985,218,218,204,204,204,204,204,204,204,204,218,204,204,204,204,204,204,218,204,218,218
1986,218,218,202,202,202,202,202,202,202,202,218,202,202,202,202,202,202,218,202,218,218
1987,218,218,196,196,196,196,196,196,196,196,218,196,196,196,196,196,196,218,197,218,218
1988,218,218,204,204,204,204,204,204,204,204,218,204,204,204,204,204,204,218,205,218,218
1989,218,218,200,200,200,200,200,200,200,200,218,198,198,198,198,198,198,218,201,218,218
1990,218,218,195,195,195,195,195,195,195,195,218,195,195,195,195,195,195,218,196,218,218
1991,218,218,198,198,198,198,198,198,198,198,218,197,197,198,197,197,198,218,198,218,218
1992,218,218,182,182,182,182,182,182,182,182,218,181,181,181,181,181,181,218,183,218,218
1993,218,218,192,192,192,192,192,192,192,192,218,192,192,192,192,192,192,218,192,218,218
1994,218,218,193,193,193,193,193,193,193,193,218,193,193,193,193,193,193,218,193,218,218
1995,218,218,179,179,179,179,179,179,179,179,218,179,179,179,179,179,179,218,181,218,218
1996,218,218,181,181,181,181,181,181,181,181,218,181,181,181,181,181,181,218,182,218,218
1997,218,218,187,187,187,187,187,187,187,187,218,187,187,187,187,187,187,218,188,218,218
1998,218,218,175,175,175,175,175,175,175,175,218,174,174,174,174,174,174,218,176,218,218
1999,218,218,182,182,182,182,182,182,182,182,218,182,182,182,182,182,182,218,182,218,218
2000,218,218,168,168,168,168,168,168,168,168,125,168,168,168,168,168,168,202,169,218,218
2001,218,218,178,178,178,178,178,178,178,178,218,178,178,178,178,178,178,203,179,218,218
2002,218,218,160,160,160,160,160,160,160,160,117,160,160,160,160,160,160,201,161,218,218
2003,218,218,158,158,158,158,158,158,158,158,218,158,158,158,158,158,158,200,159,217,217
2004,218,218,148,148,148,148,148,148,148,148,114,148,148,148,148,148,148,188,149,216,216
2005,218,218,142,142,142,142,142,142,142,142,218,142,142,142,142,142,142,176,143,217,217
2006,218,218,141,141,141,141,141,141,141,141,112,141,141,141,141,141,141,175,141,217,217
2007,218,218,149,149,149,149,149,149,149,149,218,149,149,149,149,149,149,175,149,215,215
2008,218,218,144,144,144,144,144,144,144,144,113,144,144,144,144,144,144,179,144,216,216
2009,218,218,139,139,139,139,139,139,139,139,218,139,139,139,139,139,139,168,139,213,213
2010,216,216,135,135,135,135,135,135,135,135,114,135,135,135,135,135,135,167,135,212,212
2011,216,216,139,139,139,139,139,139,139,139,218,139,139,139,139,139,139,164,139,213,213
2012,213,213,133,133,133,133,133,133,133,133,115,133,133,133,133,133,133,164,133,206,206
2013,217,217,142,142,142,142,142,142,142,142,218,142,142,142,142,142,142,168,142,212,212
2014,215,215,136,136,136,136,136,136,136,136,117,136,136,136,136,136,136,167,136,207,207
2015,214,214,133,133,133,133,133,133,133,133,218,133,133,133,133,133,133,159,133,199,199
2016,212,212,137,137,137,137,137,137,137,137,120,137,137,137,137,137,137,160,137,170,170
2017,213,213,142,142,142,142,142,142,142,142,218,142,142,142,142,142,142,164,142,200,200
2018,209,209,128,128,128,128,128,128,128,128,126,128,128,128,128,128,128,152,129,196,196
2019,205,205,142,143,143,143,143,143,143,143,218,142,142,142,142,142,142,155,142,205,205
2020,210,210,155,155,155,155,155,155,155,155,138,155,155,155,155,155,155,162,155,210,210
2021,167,167,150,150,150,150,150,150,150,150,218,150,150,150,150,150,150,159,150,167,167
2022,204,204,194,194,194,194,194,194,194,194,218,194,194,194,194,194,194,187,194,204,204
2023,216,216,216,216,216,216,216,216,216,216,218,216,216,216,216,216,216,217,216,216,216
