anho,BM.GSR.ROYL.CD,BX.GSR.ROYL.CD,TX.VAL.TECH.MF.ZS,TX.VAL.TECH.CD,IP.PAT.NRES,IP.PAT.RESD,GB.XPD.RSDV.GD.ZS,SP.POP.SCIE.RD.P6,IP.JRN.ARTC.SC,SP.POP.TECH.RD.P6
1960,216,218,218,218,218,218,218,218,218,218
1961,216,218,218,218,218,218,218,218,218,218
1962,217,217,218,218,218,218,218,218,218,218
1963,217,217,218,218,218,218,218,218,218,218
1964,217,217,218,218,218,218,218,218,218,218
1965,216,217,218,218,218,218,218,218,218,218
1966,216,217,218,218,218,218,218,218,218,218
1967,215,216,218,218,218,218,218,218,218,218
1968,214,215,218,218,218,218,218,218,218,218
1969,214,215,218,218,218,218,218,218,218,218
1970,210,211,218,218,218,218,218,218,218,218
1971,209,210,218,218,218,218,218,218,218,218
1972,209,210,218,218,218,218,218,218,218,218
1973,208,210,218,218,218,218,218,218,218,218
1974,205,207,218,218,218,218,218,218,218,218
1975,196,201,218,218,218,218,218,218,218,218
1976,184,196,218,218,218,218,218,218,218,218
1977,175,194,218,218,218,218,218,218,218,218
1978,175,195,218,218,218,218,218,218,218,218
1979,174,193,218,218,218,218,218,218,218,218
1980,173,193,218,218,133,147,218,218,218,218
1981,171,189,218,218,142,153,218,218,218,218
1982,171,190,218,218,142,154,218,218,218,218
1983,169,190,218,218,137,148,218,218,218,218
1984,170,190,218,218,135,149,218,218,218,218
1985,170,189,218,218,132,150,218,218,218,218
1986,165,185,218,218,142,155,218,218,218,218
1987,164,186,218,218,147,157,218,218,218,218
1988,163,183,218,218,145,151,218,218,218,218
1989,162,183,218,218,141,151,218,218,218,218
1990,155,176,218,218,140,150,218,218,218,218
1991,156,174,218,218,136,142,218,218,218,218
1992,155,174,218,218,125,136,218,218,218,218
1993,153,167,218,218,121,122,218,218,218,218
1994,141,161,218,218,121,126,218,218,218,218
1995,142,163,218,218,114,123,218,218,218,218
1996,130,159,218,218,114,118,166,179,21,188
1997,127,156,218,218,130,131,149,173,21,185
1998,119,149,218,218,133,132,152,170,21,181
1999,117,144,218,218,123,126,150,169,21,183
2000,111,136,218,218,122,124,145,169,21,183
2001,110,133,218,218,120,130,136,162,21,180
2002,101,130,218,218,121,125,124,157,21,175
2003,99,128,218,218,120,124,125,154,21,171
2004,96,132,218,218,116,124,124,154,21,170
2005,83,122,218,218,115,119,125,149,21,163
2006,80,111,218,218,118,122,133,154,21,164
2007,77,106,140,140,114,119,122,144,21,153
2008,70,103,110,109,116,121,121,143,21,157
2009,71,105,87,86,118,126,123,144,21,156
2010,73,100,79,78,114,119,125,140,21,152
2011,73,100,75,74,103,112,126,142,21,150
2012,71,99,71,69,102,113,132,146,21,164
2013,71,100,66,64,95,103,123,140,21,158
2014,64,97,63,61,96,103,127,144,21,163
2015,65,94,56,54,96,102,117,128,21,148
2016,65,90,55,52,87,96,128,140,21,162
2017,70,94,54,52,86,97,124,137,21,159
2018,67,92,56,54,88,92,126,140,21,183
2019,66,87,58,57,92,104,126,141,21,218
2020,65,87,60,59,86,99,133,144,21,218
2021,70,94,61,60,97,105,149,154,218,218
2022,82,101,80,79,218,218,218,218,218,218
2023,218,218,218,218,218,218,218,218,218,218
