anho,SP.ADO.TFRT,SL.TLF.0714.FE.ZS,SL.TLF.0714.MA.ZS,SL.TLF.0714.SW.ZS,SL.TLF.0714.SW.FE.ZS,SL.TLF.0714.SW.MA.ZS,SL.TLF.0714.ZS,SL.TLF.0714.WK.ZS,SL.TLF.0714.WK.FE.ZS,SL.TLF.0714.WK.MA.ZS,SL.TLF.ACTI.1524.FE.ZS,SL.TLF.ACTI.1524.MA.ZS,SL.TLF.ACTI.1524.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.ACTI.FE.ZS,SL.TLF.CACT.MA.ZS,SL.TLF.ACTI.MA.ZS,SL.TLF.ACTI.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SE.ADT.1524.LT.FM.ZS,SH.HIV.1524.FE.ZS,SH.HIV.1524.MA.ZS,SG.GEN.PARL.ZS,SM.POP.REFG,SM.POP.REFG.OR,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.EMP.VULN.FE.ZS,SL.EMP.VULN.MA.ZS
1960,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,14,218,218,218,218,195,217,218,218,218,218,218,218,218,218
1961,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,218,218,218,218,190,215,218,218,218,218,218,218,218,218
1962,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,218,218,218,218,189,215,218,218,218,218,218,218,218,218
1963,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,14,218,218,218,218,188,213,218,218,218,218,218,218,218,218
1964,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,14,218,218,218,218,185,206,218,218,218,218,218,218,218,218
1965,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,14,14,218,218,218,218,181,205,218,218,218,218,218,218,218,218
1966,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,218,218,218,218,182,201,218,218,218,218,218,218,218,218
1967,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,218,218,218,218,184,201,218,218,218,218,218,218,218,218
1968,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,218,218,218,218,177,196,218,218,218,218,218,218,218,218
1969,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,218,218,218,218,165,194,218,218,218,218,218,218,218,218
1970,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,215,218,218,218,161,190,175,184,182,193,218,218,218,218
1971,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,218,218,218,218,160,188,82,102,96,131,218,218,218,218
1972,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,217,218,218,218,154,187,82,107,101,131,218,218,218,218
1973,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,12,12,218,218,218,218,169,193,85,110,106,137,218,218,218,218
1974,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,218,218,218,218,159,187,86,116,108,139,218,218,218,218
1975,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,212,218,218,218,165,182,90,120,117,138,218,218,218,218
1976,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,210,218,218,218,163,187,81,113,109,141,218,218,218,218
1977,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,13,13,217,218,218,218,144,188,83,111,109,135,218,218,218,218
1978,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,11,11,216,218,218,218,136,176,80,117,115,140,218,218,218,218
1979,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,12,12,211,218,218,218,130,179,87,119,117,128,218,218,218,218
1980,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,11,11,195,218,218,218,128,164,97,123,117,131,218,218,218,218
1981,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,11,11,200,218,218,218,126,162,79,113,111,137,218,218,218,218
1982,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,11,11,211,218,218,218,124,158,86,119,117,135,218,218,218,218
1983,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,11,11,216,218,218,218,121,161,84,118,114,133,218,218,218,218
1984,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,11,11,212,218,218,218,122,160,83,113,112,133,218,218,218,218
1985,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,11,11,212,218,218,218,119,158,83,117,115,133,218,218,218,218
1986,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,10,10,214,218,218,218,120,156,76,109,106,132,218,218,218,218
1987,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,10,10,215,218,218,218,118,157,92,117,113,136,218,218,218,218
1988,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,10,10,213,218,218,218,119,141,92,117,113,143,218,218,218,218
1989,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,10,10,207,218,218,218,117,134,92,118,115,141,218,218,218,218
1990,1,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,8,8,200,82,82,218,107,127,89,119,114,140,218,218,218,218
1991,1,218,218,218,218,218,218,218,218,218,31,31,31,31,31,31,31,31,9,9,195,82,82,218,101,119,72,118,113,140,31,31,31,31
1992,1,218,218,218,218,218,218,218,218,218,31,31,31,31,31,31,31,31,9,9,209,82,82,218,88,106,73,120,115,134,31,31,31,31
1993,1,218,218,218,218,218,218,218,218,218,31,31,31,31,31,31,31,31,9,9,214,82,82,218,79,98,74,110,107,134,31,31,31,31
1994,1,217,217,217,217,217,217,217,217,217,31,31,31,31,31,31,31,31,8,8,209,82,82,218,76,61,74,118,114,135,31,31,31,31
1995,1,218,218,218,218,218,218,218,218,218,31,31,31,31,31,31,31,31,7,7,213,82,82,218,74,56,75,125,122,137,31,31,31,31
1996,1,216,216,216,217,217,216,216,217,217,31,31,31,31,31,31,31,31,8,8,209,82,82,218,74,54,86,130,128,136,31,31,31,31
1997,1,218,218,218,218,218,218,218,218,218,31,31,31,31,31,31,31,31,8,8,215,82,82,58,71,59,98,148,144,151,31,31,31,31
1998,1,217,217,217,217,217,217,217,217,217,31,31,31,31,31,31,31,31,8,8,213,82,82,56,74,53,80,132,130,143,31,31,31,31
1999,1,208,208,208,209,209,208,208,209,209,31,31,31,31,31,31,31,31,8,8,211,82,82,65,69,50,51,77,74,108,31,31,31,31
2000,1,194,194,194,196,196,194,194,196,196,31,31,31,31,31,31,31,31,7,7,162,82,82,61,69,46,55,82,79,112,31,31,31,31
2001,1,209,209,209,209,209,209,209,209,209,31,31,31,31,31,31,31,31,8,8,182,82,82,51,68,50,55,84,79,113,31,31,31,31
2002,1,214,214,214,218,218,214,214,218,218,31,31,31,31,31,31,31,31,8,8,193,82,82,57,73,41,50,84,81,97,31,31,31,31
2003,1,210,210,210,214,214,210,210,214,214,31,31,31,31,31,31,31,31,8,8,196,82,82,44,72,39,59,88,84,100,31,31,31,31
2004,1,207,207,207,218,218,207,207,218,218,31,31,31,31,31,31,31,31,8,8,191,82,82,37,71,43,53,75,71,99,31,31,31,31
2005,1,192,192,192,212,212,192,191,212,212,31,31,31,31,31,31,31,31,7,7,183,82,82,33,72,42,47,71,69,102,31,31,31,31
2006,1,187,187,187,207,207,187,187,207,207,31,31,31,31,31,31,31,31,8,8,178,82,82,29,70,36,58,80,78,101,31,31,31,31
2007,1,199,199,199,213,213,199,199,213,213,31,31,31,31,31,31,31,31,8,8,184,82,82,30,67,38,50,77,74,107,31,31,31,31
2008,1,206,206,206,212,212,206,206,212,212,31,31,31,31,31,31,31,31,8,8,182,82,82,31,65,37,54,81,77,98,31,31,31,31
2009,1,203,203,203,211,211,203,203,211,211,31,31,31,31,31,31,31,31,8,8,180,82,82,31,62,37,55,83,78,93,31,31,31,31
2010,1,197,197,197,202,202,197,197,202,202,31,31,31,31,31,31,31,31,8,8,165,80,80,31,60,36,60,82,76,89,31,31,31,31
2011,1,196,196,196,199,199,196,196,199,199,31,31,31,31,31,31,31,31,8,8,158,80,80,30,56,34,49,74,72,86,31,31,31,31
2012,1,194,194,194,194,194,194,194,194,194,31,31,31,31,31,31,31,31,8,8,166,80,80,29,58,34,48,80,78,84,31,31,31,31
2013,1,207,207,207,207,207,207,207,207,207,31,31,31,31,31,31,31,31,8,8,178,80,80,34,55,31,54,89,85,88,31,31,31,31
2014,1,200,200,200,200,200,200,200,200,200,31,31,31,31,31,31,31,31,8,8,168,80,80,31,52,31,49,83,81,87,31,31,31,31
2015,1,208,208,208,208,208,208,208,208,208,31,31,31,31,31,31,31,31,8,8,176,80,80,29,51,34,48,83,79,73,31,31,31,31
2016,1,216,216,216,216,216,216,216,216,216,31,31,31,31,31,31,31,31,8,8,184,80,80,26,51,37,52,87,85,80,31,31,31,31
2017,1,218,218,218,218,218,218,218,218,218,31,31,31,31,31,31,31,31,8,8,180,80,80,28,51,36,53,89,89,84,31,31,31,31
2018,1,218,218,218,218,218,218,218,218,218,31,31,31,31,31,31,31,31,9,9,174,80,80,27,51,34,60,89,90,82,31,31,31,31
2019,1,218,218,218,218,218,218,218,218,218,31,31,31,31,31,31,31,31,9,9,176,80,80,26,54,34,63,97,95,90,31,31,31,31
2020,1,218,218,218,218,218,218,218,218,218,31,31,31,31,31,31,31,31,9,9,183,81,81,28,55,34,76,103,102,93,31,31,31,31
2021,1,218,218,218,218,218,218,218,218,218,31,31,31,31,31,31,31,31,9,9,168,82,82,29,54,31,147,163,162,108,31,31,31,31
2022,218,218,218,218,218,218,218,218,218,218,32,32,32,32,32,32,32,32,218,218,174,218,218,31,55,31,214,216,216,165,32,32,32,32
2023,218,218,218,218,218,218,218,218,218,218,33,33,33,33,218,33,218,218,218,218,218,218,218,218,218,218,218,218,218,218,33,33,218,218
