anho,SH.STA.TRAF.P5,SP.URB.TOTL.IN.ZS,EN.POP.SLUM.UR.ZS,EN.ATM.PM25.MC.ZS,AG.LND.TOTL.UR.K2,EN.POP.EL5M.UR.ZS,EN.ATM.PM25.MC.M3,SP.URB.GROW,AG.LND.EL5M.UR.K2,EN.URB.LCTY.UR.ZS,EN.URB.MCTY.TL.ZS,EG.ELC.ACCS.UR.ZS
1960,218,3,218,218,218,218,218,218,218,66,97,218
1961,218,3,218,218,218,218,218,4,218,66,97,218
1962,218,3,218,218,218,218,218,4,218,66,97,218
1963,218,3,218,218,218,218,218,4,218,66,97,218
1964,218,3,218,218,218,218,218,4,218,66,97,218
1965,218,3,218,218,218,218,218,4,218,66,97,218
1966,218,3,218,218,218,218,218,4,218,66,97,218
1967,218,3,218,218,218,218,218,4,218,66,97,218
1968,218,3,218,218,218,218,218,4,218,66,97,218
1969,218,3,218,218,218,218,218,4,218,66,97,218
1970,218,3,218,218,218,218,218,4,218,66,97,218
1971,218,3,218,218,218,218,218,4,218,66,97,218
1972,218,3,218,218,218,218,218,4,218,66,97,218
1973,218,3,218,218,218,218,218,4,218,66,97,218
1974,218,3,218,218,218,218,218,4,218,66,97,218
1975,218,3,218,218,218,218,218,4,218,66,97,218
1976,218,3,218,218,218,218,218,4,218,66,97,218
1977,218,3,218,218,218,218,218,4,218,66,97,218
1978,218,3,218,218,218,218,218,4,218,66,97,218
1979,218,3,218,218,218,218,218,4,218,66,97,218
1980,218,3,218,218,218,218,218,4,218,66,97,218
1981,218,3,218,218,218,218,218,4,218,66,97,218
1982,218,3,218,218,218,218,218,4,218,66,97,218
1983,218,3,218,218,218,218,218,4,218,66,97,218
1984,218,3,218,218,218,218,218,4,218,66,97,218
1985,218,3,218,218,218,218,218,4,218,66,97,218
1986,218,3,218,218,218,218,218,4,218,66,97,218
1987,218,3,218,218,218,218,218,4,218,66,97,218
1988,218,3,218,218,218,218,218,4,218,66,97,218
1989,218,3,218,218,218,218,218,4,218,66,97,218
1990,218,3,218,24,3,3,18,4,3,65,97,120
1991,218,3,218,218,218,218,218,3,218,65,97,109
1992,218,3,218,218,218,218,218,3,218,65,97,94
1993,218,3,218,218,218,218,218,3,218,65,97,84
1994,218,3,218,218,218,218,218,3,218,65,97,79
1995,218,3,218,24,218,218,18,3,218,65,97,72
1996,218,3,218,218,218,218,218,3,218,65,97,63
1997,218,3,218,218,218,218,218,3,218,65,97,58
1998,218,3,218,218,218,218,218,3,218,65,97,54
1999,218,3,218,218,218,218,218,3,218,65,97,48
2000,35,3,125,24,3,3,18,3,3,65,97,7
2001,35,3,218,218,218,218,218,3,218,65,97,7
2002,35,3,117,218,218,218,218,3,218,65,97,7
2003,35,3,218,218,218,218,218,3,218,65,97,7
2004,35,3,114,218,218,218,218,3,218,65,97,7
2005,35,3,218,24,218,218,18,3,218,65,97,7
2006,35,3,112,218,218,218,218,3,218,65,97,7
2007,35,3,218,218,218,218,218,3,218,65,97,6
2008,35,3,113,218,218,218,218,3,218,65,97,6
2009,35,3,218,218,218,218,218,3,218,65,97,6
2010,35,3,114,24,218,218,18,3,218,65,97,6
2011,35,3,218,24,218,218,18,3,218,65,97,6
2012,35,3,115,24,218,218,18,3,218,65,97,6
2013,29,3,218,24,218,218,18,3,218,65,97,6
2014,35,3,117,24,218,218,18,3,218,65,97,6
2015,35,3,218,24,3,3,18,3,3,65,97,6
2016,32,3,120,24,218,218,18,3,218,65,97,6
2017,35,3,218,24,218,218,18,3,218,65,97,6
2018,35,3,126,218,218,218,18,3,218,65,97,6
2019,35,3,218,218,218,218,18,3,218,65,97,6
2020,218,3,138,218,218,218,218,3,218,65,97,5
2021,218,3,218,218,218,218,218,3,218,65,97,5
2022,218,3,218,218,218,218,218,4,218,65,97,218
2023,218,218,218,218,218,218,218,218,218,65,97,218
