anho,SE.PRM.TENR,SE.PRM.TENR.FE,SE.PRM.TENR.MA,SE.SEC.UNER.LO.ZS,SE.SEC.UNER.LO.FE.ZS,SE.SEC.UNER.LO.MA.ZS,SE.PRM.UNER.ZS,SE.PRM.UNER.FE.ZS,SE.PRM.UNER.MA.ZS,SE.PRM.UNER,SE.PRM.UNER.FE,SE.PRM.UNER.MA,SE.COM.DURS,SE.XPD.CPRM.ZS,SE.XPD.CSEC.ZS,SE.XPD.CTER.ZS,SE.XPD.CTOT.ZS,SE.TER.CUAT.DO.FE.ZS,SE.TER.CUAT.DO.MA.ZS,SE.TER.CUAT.DO.ZS,SE.TER.CUAT.BA.FE.ZS,SE.TER.CUAT.BA.MA.ZS,SE.TER.CUAT.BA.ZS,SE.TER.CUAT.MS.FE.ZS,SE.TER.CUAT.MS.MA.ZS,SE.TER.CUAT.MS.ZS,SE.SEC.CUAT.LO.FE.ZS,SE.SEC.CUAT.LO.MA.ZS,SE.SEC.CUAT.LO.ZS,SE.SEC.CUAT.PO.FE.ZS,SE.SEC.CUAT.PO.MA.ZS,SE.SEC.CUAT.PO.ZS,SE.PRM.CUAT.FE.ZS,SE.PRM.CUAT.MA.ZS,SE.PRM.CUAT.ZS,SE.TER.CUAT.ST.FE.ZS,SE.TER.CUAT.ST.MA.ZS,SE.TER.CUAT.ST.ZS,SE.SEC.CUAT.UP.FE.ZS,SE.SEC.CUAT.UP.MA.ZS,SE.SEC.CUAT.UP.ZS,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GD.ZS,SE.XPD.TOTL.GB.ZS,SE.XPD.PRIM.PC.ZS,SE.XPD.SECO.PC.ZS,SE.XPD.TERT.PC.ZS,SE.PRM.GINT.FE.ZS,SE.PRM.GINT.MA.ZS,SE.PRM.GINT.ZS,SL.TLF.TOTL.FE.ZS,SL.TLF.TOTL.IN,SE.LPV.PRIM.FE,SE.LPV.PRIM.MA,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.MA.ZS,SE.ADT.LITR.ZS,SE.ADT.1524.LT.FM.ZS,SE.ADT.1524.LT.FE.ZS,SE.ADT.1524.LT.MA.ZS,SE.ADT.1524.LT.ZS,SE.SEC.CMPT.LO.FE.ZS,SE.SEC.CMPT.LO.MA.ZS,SE.SEC.CMPT.LO.ZS,SE.SEC.AGES,SE.PRM.NINT.ZS,SE.PRM.NINT.FE.ZS,SE.PRM.NINT.MA.ZS,SH.DTH.1014,SH.DTH.1519,SH.DTH.2024,SH.DTH.0509,SE.PRM.OENR.ZS,SE.PRM.OENR.FE.ZS,SE.PRM.OENR.MA.ZS,SE.PRM.PRS5.FE.ZS,SE.PRM.PRS5.MA.ZS,SE.PRM.PRS5.ZS,SE.PRM.PRSL.FE.ZS,SE.PRM.PRSL.MA.ZS,SE.PRM.PRSL.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,SE.PRE.DURS,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CMPT.ZS,SE.PRM.DURS,SE.PRM.ENRL,SE.PRM.ENRL.FE.ZS,SE.PRM.TCHR,SE.PRM.TCHR.FE.ZS,SE.PRM.AGES,SH.DYN.1014,SH.DYN.1519,SH.DYN.0509,SH.DYN.2024,SE.SEC.PROG.ZS,SE.SEC.PROG.FE.ZS,SE.SEC.PROG.MA.ZS,SE.SEC.ENRL.LO.TC.ZS,SE.PRE.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,SE.SEC.ENRL.TC.ZS,SE.TER.ENRL.TC.ZS,SE.SEC.ENRL.UP.TC.ZS,SE.PRM.REPT.FE.ZS,SE.PRM.REPT.MA.ZS,SE.PRM.REPT.ZS,SE.PRE.ENRR,SE.PRE.ENRR.FE,SE.PRE.ENRR.MA,SE.PRM.ENRR,SE.PRM.NENR,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.PRM.ENRR.FE,SE.PRM.NENR.FE,SE.PRM.ENRR.MA,SE.PRM.NENR.MA,SE.PRM.PRIV.ZS,SE.SEC.ENRR,SE.SEC.NENR,SE.ENR.SECO.FM.ZS,SE.SEC.ENRR.FE,SE.SEC.NENR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR.MA,SE.SEC.PRIV.ZS,SE.TER.ENRR,SE.ENR.TERT.FM.ZS,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SE.SEC.DURS,SE.SEC.ENRL.GC,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL,SE.SEC.ENRL.FE.ZS,SE.SEC.TCHR,SE.SEC.TCHR.FE.ZS,SE.SEC.TCHR.FE,SE.SEC.ENRL.VO,SE.SEC.ENRL.VO.FE.ZS,SE.TER.TCHR.FE.ZS,SE.SEC.TCAQ.LO.ZS,SE.SEC.TCAQ.LO.FE.ZS,SE.SEC.TCAQ.LO.MA.ZS,SE.PRE.TCAQ.ZS,SE.PRE.TCAQ.FE.ZS,SE.PRE.TCAQ.MA.ZS,SE.PRM.TCAQ.ZS,SE.PRM.TCAQ.FE.ZS,SE.PRM.TCAQ.MA.ZS,SE.SEC.TCAQ.ZS,SE.SEC.TCAQ.FE.ZS,SE.SEC.TCAQ.MA.ZS,SE.SEC.TCAQ.UP.ZS,SE.SEC.TCAQ.UP.FE.ZS,SE.SEC.TCAQ.UP.MA.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.ZS
1960,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1961,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1962,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1963,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1964,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1965,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1966,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1967,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1968,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1969,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,1,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1970,250,252,252,262,263,263,249,252,252,249,252,252,266,266,266,266,266,266,266,266,263,263,263,266,266,266,227,227,226,241,241,240,245,245,245,247,247,247,248,248,247,236,236,232,237,266,266,266,265,235,235,220,266,266,266,266,263,263,263,263,263,263,263,252,252,238,66,266,266,266,266,266,266,266,242,244,244,255,255,249,240,240,214,1,1,265,231,231,218,18,171,181,185,204,65,266,266,266,266,245,256,256,266,239,187,208,243,266,229,229,214,215,227,227,173,225,182,192,180,228,180,228,198,176,258,190,188,259,188,259,266,184,197,195,195,19,172,179,174,188,206,230,230,177,190,245,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1971,217,225,225,245,250,250,217,225,225,217,225,225,266,266,266,266,266,266,266,266,266,266,266,266,266,266,249,249,248,254,254,254,256,256,256,259,259,258,255,255,254,215,211,202,215,266,266,266,266,196,196,166,266,266,266,266,266,266,266,266,266,265,266,221,221,192,66,266,266,266,266,266,266,266,212,218,218,228,228,210,196,196,170,1,1,265,195,195,165,18,55,84,96,139,65,266,266,266,266,199,228,225,266,192,99,132,196,266,189,189,165,150,173,173,62,192,88,110,86,200,86,200,123,74,233,102,100,237,100,237,266,104,136,131,131,19,66,88,67,98,129,182,181,69,104,207,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1972,213,223,223,242,247,248,213,223,223,213,223,223,266,266,266,266,266,266,266,266,266,266,266,266,266,266,260,260,260,265,265,265,262,262,262,262,262,262,263,263,263,216,216,205,219,264,266,266,266,187,187,164,266,266,266,266,263,263,263,263,263,263,263,213,213,188,67,266,266,266,266,266,266,266,210,217,217,227,227,213,196,196,171,1,1,265,182,183,159,19,56,84,98,145,66,266,266,266,266,198,227,223,266,193,101,128,195,266,180,180,160,152,176,176,63,182,88,114,86,192,86,192,118,79,233,106,103,237,103,237,266,115,136,135,135,20,62,82,72,101,125,170,169,70,109,205,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1973,213,223,223,246,249,249,213,224,224,213,224,224,266,266,266,266,266,266,266,266,266,266,266,266,266,266,262,262,262,265,265,265,264,264,264,263,263,263,263,263,263,216,214,202,213,264,266,266,266,186,186,165,266,266,266,266,264,264,264,263,263,263,263,209,211,186,67,266,266,266,266,266,266,266,209,217,217,222,222,206,190,190,166,1,1,266,181,181,160,19,59,84,110,141,66,266,266,266,266,196,222,217,266,180,113,142,196,266,183,183,162,138,173,173,66,181,87,116,86,191,86,191,126,85,237,111,110,240,110,240,266,114,137,137,137,20,63,81,76,106,139,175,175,76,115,196,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1974,217,227,227,243,247,247,217,224,224,217,224,224,266,266,266,266,266,266,266,266,266,266,266,266,266,266,260,260,260,262,262,262,263,263,263,264,264,264,261,261,261,216,216,202,217,264,266,266,266,182,182,160,266,266,266,266,260,260,260,260,260,260,260,201,204,181,67,266,266,266,266,266,266,266,212,217,217,228,228,206,194,194,168,1,1,266,181,181,155,19,60,85,113,136,66,266,266,266,266,194,224,221,266,179,116,143,190,266,179,179,156,133,171,171,67,184,88,122,87,195,87,195,128,92,231,113,112,236,112,236,266,119,139,139,139,20,67,84,84,107,139,176,176,84,120,189,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1975,220,231,231,248,250,250,220,227,227,220,227,227,265,266,266,266,266,266,266,266,265,265,265,266,266,266,256,256,256,259,259,259,259,259,259,260,260,260,261,261,261,212,211,194,209,264,266,266,266,181,181,159,266,266,266,266,246,245,246,245,245,245,245,208,209,185,67,266,266,266,266,266,266,266,214,218,218,224,224,202,190,190,165,1,1,266,177,177,153,19,64,90,104,141,66,266,266,266,266,190,220,220,266,176,108,144,194,266,176,176,153,133,167,167,71,184,92,123,92,196,92,196,133,95,236,119,119,240,119,240,266,114,138,138,138,20,76,92,87,114,139,174,174,87,122,193,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1976,213,227,227,244,248,248,213,221,221,213,221,221,265,266,266,266,266,266,266,266,266,266,266,266,266,266,256,256,256,261,261,261,260,260,260,260,260,260,260,260,260,217,216,201,215,264,266,266,266,172,172,149,266,266,266,266,238,238,238,238,238,238,238,203,203,175,67,266,266,266,266,266,266,266,212,216,216,220,220,202,185,185,160,1,1,265,167,167,142,19,57,80,96,135,66,266,266,266,266,185,211,211,266,173,99,134,196,266,169,169,145,127,163,163,64,177,83,116,83,192,83,192,151,83,230,111,111,236,111,236,266,115,141,140,140,20,61,82,75,107,130,164,164,75,115,198,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1977,207,224,224,240,247,247,207,221,221,207,221,221,265,266,266,266,266,266,266,266,266,266,266,266,266,266,264,264,263,265,265,264,265,265,265,265,265,265,264,264,264,219,217,206,213,264,266,266,266,171,171,148,266,266,266,266,245,245,245,245,245,245,245,198,198,171,67,266,266,266,266,266,266,266,205,213,213,217,218,198,185,186,160,1,1,266,165,165,142,19,60,82,104,140,66,266,266,266,266,184,212,212,266,171,107,140,206,266,167,167,143,133,163,163,67,171,85,114,85,189,85,189,189,90,223,111,111,228,111,227,266,113,135,135,135,20,65,84,82,106,136,165,165,78,113,199,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1978,202,211,211,241,247,247,202,211,211,202,211,211,265,266,266,266,266,266,266,266,266,266,266,266,266,266,263,263,263,264,264,264,264,264,264,265,265,265,266,266,266,223,221,207,218,264,266,266,266,170,170,149,266,266,266,266,243,243,243,243,243,243,243,195,195,175,67,266,266,266,266,266,266,266,200,205,205,216,216,205,185,185,167,1,1,265,165,165,143,19,58,78,108,139,66,266,266,266,266,186,215,215,266,171,111,142,202,266,166,166,144,125,162,162,64,166,82,120,81,176,81,176,211,92,224,117,116,229,116,229,266,114,140,140,140,20,68,84,85,112,136,163,163,84,117,198,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1979,202,213,213,241,247,247,203,209,209,203,209,209,265,266,266,266,266,266,266,266,266,266,266,266,266,266,260,260,260,262,262,262,263,263,263,263,263,263,262,262,262,208,208,198,207,264,266,266,266,173,173,154,266,266,266,266,238,237,238,238,238,238,238,200,200,175,67,266,266,266,266,266,266,266,200,206,206,222,222,207,189,189,167,1,1,266,169,169,149,19,64,85,108,141,66,266,266,266,266,186,215,215,266,167,111,144,192,266,170,170,150,127,165,165,69,166,89,122,88,178,88,178,213,94,222,119,119,228,119,228,266,107,128,128,128,20,72,88,87,114,137,165,165,86,119,192,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
