anho,EG.ELC.ACCS.ZS,EG.ELC.ACCS.RU.ZS,EG.ELC.ACCS.UR.ZS,NY.ADJ.DNGY.GN.ZS,NY.ADJ.DNGY.CD,NY.ADJ.DMIN.GN.ZS,NY.ADJ.DMIN.CD,NY.ADJ.DRES.GN.ZS,EG.USE.COMM.CL.ZS,EN.ATM.CO2E.GF.ZS,EN.ATM.CO2E.LF.KT,EG.USE.CRNW.ZS,EG.USE.ELEC.KH.PC,EG.ELC.LOSS.ZS,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.FOSL.ZS,EG.ELC.RNWX.ZS,EG.ELC.RNWX.KH,EG.IMP.CONS.ZS,EG.EGY.PRIM.PP.KD,EN.ATM.METH.EG.ZS,EG.USE.PCAP.KG.OE,EG.USE.COMM.GD.PP.KD,IC.FRM.BNKS.ZS,EG.USE.COMM.FO.ZS,TX.VAL.FUEL.ZS.UN,TM.VAL.FUEL.ZS.UN,EG.GDP.PUSE.KO.PP,EG.GDP.PUSE.KO.PP.KD,IE.PPI.ENGY.CD,EN.ATM.METH.EG.KT.CE,NY.GDP.MINR.RT.ZS,NY.GDP.NGAS.RT.ZS,EN.ATM.NOXE.EG.ZS,EN.ATM.NOXE.EG.KT.CE,NY.GDP.PETR.RT.ZS,TX.VAL.MMTL.ZS.UN,TM.VAL.MMTL.ZS.UN,EP.PMP.DESL.CD,EP.PMP.SGAS.CD,EG.ELC.RNEW.ZS,EG.FEC.RNEW.ZS,IC.ELC.TIME,IC.ELC.DURS,NY.GDP.TOTL.RT.ZS,IC.FRM.OUTG.ZS
1960,266,266,266,266,266,266,266,266,220,110,64,220,235,220,235,235,235,235,235,235,235,220,220,266,266,235,266,266,220,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1961,266,266,266,266,266,266,266,266,220,109,63,220,235,220,235,235,235,235,235,235,235,220,220,266,266,235,266,266,221,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1962,266,266,266,266,266,266,266,266,220,107,61,220,235,220,235,235,235,235,235,235,235,220,220,266,266,235,266,266,222,185,179,266,266,266,266,266,266,266,266,266,181,179,266,266,266,266,266,266,266,266
1963,266,266,266,266,266,266,266,266,220,106,60,220,235,220,235,235,235,235,235,235,235,220,220,266,266,235,266,266,221,179,175,266,266,266,266,266,266,266,266,266,174,175,266,266,266,266,266,266,266,266
1964,266,266,266,266,266,266,266,266,220,100,54,220,235,220,235,235,235,235,235,235,235,220,220,266,266,235,266,266,221,181,173,266,266,266,266,266,266,266,266,266,175,173,266,266,266,266,266,266,266,266
1965,266,266,266,266,266,266,266,266,219,100,54,219,234,219,234,234,234,234,234,234,234,219,219,266,266,234,266,266,219,172,166,266,266,266,266,266,266,266,266,266,169,166,266,266,266,266,266,266,266,266
1966,266,266,266,266,266,266,266,266,219,100,54,219,234,219,234,234,234,234,234,234,234,219,219,266,266,234,266,266,220,171,163,266,266,266,266,266,266,266,266,266,163,163,266,266,266,266,266,266,266,266
1967,266,266,266,266,266,266,266,266,219,100,54,219,234,219,234,234,234,234,234,234,234,219,219,266,266,234,266,266,220,166,161,266,266,266,266,266,266,266,266,266,163,161,266,266,266,266,266,266,266,266
1968,266,266,266,266,266,266,266,266,219,100,54,219,234,219,234,234,234,234,234,234,234,219,219,266,266,234,266,266,221,161,159,266,266,266,266,266,266,266,266,266,160,159,266,266,266,266,266,266,266,266
1969,266,266,266,266,266,266,266,266,219,100,54,219,234,219,234,234,234,234,234,234,234,219,219,266,266,234,266,266,221,161,161,266,266,266,266,266,266,266,266,266,161,161,266,266,266,266,266,266,266,266
1970,266,266,266,185,181,103,49,186,219,99,53,219,234,219,234,234,234,234,234,234,234,219,219,266,63,234,266,266,220,148,141,266,266,266,266,93,184,62,266,189,142,141,266,266,266,266,266,266,93,266
1971,266,266,266,139,135,103,49,148,107,98,52,107,115,108,112,112,112,112,112,112,112,107,107,266,63,115,266,266,111,147,139,266,266,266,266,91,135,62,266,131,138,139,266,266,266,266,266,266,91,266
1972,266,266,266,139,135,102,49,148,107,97,51,107,115,108,112,112,112,112,112,112,112,107,107,266,63,115,266,266,113,139,133,266,266,266,266,91,134,62,266,130,133,133,266,266,266,266,266,266,91,266
1973,266,266,266,137,135,100,49,146,107,97,51,107,115,107,111,111,111,111,111,111,111,107,107,266,63,115,266,266,113,140,133,266,266,266,266,91,134,62,266,130,131,133,266,266,266,266,266,266,91,266
1974,266,266,266,137,135,100,49,146,107,97,51,107,115,107,111,111,111,111,111,111,111,107,107,266,63,115,266,266,110,127,121,266,266,266,266,90,133,62,266,129,119,122,266,266,266,266,266,266,90,266
1975,266,266,266,137,135,102,49,146,107,97,51,107,115,107,111,111,111,111,111,111,111,107,107,266,63,115,266,266,110,126,116,266,266,266,266,88,131,62,266,127,120,116,266,266,266,266,266,266,88,266
1976,266,266,266,134,135,99,49,142,107,97,51,107,115,107,111,111,111,111,111,111,111,107,107,266,63,115,266,266,110,130,115,266,266,266,266,87,130,62,266,126,122,115,266,266,266,266,266,266,87,266
1977,266,266,266,134,135,95,49,142,107,97,51,107,115,108,111,111,111,111,111,111,111,107,107,266,63,115,266,266,111,135,116,266,266,266,266,84,129,62,266,126,126,116,266,266,266,266,266,266,84,266
1978,266,266,266,134,135,95,49,143,107,97,51,107,115,108,111,111,111,111,111,111,111,107,107,266,63,115,266,266,111,128,119,266,266,266,266,85,129,62,266,126,124,120,266,266,266,266,266,266,85,266
1979,266,266,266,135,138,94,49,142,107,97,51,107,115,108,111,111,111,111,111,111,111,107,107,266,63,115,266,266,110,136,123,266,266,266,266,84,133,62,266,130,129,123,266,266,266,266,266,266,87,266
1980,266,266,266,87,73,83,49,98,107,97,51,107,115,108,111,111,111,111,111,111,111,107,107,266,63,115,266,266,110,150,130,266,266,266,266,72,79,62,266,77,139,131,266,266,266,266,266,266,73,266
1981,266,266,266,84,73,80,49,96,106,97,51,106,114,107,110,110,110,110,110,110,110,106,106,266,63,114,266,266,111,145,133,266,266,266,266,69,77,62,266,75,140,133,266,266,266,266,266,266,70,266
1982,266,266,266,83,73,79,49,96,106,97,51,106,114,107,110,110,110,110,110,110,110,106,106,266,63,114,266,266,112,156,145,266,266,266,266,68,76,62,266,74,152,145,266,266,266,266,266,266,69,266
1983,266,266,266,82,73,78,49,96,106,97,51,106,114,107,110,110,110,110,110,110,110,106,106,266,63,114,266,266,111,153,137,266,266,266,266,67,75,62,266,74,151,137,266,266,266,266,266,266,68,266
1984,266,266,266,81,73,77,49,94,106,97,51,106,114,106,110,110,110,110,110,110,110,106,106,266,63,114,266,266,109,152,138,266,266,261,266,66,74,62,266,72,149,138,266,266,266,266,266,266,67,266
1985,266,266,266,79,73,75,49,92,105,97,51,105,113,106,109,109,109,109,109,109,109,105,105,266,63,113,266,266,110,154,137,266,266,265,266,64,72,62,266,70,152,137,266,266,266,266,266,266,65,266
1986,266,266,266,77,72,74,49,89,105,97,51,105,113,106,109,109,109,109,109,109,109,105,105,266,63,113,266,266,110,153,143,266,266,261,266,62,70,62,266,69,151,143,266,266,266,266,266,266,63,266
1987,266,266,266,76,71,74,49,88,105,97,51,105,113,106,109,109,109,109,109,109,109,105,105,266,63,113,266,266,113,155,144,266,266,265,266,58,65,62,266,64,151,144,266,266,266,266,266,266,58,266
1988,266,266,266,75,70,73,49,90,105,97,51,105,113,106,109,109,109,109,109,109,109,105,105,266,63,113,266,266,108,232,230,266,266,265,266,55,62,62,266,61,229,230,266,266,266,266,266,266,55,266
1989,266,266,266,70,70,68,49,87,105,97,51,105,113,106,109,109,109,109,109,109,109,105,105,266,63,113,266,266,109,216,211,266,266,261,266,55,62,62,266,61,212,211,266,266,266,266,266,266,55,266
1990,158,166,158,62,65,61,49,81,86,67,44,86,90,87,88,88,88,88,88,88,88,86,85,266,31,59,87,266,64,199,198,86,87,262,27,40,47,35,27,48,196,198,266,266,1,12,266,266,40,266
1991,148,155,147,62,66,60,49,83,85,61,42,85,89,86,87,87,87,87,87,87,87,85,84,266,29,89,110,266,92,185,186,108,110,261,27,40,48,33,27,48,184,186,208,208,1,11,266,266,41,266
1992,131,140,129,59,66,57,49,79,84,33,21,84,88,85,86,86,86,86,86,86,86,84,83,266,29,88,108,266,88,161,157,105,108,248,27,39,47,33,27,47,160,157,202,202,1,10,266,266,41,266
1993,116,126,113,53,65,51,49,72,84,33,21,84,88,85,86,86,86,86,86,86,86,84,83,266,29,88,108,266,90,147,146,105,108,247,27,37,44,33,27,44,147,146,266,266,1,10,266,266,38,266
1994,110,119,108,50,64,48,49,68,84,32,20,84,88,84,86,86,86,86,86,86,86,84,83,266,28,88,107,266,91,138,138,104,107,229,27,35,42,33,27,43,135,138,266,266,1,10,266,266,35,266
1995,102,111,101,42,64,38,49,58,83,32,20,83,87,84,85,85,85,85,85,85,85,83,82,266,28,87,97,266,85,128,119,94,97,224,27,26,33,33,27,35,124,119,145,143,1,9,266,266,26,266
