anho,IS.AIR.GOOD.MT.K1,IS.AIR.PSGR,IS.AIR.DPRT,ER.H2O.FWAG.ZS,ER.H2O.FWDM.ZS,ER.H2O.FWIN.ZS,ER.H2O.FWTL.ZS,ER.H2O.FWTL.K3,IS.SHP.GOOD.TU,EG.USE.ELEC.KH.PC,EG.ELC.LOSS.ZS,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,IT.NET.BBND,IT.NET.BBND.P2,IT.MLT.MAIN,IT.MLT.MAIN.P2,TX.VAL.ICTG.ZS.UN,TM.VAL.ICTG.ZS.UN,BX.GSR.CCIS.ZS,BX.GSR.CCIS.CD,IT.NET.USER.ZS,IP.IDS.NRCT,IP.IDS.RSCT,IE.PPI.ICTI.CD,IE.PPI.ENGY.CD,IE.PPI.TRAN.CD,IE.PPI.WATR.CD,IS.SHP.GCNW.XQ,IT.CEL.SETS,IT.CEL.SETS.P2,IE.PPN.ICTI.CD,IE.PPN.ENGY.CD,IE.PPN.TRAN.CD,IE.PPN.WATR.CD,IS.RRS.TOTL.KM,IS.RRS.GOOD.MT.K6,IS.RRS.PASG.KM,ER.H2O.INTR.PC,ER.H2O.INTR.K3,IT.NET.SECR,IT.NET.SECR.P6,IP.TMK.NRCT,IP.TMK.RSCT
1960,266,266,266,266,266,266,266,266,266,235,220,235,235,235,235,235,266,266,129,129,266,266,265,265,259,266,266,266,266,266,266,266,18,18,266,266,266,266,266,266,266,266,266,266,266,266,266
1961,266,266,266,266,266,266,266,266,266,235,220,235,235,235,235,235,266,266,129,129,266,266,265,265,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,80,82,266,266,266,266
1962,266,266,266,266,266,266,265,265,266,235,220,235,235,235,235,235,266,266,129,129,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,65,67,266,266,266,266
1963,266,266,266,266,266,266,265,265,266,235,220,235,235,235,235,235,266,266,129,129,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,65,67,266,266,266,266
1964,266,266,266,266,266,266,265,265,266,235,220,235,235,235,235,235,266,266,129,129,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,65,67,266,266,266,266
1965,266,266,266,265,265,265,264,264,266,234,219,234,234,234,234,234,266,266,129,131,266,266,265,265,259,266,266,266,266,266,266,266,18,18,266,266,266,266,266,266,266,65,67,266,266,266,266
1966,266,266,266,265,265,265,264,264,266,234,219,234,234,234,234,234,266,266,98,98,266,266,265,265,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,65,67,266,266,266,266
1967,266,266,266,265,265,265,264,264,266,234,219,234,234,234,234,234,266,266,98,98,266,266,265,265,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,65,67,266,266,266,266
1968,266,266,266,265,265,265,264,264,266,234,219,234,234,234,234,234,266,266,98,98,266,266,265,265,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,65,67,266,266,266,266
1969,266,266,266,265,265,265,264,264,266,234,219,234,234,234,234,234,266,266,98,98,266,266,265,265,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,65,67,266,266,266,266
1970,125,119,119,252,254,254,250,250,266,234,219,234,234,234,234,234,266,266,89,92,266,266,262,263,259,266,266,266,266,266,266,266,18,18,266,266,266,266,266,266,266,65,67,266,266,266,266
1971,125,117,117,252,254,254,250,250,266,115,108,112,112,112,112,112,266,266,76,76,266,266,262,263,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,65,67,266,266,266,266
1972,124,119,119,252,254,254,250,250,266,115,108,112,112,112,112,112,266,266,76,76,266,266,261,262,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,65,67,266,266,266,266
1973,120,115,115,252,254,254,250,250,266,115,107,111,111,111,111,111,266,266,76,76,266,266,262,263,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,65,67,266,266,266,266
1974,108,101,101,251,253,253,249,249,266,115,107,111,111,111,111,111,266,266,76,76,266,266,262,263,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,65,67,266,266,266,266
