anho,SI.SPR.PC40.ZG,SI.SPR.PCAP.ZG,SI.POV.GINI,SI.DST.04TH.20,SI.DST.10TH.10,SI.DST.05TH.20,SI.DST.FRST.10,SI.DST.FRST.20,SI.DST.02ND.20,SI.DST.03RD.20,EN.POP.SLUM.UR.ZS,SI.POV.GAPS,SI.POV.LMIC.GP,SI.POV.UMIC.GP,SI.POV.DDAY,SI.POV.LMIC,SI.POV.UMIC,SI.POV.NAHC,SI.DST.50MD,SI.SPR.PC40,SI.SPR.PCAP
1960,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1961,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1962,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
1963,266,266,265,265,265,265,265,265,265,265,266,265,265,265,265,265,265,266,265,266,266
1964,266,266,265,265,265,265,265,265,265,265,266,265,265,265,265,265,265,266,265,266,266
1965,266,266,265,265,265,265,265,265,265,265,266,265,265,265,265,265,265,266,265,266,266
1966,266,266,265,265,265,265,265,265,265,265,266,265,265,265,265,265,265,266,265,266,266
1967,266,266,265,265,265,265,265,265,265,265,266,265,265,265,265,265,265,266,265,266,266
1968,266,266,264,264,264,264,264,264,264,264,266,264,264,264,264,264,264,266,264,266,266
1969,266,266,264,264,264,264,264,264,264,264,266,264,264,264,264,264,264,266,264,266,266
1970,266,266,263,263,263,263,263,263,263,263,266,263,263,263,263,263,263,266,263,266,266
1971,266,266,263,263,263,263,263,263,263,263,266,263,263,263,263,263,263,266,263,266,266
1972,266,266,264,264,264,264,264,264,264,264,266,264,264,264,264,264,264,266,264,266,266
1973,266,266,263,263,263,263,263,263,263,263,266,263,263,263,263,263,263,266,263,266,266
1974,266,266,264,264,264,264,264,264,264,264,266,264,264,264,264,264,264,266,264,266,266
1975,266,266,261,261,261,261,261,261,261,261,266,261,261,261,261,261,261,266,261,266,266
1976,266,266,264,264,264,264,264,264,264,264,266,264,264,264,264,264,264,266,264,266,266
1977,266,266,261,261,261,261,261,261,261,261,266,261,261,261,261,261,261,266,261,266,266
1978,266,266,263,263,263,263,263,263,263,263,266,263,263,263,263,263,263,266,263,266,266
1979,266,266,258,258,258,258,258,258,258,258,266,258,258,258,258,258,258,266,258,266,266
1980,266,266,259,259,259,259,259,259,259,259,266,259,259,259,259,259,259,266,260,266,266
1981,266,266,255,255,255,255,255,255,255,255,266,247,251,251,247,247,247,266,256,266,266
1982,266,266,260,260,260,260,260,260,260,260,266,252,256,256,252,252,252,266,260,266,266
1983,266,266,259,259,259,259,259,259,259,259,266,251,255,255,251,251,251,266,259,266,266
1984,266,266,257,257,257,257,257,257,257,257,266,249,249,249,249,249,249,266,257,266,266
1985,266,266,252,252,252,252,252,252,252,252,266,243,243,243,243,243,243,266,252,266,266
1986,266,266,250,250,250,250,250,250,250,250,266,241,241,241,241,241,241,266,250,266,266
1987,266,266,244,244,244,244,244,244,244,244,266,235,235,235,235,235,235,266,245,266,266
1988,266,266,252,252,252,252,252,252,252,252,266,243,243,243,243,243,243,266,253,266,266
1989,266,266,248,248,248,248,248,248,248,248,266,236,236,236,236,236,236,266,249,266,266
1990,266,266,243,243,243,243,243,243,243,243,266,231,231,231,231,231,231,266,244,266,266
1991,266,266,246,246,246,246,246,246,246,246,266,233,233,234,233,233,234,266,246,266,266
1992,266,266,230,230,230,230,230,230,230,230,266,217,217,217,217,217,217,266,231,266,266
1993,266,266,240,240,240,240,240,240,240,240,266,227,227,227,227,227,227,266,240,266,266
1994,266,266,241,241,241,241,241,241,241,241,266,228,228,228,228,228,228,266,241,266,266
1995,266,266,227,227,227,227,227,227,227,227,266,213,213,213,213,213,213,266,229,266,266
1996,266,266,229,229,229,229,229,229,229,229,266,215,215,215,215,215,215,266,230,266,266
1997,266,266,235,235,235,235,235,235,235,235,266,223,223,223,223,223,223,266,236,266,266
1998,266,266,223,223,223,223,223,223,223,223,266,210,210,210,210,210,210,266,224,266,266
1999,266,266,230,230,230,230,230,230,230,230,266,218,218,218,218,218,218,266,230,266,266
2000,266,266,216,216,216,216,216,216,216,216,154,205,205,205,205,205,205,250,217,266,266
2001,266,266,226,226,226,226,226,226,226,226,266,214,214,214,214,214,214,251,227,266,266
2002,266,266,208,208,208,208,208,208,208,208,144,195,195,195,195,195,195,249,209,266,266
2003,266,266,206,206,206,206,206,206,206,206,266,192,192,192,192,192,192,248,207,265,265
2004,266,266,196,196,196,196,196,196,196,196,140,182,182,182,182,182,182,236,197,264,264
2005,266,266,190,190,190,190,190,190,190,190,266,176,176,176,176,176,176,224,191,265,265
2006,266,266,189,189,189,189,189,189,189,189,137,175,175,175,175,175,175,223,189,265,265
2007,266,266,197,197,197,197,197,197,197,197,266,183,183,183,183,183,183,223,197,263,263
2008,266,266,192,192,192,192,192,192,192,192,135,178,178,178,178,178,178,227,192,264,264
2009,266,266,187,187,187,187,187,187,187,187,266,173,173,173,173,173,173,216,187,261,261
2010,264,264,183,183,183,183,183,183,183,183,136,169,169,169,169,169,169,215,183,260,260
2011,264,264,187,187,187,187,187,187,187,187,266,173,173,173,173,173,173,212,187,261,261
2012,261,261,181,181,181,181,181,181,181,181,137,167,167,167,167,167,167,212,181,254,254
2013,265,265,190,190,190,190,190,190,190,190,266,176,176,176,176,176,176,216,190,260,260
2014,263,263,184,184,184,184,184,184,184,184,139,170,170,170,170,170,170,215,184,255,255
2015,262,262,181,181,181,181,181,181,181,181,266,167,167,167,167,167,167,207,181,247,247
2016,260,260,185,185,185,185,185,185,185,185,142,171,171,171,171,171,171,208,185,218,218
2017,261,261,190,190,190,190,190,190,190,190,266,176,176,176,176,176,176,212,190,248,248
