anho,BM.GSR.ROYL.CD,BX.GSR.ROYL.CD,TX.VAL.TECH.MF.ZS,TX.VAL.TECH.CD,IP.PAT.NRES,IP.PAT.RESD,GB.XPD.RSDV.GD.ZS,SP.POP.SCIE.RD.P6,IP.JRN.ARTC.SC,SP.POP.TECH.RD.P6
1960,250,266,266,266,266,266,266,266,266,266
1961,250,266,266,266,266,266,266,266,266,266
1962,254,254,266,266,266,266,266,266,266,266
1963,254,254,266,266,266,266,266,266,266,266
1964,254,254,266,266,266,266,266,266,266,266
1965,250,254,266,266,266,266,266,266,266,266
1966,250,254,266,266,266,266,266,266,266,266
1967,245,247,266,266,266,266,266,266,266,266
1968,240,242,266,266,266,266,266,266,266,266
1969,240,242,266,266,266,266,266,266,266,266
1970,235,237,266,266,266,266,266,266,266,266
1971,234,236,266,266,266,266,266,266,266,266
1972,234,236,266,266,266,266,266,266,266,266
1973,231,236,266,266,266,266,266,266,266,266
1974,220,223,266,266,266,266,266,266,266,266
1975,205,214,266,266,266,266,266,266,266,266
1976,189,203,266,266,266,266,266,266,266,266
1977,179,200,266,266,266,266,266,266,266,266
1978,179,205,266,266,266,266,266,266,266,266
1979,178,201,266,266,266,266,266,266,266,266
1980,178,201,266,266,174,188,266,266,266,266
1981,176,194,266,266,183,194,266,266,266,266
1982,176,195,266,266,183,195,266,266,266,266
1983,173,195,266,266,178,189,266,266,266,266
1984,175,195,266,266,176,190,266,266,266,266
1985,174,193,266,266,172,190,266,266,266,266
1986,169,189,266,266,182,195,266,266,266,266
1987,168,190,266,266,187,197,266,266,266,266
1988,167,187,266,266,185,191,266,266,266,266
1989,166,187,266,266,181,191,266,266,266,266
1990,157,178,266,266,180,190,266,266,266,266
1991,159,176,266,266,176,182,266,266,266,266
1992,157,176,266,266,165,176,266,266,266,266
1993,154,168,266,266,161,162,266,266,266,266
1994,141,161,266,266,161,166,266,266,266,266
1995,142,164,266,266,154,163,266,266,266,266
1996,130,160,266,266,154,158,198,211,21,231
1997,127,157,266,266,166,167,181,208,21,232
1998,119,149,266,266,169,168,184,202,21,226
1999,117,144,266,266,159,162,181,204,21,230
2000,111,136,266,266,158,160,167,195,21,228
2001,110,133,266,266,156,166,158,193,21,227
2002,101,130,266,266,157,161,145,188,21,221
2003,99,128,266,266,156,160,146,184,21,216
2004,96,132,266,266,152,160,145,185,21,212
2005,83,122,266,266,151,155,145,171,21,201
2006,80,111,266,266,154,158,155,184,21,204
2007,77,106,172,181,150,155,137,173,21,191
2008,70,103,132,150,152,157,143,171,21,196
2009,71,105,103,114,154,162,144,174,21,195
2010,73,100,96,105,150,155,146,161,21,189
2011,73,100,88,99,139,148,147,172,21,189
2012,71,99,83,91,138,149,153,176,21,204
2013,71,100,76,84,131,139,144,170,21,197
2014,64,97,72,75,132,139,150,174,21,203
2015,65,94,59,62,132,138,136,150,21,184
2016,65,90,58,62,123,132,150,173,21,205
2017,70,94,57,63,122,133,143,168,21,199
2018,67,92,62,66,124,128,147,167,21,229
2019,66,87,64,71,128,140,148,174,21,266
2020,65,87,68,75,122,135,153,172,21,266
2021,70,94,69,77,144,152,181,194,266,266
2022,82,101,91,110,266,266,266,266,266,266
2023,266,266,266,266,266,266,266,266,266,266
