anho,SP.ADO.TFRT,SL.TLF.0714.FE.ZS,SL.TLF.0714.MA.ZS,SL.TLF.0714.SW.ZS,SL.TLF.0714.SW.FE.ZS,SL.TLF.0714.SW.MA.ZS,SL.TLF.0714.ZS,SL.TLF.0714.WK.ZS,SL.TLF.0714.WK.FE.ZS,SL.TLF.0714.WK.MA.ZS,SL.TLF.ACTI.1524.FE.ZS,SL.TLF.ACTI.1524.MA.ZS,SL.TLF.ACTI.1524.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.ACTI.FE.ZS,SL.TLF.CACT.MA.ZS,SL.TLF.ACTI.MA.ZS,SL.TLF.ACTI.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SE.ADT.1524.LT.FM.ZS,SH.HIV.1524.FE.ZS,SH.HIV.1524.MA.ZS,SG.GEN.PARL.ZS,SM.POP.REFG,SM.POP.REFG.OR,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.EMP.VULN.FE.ZS,SL.EMP.VULN.MA.ZS
1960,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,14,14,266,266,266,266,243,265,266,266,266,266,266,266,266,266
1961,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,13,13,266,266,266,266,238,263,266,266,266,266,266,266,266,266
1962,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,13,13,266,266,266,266,237,263,266,266,266,266,266,266,266,266
1963,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,14,14,266,266,266,266,236,261,266,266,266,266,266,266,266,266
1964,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,14,14,266,266,266,266,233,254,266,266,266,266,266,266,266,266
1965,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,14,14,266,266,266,266,229,253,266,266,266,266,266,266,266,266
1966,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,13,13,266,266,266,266,230,249,266,266,266,266,266,266,266,266
1967,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,13,13,266,266,266,266,232,249,266,266,266,266,266,266,266,266
1968,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,13,13,266,266,266,266,225,244,266,266,266,266,266,266,266,266
1969,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,13,13,266,266,266,266,213,242,266,266,266,266,266,266,266,266
1970,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,13,13,263,266,266,266,209,238,182,192,190,197,266,266,266,266
1971,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,13,13,266,266,266,266,208,236,88,110,102,136,266,266,266,266
1972,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,13,13,263,266,266,266,202,235,88,114,106,136,266,266,266,266
1973,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,12,12,263,266,266,266,217,241,87,116,111,137,266,266,266,266
1974,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,13,13,260,266,266,266,207,235,88,122,113,139,266,266,266,266
