anho,SH.STA.TRAF.P5,SP.URB.TOTL.IN.ZS,EN.POP.SLUM.UR.ZS,EN.ATM.PM25.MC.ZS,AG.LND.TOTL.UR.K2,EN.POP.EL5M.UR.ZS,EN.ATM.PM25.MC.M3,SP.URB.GROW,AG.LND.EL5M.UR.K2,EN.URB.LCTY.UR.ZS,EN.URB.MCTY.TL.ZS,EG.ELC.ACCS.UR.ZS
1960,266,3,266,266,266,266,266,266,266,70,107,266
1961,266,3,266,266,266,266,266,4,266,70,107,266
1962,266,3,266,266,266,266,266,4,266,70,107,266
1963,266,3,266,266,266,266,266,4,266,70,107,266
1964,266,3,266,266,266,266,266,4,266,70,107,266
1965,266,3,266,266,266,266,266,4,266,70,107,266
1966,266,3,266,266,266,266,266,4,266,70,107,266
1967,266,3,266,266,266,266,266,4,266,70,107,266
1968,266,3,266,266,266,266,266,4,266,70,107,266
1969,266,3,266,266,266,266,266,4,266,70,107,266
1970,266,3,266,266,266,266,266,4,266,70,107,266
1971,266,3,266,266,266,266,266,4,266,70,107,266
1972,266,3,266,266,266,266,266,4,266,70,107,266
1973,266,3,266,266,266,266,266,4,266,70,107,266
1974,266,3,266,266,266,266,266,4,266,70,107,266
1975,266,3,266,266,266,266,266,4,266,70,107,266
1976,266,3,266,266,266,266,266,4,266,70,107,266
1977,266,3,266,266,266,266,266,4,266,70,107,266
1978,266,3,266,266,266,266,266,4,266,70,107,266
1979,266,3,266,266,266,266,266,4,266,70,107,266
1980,266,3,266,266,266,266,266,4,266,70,107,266
1981,266,3,266,266,266,266,266,4,266,70,107,266
1982,266,3,266,266,266,266,266,4,266,70,107,266
1983,266,3,266,266,266,266,266,4,266,70,107,266
1984,266,3,266,266,266,266,266,4,266,70,107,266
1985,266,3,266,266,266,266,266,4,266,70,107,266
1986,266,3,266,266,266,266,266,4,266,70,107,266
1987,266,3,266,266,266,266,266,4,266,70,107,266
1988,266,3,266,266,266,266,266,4,266,70,107,266
1989,266,3,266,266,266,266,266,4,266,70,107,266
1990,266,3,266,24,3,3,18,4,3,69,107,158
1991,266,3,266,266,266,266,266,3,266,69,107,147
1992,266,3,266,266,266,266,266,3,266,69,107,129
1993,266,3,266,266,266,266,266,3,266,69,107,113
1994,266,3,266,266,266,266,266,3,266,69,107,108
1995,266,3,266,24,266,266,18,3,266,69,107,101
1996,266,3,266,266,266,266,266,3,266,69,107,86
1997,266,3,266,266,266,266,266,3,266,69,107,80
1998,266,3,266,266,266,266,266,3,266,69,107,74
1999,266,3,266,266,266,266,266,3,266,69,107,65
2000,35,3,154,24,3,3,18,3,3,69,107,7
2001,35,3,266,266,266,266,266,3,266,69,107,7
2002,35,3,144,266,266,266,266,3,266,69,107,7
2003,35,3,266,266,266,266,266,3,266,69,107,7
2004,35,3,140,266,266,266,266,3,266,69,107,7
2005,35,3,266,24,266,266,18,3,266,69,107,7
2006,35,3,137,266,266,266,266,3,266,69,107,7
2007,35,3,266,266,266,266,266,3,266,69,107,6
2008,35,3,135,266,266,266,266,3,266,69,107,6
2009,35,3,266,266,266,266,266,3,266,69,107,6
2010,35,3,136,24,266,266,18,3,266,69,107,6
2011,35,3,266,24,266,266,18,3,266,69,107,6
2012,35,3,137,24,266,266,18,3,266,69,107,6
2013,29,3,266,24,266,266,18,3,266,69,107,6
2014,35,3,139,24,266,266,18,3,266,69,107,6
2015,35,3,266,24,3,3,18,3,3,69,107,6
2016,32,3,142,24,266,266,18,3,266,69,107,6
2017,35,3,266,24,266,266,18,3,266,69,107,6
2018,35,3,154,266,266,266,18,3,266,69,107,6
2019,35,3,266,266,266,266,18,3,266,69,107,6
2020,266,3,169,266,266,266,266,3,266,69,107,5
2021,266,3,266,266,266,266,266,3,266,69,107,5
2022,266,3,266,266,266,266,266,4,266,69,107,266
2023,266,266,266,266,266,266,266,266,266,69,107,266
